@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2908,70,1,1,k,k,true,5885,4,2,rv,2
5536,16,0,1,k,k,false,7011,2,4,rv,1
4673,24,0,2,k,k,true,6554,2,4,rv,2
6687,12,0,1,k,b2,false,6870,2,0,rv,1
4270,64,3,0,k,k,true,7221,2,4,rv,3
5240,4,1,0,b1,k,false,5244,2,3,rv,1
5759,8,1,0,k,k,true,5759,2,0,rv,1
6353,88,2,1,k,k,true,7140,3,2,rv,3
5213,32,1,1,k,k,true,5301,2,2,rv,2
3655,150,3,2,b1,k,true,6836,2,0,rv,5
7343,4,0,0,k,k,false,7353,2,3,rv,0
3095,36,0,3,c2,b1,true,4906,2,3,rv,3
2074,8,0,1,k,b1,false,4915,2,2,rv,1
4436,16,1,1,c2,b2,false,6362,3,2,rv,2
3464,72,0,3,k,b1,false,6573,2,2,rv,3
6386,12,0,1,k,k,true,6554,3,4,rv,1
4042,8,0,1,k,k,false,4162,2,0,rv,1
4680,74,2,1,k,k,true,4833,2,3,rv,3
4535,12,0,1,k,k,false,4599,2,2,rv,1
2646,26,2,0,k,k,true,4715,3,0,rv,2
3868,12,1,0,k,k,true,7020,2,3,rv,1
4206,54,1,2,c2,b1,false,4289,2,0,rv,3
3283,6,0,1,c2,b1,true,5399,3,0,rv,1
631,84,1,1,k,k,true,6596,4,0,rv,2
4060,52,2,1,c2,b1,true,6966,2,2,rv,3
5088,54,0,3,c2,b1,false,6605,3,2,rv,3
6211,14,1,0,k,k,true,6774,2,2,rv,1
4098,28,3,0,b1,k,true,4100,2,2,rv,3
2515,22,2,0,k,k,true,4673,3,3,rv,2
442,14,2,0,b2,k,true,6969,3,3,rv,2
5158,10,1,0,k,k,true,6893,2,2,rv,1
4005,48,0,3,k,b1,false,4132,3,2,rv,3
5158,16,0,2,c2,b2,false,5250,2,3,rv,2
4445,14,1,0,k,k,true,4564,2,3,rv,1
5536,17,1,1,c2,b1,true,5630,3,2,rv,2
4436,14,2,0,b1,k,false,6359,2,2,rv,2
6230,28,3,0,b1,k,true,6799,3,3,rv,3
5861,4,0,0,k,k,true,5932,3,2,rv,0
3740,52,2,1,c2,b1,true,6992,2,3,rv,3
6279,10,1,0,k,k,true,6928,2,3,rv,1
1600,36,2,1,b1,b2,false,3348,2,0,rv,3
3084,144,0,4,c2,b2,false,6086,2,2,rv,4
6204,4,0,0,k,k,false,6229,2,2,rv,0
2800,4,1,0,b1,k,false,7079,2,2,rv,1
1721,432,3,2,b3,b3,true,6980,2,2,tn,5
3986,24,1,1,k,b1,false,4101,3,2,rv,2
2822,4,1,0,b2,k,true,2824,2,0,rv,1
1606,36,2,1,c2,b1,true,5067,3,3,rv,3
4876,8,0,1,k,k,true,4877,2,0,rv,1
5977,26,2,0,k,k,true,6077,3,0,rv,2
2006,16,1,1,c2,b2,false,4665,4,2,rv,2
5669,6,0,1,c2,b1,true,7304,3,2,rv,1
3381,24,2,0,k,k,true,6352,2,3,rv,2
3196,12,1,0,k,k,true,4990,2,2,rv,1
359,24,1,2,b1,b1,false,6406,4,0,rv,3
2613,12,1,0,k,k,true,2621,2,0,rv,1
251,568,2,3,c1,b3,true,4869,2,0,rv,5
3130,33,2,1,c2,b2,false,7195,2,2,rv,3
6187,10,1,0,k,k,true,6365,2,2,rv,1
1606,12,1,1,b1,k,false,6993,2,4,rv,2
6351,12,0,1,k,k,false,7024,3,3,rv,1
7092,12,1,0,k,k,false,7420,3,3,rv,1
4308,24,1,1,k,k,true,7258,2,2,rv,2
2810,96,3,0,k,k,true,6787,3,2,rv,3
4101,12,0,1,k,k,true,4174,2,2,rv,1
3285,4,0,0,k,k,true,3285,3,0,rv,0
2879,32,2,0,k,k,true,4162,2,0,rv,2
2635,6,0,1,c2,b1,true,3658,3,0,rv,1
1814,22,2,0,k,k,true,1871,2,2,rv,2
5131,26,2,0,k,k,true,6676,2,3,rv,2
