@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
1943,441,0,2,c1,b3,false,4610,2,2,tn,2
3154,108,2,1,k,b1,false,6145,2,2,rv,3
1604,28,0,1,k,k,true,7367,4,2,rv,1
2897,72,2,1,k,b1,false,5555,2,0,rv,3
3777,162,1,3,c2,b1,false,3943,2,0,rv,4
3328,16,0,1,k,k,false,3404,3,0,rv,1
4674,26,0,2,c2,b1,true,7384,2,2,rv,2
3040,108,2,2,b1,k,false,5187,2,2,rv,4
5145,44,2,1,b1,k,false,5300,2,2,rv,3
6021,24,2,0,k,k,true,6810,2,2,rv,2
4626,4,1,0,b1,k,false,4627,2,2,rv,1
5813,6,0,1,c2,b1,true,5900,2,2,rv,1
6817,36,2,0,k,k,true,6875,2,2,rv,2
3625,30,2,1,b1,c2,false,6780,2,2,rv,3
2836,10,2,0,b1,c2,false,4365,2,2,rv,2
3035,162,3,1,k,k,true,3201,3,2,rv,4
620,69,1,2,c2,b2,false,4220,3,0,rv,3
4879,24,1,1,k,k,true,4987,2,3,rv,2
784,38,3,0,b1,k,true,5286,3,4,rv,3
5766,12,1,0,k,k,true,5766,2,0,rv,1
4207,18,0,2,c2,b1,false,6231,3,2,rv,2
92,72,2,2,b2,b2,true,2069,2,2,rv,4
3355,62,3,0,k,k,true,6307,2,0,rv,3
1604,49,1,1,c2,b2,true,6883,2,3,rv,2
3390,104,3,0,k,k,true,7096,3,3,rv,3
7025,14,1,0,k,k,false,7083,2,2,rv,1
3053,74,3,0,k,k,true,5414,2,2,rv,3
269,12,1,1,b1,k,false,5207,2,3,rv,2
6030,14,1,0,k,k,true,6045,3,2,rv,1
