@relation HandActions

@attribute GameStage {pf,fp,tn,rv}
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute LastAction {f,k,c,b1,b2,b3}
@attribute Action {f,k,c,b1,b2,b3}

@data
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,44,6,b1,k
tn,44,8,k,k
rv,0,10,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,0,6,b1,b1
tn,0,9,k,b1
pf,4,3,k,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,46,6,b1,k
tn,0,8,b1,f
pf,12,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,b1,f
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
tn,0,6,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
tn,0,8,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,48,6,b1,k
tn,0,8,b1,f
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,4,3,k,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
tn,28,8,k,k
rv,0,10,b1,f
pf,14,3,b1,k
fp,0,4,k,b1
tn,98,6,k,k
tn,204,8,b1,k
rv,204,9,k,k
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,28,6,b1,k
tn,28,8,k,k
rv,28,10,k,k
pf,10,3,b1,k
fp,0,4,k,b1
tn,70,6,k,k
rv,70,8,k,k
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
tn,98,9,k,k
rv,98,11,k,k
pf,10,3,b1,k
fp,0,4,k,b1
tn,70,6,k,k
tn,0,8,b1,b1
pf,4,2,b1,k
fp,0,5,b1,b1
tn,56,8,k,k
rv,56,10,k,k
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,0,6,k,b1
fp,0,8,b1,f
pf,12,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
fp,74,7,b1,k
tn,160,9,b1,k
rv,278,11,b1,k
pf,4,3,k,k
fp,0,4,k,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
tn,0,8,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
tn,70,6,k,k
rv,70,8,k,k
rv,178,10,b1,k
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
tn,42,6,k,k
tn,0,8,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
tn,0,6,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,0,4,k,b1
tn,42,6,k,k
rv,42,8,k,k
rv,0,10,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
pf,4,3,k,k
fp,0,4,k,b1
