@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric
@attribute GameStage {pf,fp,tn,rv}

@data
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,467200,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b3,4,1,0,false,k,c,483840,false,1,fp
c,7,0,1,true,b2,?,0,false,1,pf
b3,10,1,1,true,b2,c,413696,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,10,0,1,false,b2,c,0,false,1,pf
c,30,0,2,false,b2,c,676608,false,1,fp
k,44,0,2,false,k,c,676640,false,1,tn
b1,44,1,2,false,k,k,17453856,false,1,rv
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,815104,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,8,0,1,false,b2,c,0,false,1,pf
b1,28,1,2,false,b1,c,17383424,false,1,fp
b1,48,2,2,false,k,b1,17383936,false,1,tn
k,4,0,0,true,c,?,0,false,1,pf
b3,4,1,0,true,c,k,832000,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,10,0,1,false,b2,c,0,false,1,pf
c,31,0,2,false,b2,c,483328,false,1,fp
f,83,0,3,false,b2,c,484096,false,1,tn
c,8,0,1,true,b2,?,0,false,1,pf
b3,12,1,1,true,b2,c,611072,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
f,25,0,2,false,b2,c,763136,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,17010688,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b3,4,1,0,false,k,c,17170432,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,750592,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b3,4,1,0,false,k,c,484096,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,693504,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
b3,14,1,1,false,k,c,733440,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b3,14,1,1,true,b2,c,17133568,false,1,fp
b3,162,2,1,true,c,b3,17143552,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
