@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2996,36,1,2,b2,k,true,6497,2,2,rv,3
1606,629,1,3,c1,b3,true,7377,2,3,tn,4
3019,162,2,1,b3,c2,false,6951,3,2,tn,3
6186,256,2,2,b3,b2,false,6358,2,2,fp,4
4144,466,2,2,b3,b2,false,7410,2,4,tn,4
4271,194,2,2,b3,b2,true,7247,2,2,fp,4
3793,32,2,0,k,k,true,6442,2,0,rv,2
3315,42,0,2,k,k,true,6005,2,2,rv,2
3152,108,3,1,b1,c2,false,7070,2,2,rv,4
1600,60,2,1,b1,k,false,6697,2,3,rv,3
4866,24,1,1,k,k,false,6765,2,2,rv,2
2744,36,2,0,k,k,true,3844,4,2,rv,2
2997,178,1,2,k,k,true,5886,3,2,rv,3
4673,38,0,2,k,k,false,7342,2,4,rv,2
3260,90,0,3,k,b2,false,5602,2,2,rv,3
2975,10,1,1,b1,k,false,4301,2,0,rv,2
795,36,1,1,k,c2,false,6652,4,2,rv,2
6351,6,0,1,c2,b1,true,6406,2,0,rv,1
2890,24,1,1,k,c2,false,4158,2,0,rv,2
3558,12,1,0,k,k,true,3672,3,2,rv,1
4901,4,0,0,k,k,true,5063,2,2,rv,0
6472,48,2,1,k,k,true,6510,2,0,rv,3
2501,6,0,1,c2,b1,true,3327,3,0,rv,1
3647,70,0,3,k,b2,false,6849,3,2,rv,3
7127,14,0,1,k,k,false,7460,3,3,rv,1
4439,24,2,0,k,k,true,6422,3,0,rv,2
4711,4,0,0,k,k,false,6828,2,2,rv,0
4769,10,0,1,k,k,true,7191,2,2,rv,1
2711,36,2,1,b1,c2,false,6713,3,3,rv,3
5257,36,0,2,k,k,false,7389,3,2,rv,2
5145,4,0,0,k,k,true,5214,2,2,rv,0
6188,4,0,0,k,k,false,6188,2,0,rv,0
2151,10,0,1,k,k,false,5161,3,2,rv,1
4702,4,1,0,b1,k,false,6914,2,0,rv,1
1971,12,1,0,k,k,true,1972,2,0,rv,1
3565,34,0,2,k,k,false,6271,3,2,rv,2
2110,43,2,2,b2,b1,true,5034,3,2,rv,4
3240,128,0,4,c2,b1,false,5940,2,2,rv,4
4761,4,1,0,b1,k,false,7151,3,3,rv,1
1885,108,3,1,b1,k,true,4264,2,2,rv,4
4541,24,2,0,k,k,true,7154,3,2,rv,2
4306,26,0,2,k,k,false,7009,3,4,rv,2
4233,14,1,1,c2,b1,true,6613,2,3,rv,2
3284,24,1,1,k,k,true,5487,2,2,rv,2
6194,14,0,1,k,k,false,6418,3,2,rv,1
6239,12,1,0,k,k,true,6516,3,2,rv,1
4876,26,0,2,c2,b2,false,6520,3,2,rv,2
3847,4,0,0,k,k,false,6774,2,2,rv,0
2655,44,1,2,c2,b1,true,4866,3,0,rv,3
2524,422,1,4,k,b2,false,3106,2,0,rv,5
5976,10,0,1,k,k,false,7080,3,2,rv,1
5476,4,0,0,k,k,false,7380,2,2,rv,0
3866,12,0,1,k,k,false,3939,2,0,rv,1
3381,51,0,3,c2,b1,false,3442,2,0,rv,3
4665,6,0,1,c2,b1,true,6482,2,2,rv,1
5442,4,1,0,b1,k,false,5504,2,2,rv,1
5087,72,2,1,k,k,true,5249,3,2,rv,3
4052,84,2,1,b1,c2,false,7258,2,2,rv,3
6067,10,1,1,c2,b1,true,7165,3,2,rv,2
4087,12,0,1,k,k,false,7017,2,3,rv,1
3261,51,1,3,b2,b1,false,5383,2,0,rv,4
3552,14,0,2,c2,b1,true,6796,3,2,rv,2
6023,4,0,0,k,k,false,7180,2,2,rv,0
3227,38,0,2,k,k,false,5531,3,0,rv,2
2482,29,2,1,c2,b1,true,3797,2,0,rv,3
3002,14,1,1,c2,b2,false,4425,2,3,rv,2
3581,14,1,1,c2,b1,true,3760,3,0,rv,2
4453,66,1,2,c2,b2,false,6585,3,0,rv,3
5144,12,1,0,k,k,true,6768,4,2,rv,1
3180,14,1,1,c2,b1,true,5519,2,3,rv,2
5309,12,0,1,k,k,false,6611,3,3,rv,1
5144,108,1,2,k,k,true,6769,2,2,rv,3
2613,54,0,3,c2,b1,false,3653,2,2,rv,3
192,54,0,3,c2,b1,false,1754,2,2,rv,3
2615,70,1,2,k,b2,false,6850,3,2,rv,3
3029,14,0,1,k,k,false,3038,2,0,rv,1
2493,26,0,2,c2,b2,false,3448,4,0,rv,2
6768,14,0,2,c2,b1,true,6991,3,2,rv,2
4811,72,2,1,k,k,true,7420,2,3,rv,3
2569,26,0,2,c2,b2,false,5550,3,2,rv,2
4902,4,1,0,b1,k,false,4902,3,0,rv,1
3151,16,1,1,k,b1,false,6137,2,0,rv,2
5606,24,2,0,k,k,true,5717,3,2,rv,2
3400,14,0,1,k,k,true,3541,3,2,rv,1
6715,48,3,0,k,k,true,6719,2,2,rv,3
2084,19,1,2,b2,b1,true,4933,3,2,rv,3
2535,10,1,1,b2,k,false,6373,2,2,rv,2
3338,26,0,2,k,k,false,3445,3,0,rv,2
1375,10,0,1,k,k,true,7223,4,3,rv,1
6715,14,1,1,b1,k,false,6752,2,2,rv,2
1820,29,3,1,b3,b1,true,4052,3,2,rv,4
4701,10,0,1,k,b2,false,6746,3,2,rv,1
3664,19,0,2,c2,b1,true,6860,4,0,rv,2
3208,36,1,1,k,k,true,6123,2,2,rv,2
4225,36,2,0,k,k,true,7220,2,4,rv,2
3337,44,2,1,b1,k,true,6304,2,0,rv,3
2877,19,0,2,c2,b1,true,2881,2,2,rv,2
3042,110,2,2,b2,k,true,4638,2,2,rv,4
2468,30,1,1,k,k,true,2478,2,0,rv,2
4207,36,1,1,k,c2,false,4270,2,3,rv,2
3442,91,0,4,c2,b1,false,6657,2,2,rv,4
1721,120,0,4,c2,b1,true,3733,3,2,rv,4
5151,4,0,0,k,k,false,5230,3,2,rv,0
3085,66,1,2,c2,b2,false,6056,2,2,rv,3
2579,36,2,0,k,k,true,6466,2,3,rv,2
3240,6,0,1,c2,b1,true,5863,2,0,rv,1
6102,8,1,0,k,c2,false,6133,2,2,rv,1
3822,26,0,2,k,b2,false,6754,2,2,rv,2
6415,12,1,0,k,k,true,7424,2,2,rv,1
3442,12,1,0,k,k,true,3517,3,0,rv,1
3117,12,1,0,k,k,true,4841,3,2,rv,1
2576,28,1,0,k,k,true,5800,2,3,rv,1
4701,36,1,1,k,c2,false,6854,2,0,rv,2
5361,40,1,2,b1,k,true,5409,3,2,rv,3
2842,14,1,1,c2,b1,true,4013,3,2,rv,2
3187,12,0,1,k,k,false,5701,3,2,rv,1
3548,219,1,4,c2,b1,true,6747,2,2,rv,5
3405,28,2,0,b1,c2,false,6444,3,2,rv,2
291,30,2,1,b2,k,true,2995,3,0,rv,3
2105,108,3,0,k,k,true,7327,2,4,rv,3
4869,10,0,1,k,k,false,6307,3,0,rv,1
5150,36,1,1,k,k,false,6811,3,2,rv,2
6853,14,1,1,b1,k,false,6861,2,2,rv,2
5967,8,1,0,k,c2,false,6237,2,2,rv,1
1607,4,0,0,k,k,false,7430,2,4,rv,0
3030,216,2,2,k,k,false,6749,2,2,rv,4
2864,38,0,2,k,b2,false,4886,2,0,rv,2
2282,30,2,1,b1,k,true,5663,2,2,rv,3
3557,255,3,2,c2,b1,true,6518,3,2,rv,5
4008,36,0,2,k,k,false,6490,2,2,rv,2
