@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
4209,134,2,1,b3,c2,false,6318,2,2,tn,3
6041,46,0,3,c2,b1,true,7004,2,3,rv,3
3009,34,1,1,c2,b1,true,4369,2,2,rv,2
3463,110,2,2,b3,b2,true,6569,2,2,fp,4
5536,46,0,2,k,k,true,6447,2,2,rv,2
3999,72,2,1,k,c2,false,6384,3,2,rv,3
5862,36,2,0,k,k,true,7167,2,0,rv,2
2921,19,2,1,b2,b1,true,7079,2,2,rv,3
4246,19,1,1,c2,b1,true,6592,3,2,rv,2
5862,61,1,2,c2,b1,true,7181,2,3,rv,3
4482,166,1,3,k,b2,false,6736,2,2,rv,4
3547,34,0,2,k,k,false,6195,2,0,rv,2
3547,252,2,1,k,k,true,6220,2,2,rv,3
2744,14,1,1,c2,b1,true,3840,2,2,rv,2
2513,168,1,3,k,k,true,3399,2,0,rv,4
5538,14,0,1,k,k,false,6451,2,2,rv,1
2491,160,1,3,k,k,false,2844,2,2,rv,4
5106,18,0,2,c2,b2,false,6511,2,0,rv,2
3271,14,1,1,c2,b1,true,5336,2,2,rv,2
5115,72,2,1,k,k,true,6590,2,3,rv,3
6883,36,2,0,k,k,true,7369,3,2,rv,2
3239,91,0,4,c2,b1,false,5827,2,0,rv,4
2611,38,0,2,k,k,false,3561,3,0,rv,2
5966,39,0,3,c2,b1,false,6793,3,2,rv,3
5151,108,3,0,k,k,true,6832,3,2,rv,3
6534,12,1,0,k,k,true,7329,2,3,rv,1
3986,36,0,2,k,k,false,6189,2,0,rv,2
3778,32,0,2,k,k,false,3884,2,2,rv,2
7342,44,1,1,k,k,true,7363,4,2,rv,2
3336,108,3,0,k,k,true,3342,2,0,rv,3
4042,26,0,2,k,k,false,6687,2,3,rv,2
3221,39,0,3,c2,b1,false,7431,2,3,rv,3
2546,17,0,2,c2,b1,true,3464,2,2,rv,2
4207,10,1,1,b2,k,true,4208,3,2,rv,2
2777,17,0,2,c2,b1,false,5142,3,2,rv,2
1607,4,1,0,b2,k,true,1607,3,5,rv,1
1374,112,0,4,c2,b1,true,7252,4,3,rv,4
2922,144,2,2,k,k,true,2923,2,0,rv,4
5098,24,1,1,k,c2,false,7175,2,2,rv,2
4491,216,3,1,k,k,true,6844,2,2,rv,4
5641,4,1,0,b1,k,false,7426,2,3,rv,1
5993,8,1,0,k,k,true,6639,3,0,rv,1
5316,4,1,0,b1,k,false,6381,3,2,rv,1
3732,57,2,1,c2,b1,true,7450,2,3,rv,3
