@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
833926,800,1,2,false,?,c,833889,false,1
34308608,112,0,3,false,?,c,17531408,false,1
34281984,40,0,2,false,?,k,17531664,false,1
34307072,34,1,1,false,?,k,17549120,false,1
685379,34,1,1,false,?,k,685378,false,1
17288064,74,1,2,false,?,c,755472,false,1
50447360,110,1,2,false,?,c,50414080,false,1
34354944,92,2,1,false,?,b1,816177,false,1
34016256,54,2,1,false,?,k,16815904,false,1
833874,64,3,0,false,?,b2,824592,false,1
17091456,12,1,0,false,?,b2,755284,false,1
16828992,10,1,0,false,?,k,672544,false,1
834165,19,1,1,false,?,k,834113,false,1
16829344,10,1,0,false,?,b2,834192,false,1
17413712,12,1,0,false,?,b2,759378,false,1
17274960,17,0,2,false,?,k,623937,false,1
34288896,72,2,1,false,?,c,17019936,false,1
17353632,6,0,1,false,?,k,834176,false,1
764226,4,0,0,false,?,k,693281,false,1
34376448,25,1,1,false,?,k,17602672,false,1
16828768,14,1,1,false,?,k,615200,false,1
17602400,106,3,0,false,?,b2,825187,false,1
16959584,14,1,1,false,?,k,820786,false,1
34372096,10,1,0,false,?,k,17287728,false,1
17152640,14,1,0,false,?,k,763475,false,1
17536816,14,1,0,false,?,k,759600,false,1
16894064,14,1,0,false,?,k,821075,false,1
17471312,96,3,0,false,?,b2,694083,false,1
17086848,26,2,0,false,?,b2,759872,false,1
50894080,40,1,2,false,?,c,623922,false,1
34159104,8,1,0,false,?,k,17408784,false,1
17483888,4,0,0,false,?,k,829555,false,1
17549392,36,2,0,false,?,k,833620,false,1
17353568,12,1,0,false,?,k,833634,false,1
34215424,89,1,3,true,?,b1,681232,false,1
17221968,32,1,1,false,?,b2,824865,false,1
17213488,4,0,0,false,?,k,17203984,false,1
34225152,14,0,2,true,?,k,829555,false,1
34023936,12,1,0,false,?,k,17278000,false,1
833910,12,1,0,false,?,k,833876,false,1
33901056,6,0,1,false,?,k,33900800,false,1
17479776,8,0,1,false,?,k,764000,false,1
50697984,144,1,3,true,?,k,50676480,false,1
33688576,242,1,3,false,?,c,833056,false,1
34354176,605,4,2,true,?,k,16958512,false,1
16890496,72,1,2,false,?,k,16890400,false,1
17156720,14,1,1,false,?,k,829250,false,1
16811600,24,1,1,false,?,c,16802832,false,1
16828528,14,0,2,true,?,k,554304,false,1
17082480,12,1,0,false,?,k,689987,false,1
17339712,36,2,0,false,?,b2,623938,false,1
17152624,26,2,0,false,?,k,763728,false,1
34372352,6,0,1,false,?,k,34371840,false,1
17418848,10,1,0,false,?,k,17409600,false,1
84497168,550,4,2,false,?,b1,807696,false,1
34040064,6,0,1,false,?,k,17209088,false,1
