@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
f,18,0,2,c2,b1,true,1,2,0,fp,2
b2,4,1,0,k,k,false,2,2,2,fp,1
b3,82,2,0,b2,c2,false,3,2,3,tn,2
f,18,0,2,c2,b1,true,0,2,0,fp,2
b2,4,1,0,k,k,false,1,3,2,fp,1
b2,12,1,1,c2,k,true,2,2,0,fp,2
b3,148,2,1,b2,k,true,3,2,2,tn,3
c,474,1,2,k,b3,false,3,2,2,rv,3
b2,4,1,0,k,k,false,0,2,2,fp,1
b2,4,1,0,k,k,true,1,1,3,fp,1
b2,4,1,0,k,k,false,1,1,0,fp,1
b2,4,1,0,k,k,true,1,2,2,fp,1
b3,82,2,0,b2,k,true,1,3,2,tn,2
b2,12,1,1,c2,b2,false,1,1,0,fp,2
b3,148,2,1,b2,c2,false,1,2,0,tn,3
b2,4,1,0,k,k,true,1,2,2,fp,1
b2,4,1,0,k,k,false,1,2,0,fp,1
c,18,0,2,c2,b1,true,0,2,0,fp,2
k,24,0,2,c2,k,true,0,2,0,tn,2
k,24,0,2,k,k,true,1,3,0,rv,2
b2,12,1,1,c2,b2,false,1,2,0,fp,2
b2,12,1,1,c2,k,true,1,1,0,fp,2
b2,4,1,0,k,k,false,0,1,0,fp,1
b3,82,2,0,b2,c2,false,0,2,0,tn,2
b2,4,1,0,k,k,true,0,1,2,fp,1
b3,82,2,0,b2,k,true,1,2,2,tn,2
b2,4,1,0,k,k,false,2,1,2,fp,1
b3,82,2,0,b2,c2,false,2,1,2,tn,2
b2,4,1,0,k,k,true,1,2,2,fp,1
b2,12,1,1,c2,b2,false,1,2,0,fp,2
b2,4,1,0,k,k,true,0,2,3,fp,1
b3,82,2,0,b2,k,true,0,2,3,tn,2
b2,12,1,1,c2,b2,false,2,1,0,fp,2
b2,4,1,0,k,k,true,2,1,0,fp,1
b2,4,1,0,k,k,false,2,2,2,fp,1
b2,12,1,1,c2,k,true,2,1,0,fp,2
c,222,1,2,b2,b1,true,3,2,0,tn,3
b3,296,2,2,c2,k,true,4,3,2,rv,4
b2,12,1,1,c2,b2,false,0,2,0,fp,2
b2,4,1,0,k,k,true,0,1,0,fp,1
f,123,1,1,b2,b1,true,0,2,2,tn,2
b2,4,1,0,k,k,false,3,2,0,fp,1
b2,4,1,0,k,k,true,1,2,2,fp,1
b3,82,2,0,b2,k,true,1,2,2,tn,2
b2,12,1,1,c2,b2,false,0,1,2,fp,2
b3,148,2,1,b2,c2,false,0,2,2,tn,3
b2,4,1,0,k,k,true,1,2,2,fp,1
f,123,1,1,b2,b1,true,1,2,2,tn,2
b2,12,1,1,c2,b2,false,2,2,0,fp,2
b2,12,1,1,c2,k,true,2,1,0,fp,2
b2,4,1,0,k,k,false,0,1,0,fp,1
b3,82,2,0,b2,c2,false,1,2,0,tn,2
b2,4,1,0,k,k,true,3,2,2,fp,1
b3,82,2,0,b2,k,true,4,2,3,tn,2
b2,4,1,0,k,k,false,2,1,2,fp,1
f,136,1,1,b2,b2,false,2,1,2,fp,2
c,18,0,2,c2,b1,true,2,2,0,fp,2
c,48,0,3,c2,b2,true,2,2,0,tn,3
c,144,0,4,c2,b2,true,3,2,0,rv,4
b2,4,1,0,k,k,false,2,1,0,fp,1
b3,6,1,1,k,b1,true,1,1,0,fp,2
b3,120,2,1,b3,k,true,1,2,2,tn,3
c,460,1,2,k,b3,false,1,3,2,rv,3
b2,12,1,1,c2,b2,false,1,1,0,fp,2
b3,148,2,1,b2,c2,false,2,2,2,tn,3
b2,4,1,0,k,k,true,2,2,0,fp,1
b3,82,2,0,b2,k,true,2,2,0,tn,2
b2,12,1,1,c2,b2,false,1,1,2,fp,2
b3,148,2,1,b2,c2,false,1,2,2,tn,3
b2,4,1,0,k,k,true,1,2,2,fp,1
b2,123,2,1,b2,b1,true,2,2,2,tn,3
b2,12,1,1,c2,b2,false,1,2,0,fp,2
b3,148,2,1,b2,c2,false,1,3,2,tn,3
c,474,1,2,c2,b3,true,1,3,2,rv,3
b2,4,1,0,k,k,true,2,1,0,fp,1
b2,12,1,1,c2,b2,false,1,3,2,fp,2
b3,148,2,1,b2,c2,false,1,3,2,tn,3
b2,4,1,0,k,k,true,1,2,2,fp,1
b2,4,1,0,k,k,false,0,1,0,fp,1
b2,12,1,1,c2,k,true,1,2,0,fp,2
b2,4,1,0,k,k,false,1,2,0,fp,1
b3,6,1,1,k,b1,true,1,1,2,fp,2
b2,4,1,0,k,k,false,2,1,0,fp,1
b3,82,2,0,b2,c2,false,2,2,0,tn,2
c,18,0,2,c2,b1,true,0,2,2,fp,2
k,24,0,2,c2,k,true,0,2,2,tn,2
b1,24,1,2,k,k,true,0,2,2,rv,3
b2,4,1,0,k,k,false,2,2,0,fp,1
b3,82,2,0,b2,c2,false,2,2,0,tn,2
f,18,0,2,c2,b1,true,1,2,2,fp,2
b2,4,1,0,k,k,false,2,2,0,fp,1
b2,4,1,0,k,k,true,1,2,0,fp,1
b3,82,2,0,b2,k,true,2,2,2,tn,2
b2,12,1,1,c2,b2,false,2,2,3,fp,2
b3,148,2,1,b2,c2,false,2,2,3,tn,3
b2,12,1,1,c2,k,true,1,2,0,fp,2
b3,222,2,2,b2,b1,true,2,2,0,tn,4
b2,4,1,0,k,k,false,0,2,0,fp,1
b3,82,2,0,b2,c2,false,1,2,0,tn,2
b2,4,1,0,k,k,true,2,1,0,fp,1
b2,4,1,0,k,k,false,1,2,0,fp,1
c,18,0,2,c2,b1,true,3,2,0,fp,2
c,36,0,3,c2,b1,true,4,2,0,tn,3
f,96,0,4,c2,b2,true,4,3,0,rv,4
b2,12,1,1,c2,b2,false,0,1,0,fp,2
b3,148,2,1,b2,c2,false,0,2,0,tn,3
b2,4,1,0,k,k,true,1,1,0,fp,1
b2,12,1,1,c2,b2,false,1,3,0,fp,2
c,18,0,2,c2,b1,true,0,1,0,fp,2
