@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5749,24,0,2,k,k,true,5827,3,0,rv,2
6031,148,2,1,b3,c2,false,6879,3,2,tn,3
2589,344,2,2,b3,b2,false,3504,2,0,tn,4
4565,148,2,1,b3,c2,false,4565,3,3,tn,3
3573,82,2,0,b3,c2,false,6318,2,2,tn,2
6103,584,2,2,c1,b3,false,6169,2,2,fp,4
5530,120,2,1,b3,k,true,6321,3,0,tn,3
4427,82,2,0,b3,c2,false,6508,2,0,tn,2
2810,572,1,3,c1,b3,false,5801,2,3,tn,4
3875,72,0,4,c2,b1,true,7055,3,2,rv,4
5312,24,0,2,k,k,true,6346,2,3,rv,2
2985,344,2,2,b3,k,false,6600,2,3,rv,4
193,144,2,3,b3,k,true,3784,2,2,rv,5
3260,148,2,1,b3,c2,false,6288,3,2,tn,3
5201,148,2,1,b3,c2,false,7147,2,4,tn,3
2879,136,2,1,b3,b2,false,2879,2,0,fp,3
3997,72,0,4,c2,b1,true,6506,3,0,rv,4
4490,164,1,1,k,k,true,6804,2,3,rv,2
2712,285,2,2,b3,b1,false,3681,3,2,tn,4
3777,136,2,1,b3,b2,false,3780,2,2,fp,3
5536,120,2,1,b3,k,true,5629,2,2,tn,3
3382,48,1,3,b1,k,true,6418,3,2,rv,4
3840,552,3,1,b3,c1,false,3950,3,2,tn,4
2953,148,2,1,b3,c2,false,4922,2,2,tn,3
4680,72,2,2,b2,k,true,4683,3,2,rv,4
5981,24,0,2,k,k,true,6464,3,0,rv,2
1809,48,0,3,c2,b2,true,3996,2,3,rv,3
4718,24,0,2,k,k,true,6914,2,0,rv,2
3228,24,0,2,k,k,true,5183,3,2,rv,2
2858,136,2,1,b3,b2,false,7314,2,2,fp,3
5756,344,2,2,b3,k,false,5772,2,2,rv,4
4087,108,0,4,c2,b1,true,7059,2,2,rv,4
5197,82,2,0,b3,k,true,7406,2,4,tn,2
1504,82,2,0,b3,c2,false,5254,3,2,tn,2
3265,190,1,1,k,k,false,3265,2,2,rv,2
356,72,1,4,b2,b1,true,6767,4,2,rv,5
3768,136,2,1,b3,b2,false,6748,2,2,fp,3
3174,148,2,1,b3,c2,false,3181,2,0,tn,3
2858,82,2,0,b3,c2,false,4795,2,3,tn,2
5171,48,0,3,k,k,true,6996,2,2,rv,3
4646,24,0,2,k,k,true,6277,2,0,rv,2
3877,148,2,1,b3,c2,false,3901,2,2,tn,3
1607,24,0,2,k,k,true,1607,3,5,rv,2
6268,164,1,1,k,k,true,6965,2,2,rv,2
3304,296,1,2,k,k,true,6664,2,3,rv,3
2842,148,2,1,b3,c2,false,4445,2,3,tn,3
2930,82,2,0,b3,c2,false,2936,2,2,tn,2
5606,246,2,2,b3,b2,false,5738,3,2,fp,4
4439,24,0,2,k,k,true,6423,2,0,rv,2
6435,82,2,0,b3,c2,false,6667,2,3,tn,2
3354,24,0,2,k,k,true,3509,2,0,rv,2
2514,144,2,3,b1,k,true,6500,3,2,rv,5
3453,36,0,3,c2,b1,true,6678,3,3,rv,3
2908,24,0,2,k,k,true,6192,2,0,rv,2
4666,72,1,2,k,k,true,4668,2,0,rv,3
2729,36,0,3,c2,b1,true,3900,3,2,rv,3
2502,148,2,1,b3,c2,false,3394,2,0,tn,3
5536,148,2,1,b3,k,true,6380,2,2,tn,3
289,246,2,2,b3,b2,false,3927,2,2,fp,4
2713,48,0,3,k,k,true,3709,2,2,rv,3
3130,48,0,3,k,k,true,4844,2,2,rv,3
3604,164,1,1,k,k,true,6702,2,3,rv,2
2909,48,0,3,k,k,true,5844,3,2,rv,3
3183,48,0,3,k,k,true,5548,2,0,rv,3
3196,148,2,1,b3,c2,false,7167,2,0,tn,3
2976,164,1,1,k,k,true,4381,2,2,rv,2
2492,148,2,1,b3,k,true,3430,2,2,tn,3
3987,148,2,1,b3,c2,false,6816,3,2,tn,3
3233,344,2,2,b3,b2,false,5742,3,4,tn,4
3856,24,1,2,b1,k,true,6793,3,2,rv,3
1609,148,2,1,b3,k,true,6550,2,3,tn,3
3239,24,0,2,k,k,true,5181,2,2,rv,2
4278,164,1,1,k,k,true,7345,2,4,rv,2
5969,148,2,1,b3,c2,false,6009,2,0,tn,3
1600,148,2,1,b3,c2,false,6230,2,3,tn,3
2567,36,0,3,c2,b1,true,2574,2,0,rv,3
