@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
6352,148,2,1,b3,k,true,6485,2,2,tn,3
5767,24,0,2,k,k,true,5896,3,0,rv,2
4207,296,2,2,b3,k,true,4275,3,2,rv,4
2600,144,0,4,c2,b2,true,6217,2,0,rv,4
2957,120,2,1,b3,k,true,5050,3,2,tn,3
5812,148,2,1,b3,c2,false,6988,3,2,tn,3
3838,48,0,3,k,k,true,7156,3,2,rv,3
5818,136,2,1,b3,b2,false,7369,2,2,fp,3
6232,164,1,1,k,k,true,6592,2,2,rv,2
4272,148,2,1,b3,c2,false,6924,2,0,tn,3
5617,24,0,2,k,k,true,5739,2,3,rv,2
2724,144,0,4,c2,b2,true,3898,2,2,rv,4
3794,164,1,1,k,k,true,6450,3,3,rv,2
2482,676,2,2,c1,b3,false,2483,2,0,fp,4
4006,164,1,1,k,k,true,6496,2,2,rv,2
5977,246,2,2,b3,b2,true,5997,2,0,fp,4
4666,148,2,1,b3,c2,false,4684,3,2,tn,3
191,574,2,3,c1,b3,false,3784,2,2,tn,5
2835,48,0,3,c2,b2,true,5003,2,2,rv,3
4123,148,2,1,b3,c2,false,4192,3,0,tn,3
3909,344,2,2,b3,b2,false,3912,2,0,tn,4
2800,136,2,1,b3,b2,false,5644,3,2,fp,3
1612,368,3,1,b3,k,true,6288,3,2,rv,4
4702,82,2,0,b3,k,true,4754,3,3,tn,2
1604,120,2,1,b3,k,true,7349,3,3,tn,3
274,82,2,0,b3,c2,false,2175,2,0,tn,2
3141,96,2,2,k,k,true,4759,3,0,rv,4
3561,516,2,3,b3,b1,false,6260,2,2,tn,5
5811,24,0,2,k,k,true,6842,2,0,rv,2
2491,246,1,2,c2,b1,true,3417,2,0,rv,3
4207,148,2,1,b3,k,true,4255,2,2,tn,3
2733,108,0,4,c2,b1,true,2742,3,0,rv,4
2944,222,2,2,b3,b1,true,2945,2,3,tn,4
3142,616,2,4,c1,b3,true,7314,2,2,rv,6
5605,552,3,1,b3,c1,false,5611,2,2,tn,4
5189,24,0,2,k,k,true,7204,3,3,rv,2
3689,246,2,2,b3,b2,false,6907,2,2,fp,4
918,136,2,1,b3,b2,false,6767,4,2,fp,3
2008,144,1,3,k,k,true,4795,2,3,rv,4
5361,148,2,1,b3,k,true,5361,3,3,tn,3
2856,246,2,2,b3,b1,true,7220,3,4,rv,4
3042,148,2,1,b3,c2,false,3048,2,0,tn,3
2622,24,1,2,b1,k,true,3593,2,0,rv,3
2636,48,1,2,k,k,true,3684,2,2,rv,3
2788,144,1,3,k,k,true,5425,2,0,rv,4
3655,108,0,4,c2,b1,true,6863,2,2,rv,4
3073,148,2,1,b3,k,true,5773,2,2,tn,3
3140,72,0,4,c2,b1,true,6746,3,2,rv,4
