@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3074,24,2,0,k,k,false,5827,3,0,rv,2
3992,474,1,2,c1,b3,true,6879,3,2,tn,3
2518,572,2,2,c1,b3,true,3504,2,0,tn,4
1364,474,1,2,c1,b3,true,4565,3,3,tn,3
5750,441,0,2,c1,b3,true,6318,2,2,tn,2
2417,279,2,2,b3,b1,true,6169,2,2,fp,4
2666,460,1,2,c1,b3,false,6321,3,0,tn,3
2493,441,0,2,c1,b3,true,6508,2,0,tn,2
2347,344,3,1,b3,k,true,5801,2,3,tn,4
2844,48,4,0,b1,c2,false,7055,3,2,rv,4
6305,24,2,0,k,k,false,6346,2,3,rv,2
5116,572,2,2,c1,b3,true,6600,2,3,rv,4
191,472,3,2,c1,b3,false,3784,2,2,rv,5
1612,474,1,2,c1,b3,true,6288,3,2,tn,3
3618,474,1,2,c1,b3,true,7147,2,4,tn,3
230,495,1,2,c1,b3,true,2879,2,0,fp,3
3435,48,4,0,b1,c2,false,6506,3,0,rv,4
4270,164,1,1,k,c2,false,6804,2,3,rv,2
181,590,2,2,c1,b3,true,3681,3,2,tn,4
1742,495,1,2,c1,b3,true,3780,2,2,fp,3
2291,460,1,2,c1,b3,false,5629,2,2,tn,3
3548,72,3,1,c2,b1,false,6418,3,2,rv,4
3930,676,1,3,c1,b3,true,3950,3,2,tn,4
1601,474,1,2,c1,b3,true,4922,2,2,tn,3
3018,144,2,2,c2,b2,false,4683,3,2,rv,4
5097,24,2,0,k,k,false,6464,3,0,rv,2
203,24,3,0,b2,k,false,3996,2,3,rv,3
5968,24,2,0,k,k,false,6914,2,0,rv,2
5088,24,2,0,k,k,false,5183,3,2,rv,2
3142,495,1,2,c1,b3,true,7314,2,2,fp,3
2338,572,2,2,c1,b3,true,5772,2,2,rv,4
5847,72,4,0,b1,c2,false,7059,2,2,rv,4
1607,441,0,2,c1,b3,false,7406,2,4,tn,2
2176,441,0,2,c1,b3,true,5254,3,2,tn,2
3052,190,1,1,k,k,true,3265,2,2,rv,2
918,192,4,1,c2,b2,false,6767,4,2,rv,5
3030,495,1,2,c1,b3,true,6748,2,2,fp,3
282,474,1,2,c1,b3,true,3181,2,0,tn,3
2008,441,0,2,c1,b3,true,4795,2,3,tn,2
5166,48,3,0,k,c2,false,6996,2,2,rv,3
6194,24,2,0,k,k,false,6277,2,0,rv,2
313,474,1,2,c1,b3,true,3901,2,2,tn,3
1606,24,2,0,k,k,false,1607,3,5,rv,2
5969,164,1,1,k,c2,false,6965,2,2,rv,2
4463,296,2,1,k,c2,false,6664,2,3,rv,3
1942,474,1,2,c1,b3,true,4445,2,3,tn,3
231,441,0,2,c1,b3,true,2936,2,2,tn,2
321,572,2,2,c1,b3,true,5738,3,2,fp,4
2482,24,2,0,k,k,false,6423,2,0,rv,2
1606,441,0,2,c1,b3,true,6667,2,3,tn,2
3400,24,2,0,k,k,false,3509,2,0,rv,2
3988,216,3,2,c2,b1,false,6500,3,2,rv,5
3527,24,3,0,b1,k,false,6678,3,3,rv,3
6189,24,2,0,k,k,false,6192,2,0,rv,2
2523,72,2,1,k,b2,false,4668,2,0,rv,3
205,24,3,0,b1,k,false,3900,3,2,rv,3
1622,474,1,2,c1,b3,true,3394,2,0,tn,3
1809,474,1,2,c1,b3,false,6380,2,2,tn,3
194,572,2,2,c1,b3,true,3927,2,2,fp,4
3570,48,3,0,k,c2,false,3709,2,2,rv,3
4666,48,3,0,k,c2,false,4844,2,2,rv,3
4044,164,1,1,k,c2,false,6702,2,3,rv,2
3272,48,3,0,k,c2,false,5844,3,2,rv,3
5526,48,3,0,k,c2,false,5548,2,0,rv,3
1964,474,1,2,c1,b3,true,7167,2,0,tn,3
223,164,1,1,k,c2,false,4381,2,2,rv,2
1631,474,1,2,c1,b3,false,3430,2,2,tn,3
890,474,1,2,c1,b3,true,6816,3,2,tn,3
3261,572,2,2,c1,b3,true,5742,3,4,tn,4
