@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
1600,474,1,2,c1,b3,false,6485,2,2,tn,3
5767,24,2,0,k,k,false,5896,3,0,rv,2
224,548,2,2,c1,b3,false,4275,3,2,rv,4
2534,72,4,0,b2,c2,false,6217,2,0,rv,4
2085,460,1,2,c1,b3,false,5050,3,2,tn,3
1126,474,1,2,c1,b3,true,6988,3,2,tn,3
1307,48,3,0,k,c2,false,7156,3,2,rv,3
3066,495,1,2,c1,b3,true,7369,2,2,fp,3
3475,164,1,1,k,c2,false,6592,2,2,rv,2
3683,474,1,2,c1,b3,true,6924,2,0,tn,3
2903,24,2,0,k,k,false,5739,2,3,rv,2
2722,72,4,0,b2,c2,false,3898,2,2,rv,4
5317,164,1,1,k,c2,false,6450,3,3,rv,2
191,371,2,2,b3,b2,true,2483,2,0,fp,4
5545,164,1,1,k,c2,false,6496,2,2,rv,2
2589,572,2,2,c1,b3,false,5997,2,0,fp,4
2523,474,1,2,c1,b3,true,4684,3,2,tn,3
193,346,3,2,b3,b1,true,3784,2,2,tn,5
1603,24,3,0,b2,k,false,5003,2,2,rv,3
1853,474,1,2,c1,b3,true,4192,3,0,tn,3
2736,572,2,2,c1,b3,true,3912,2,0,tn,4
2291,495,1,2,c1,b3,true,5644,3,2,fp,3
3260,584,1,3,c1,b3,false,6288,3,2,rv,4
2028,441,0,2,c1,b3,false,4754,3,3,tn,2
3253,460,1,2,c1,b3,false,7349,3,3,tn,3
110,441,0,2,c1,b3,true,2175,2,0,tn,2
2755,96,2,2,k,b1,false,4759,3,0,rv,4
3557,744,3,2,c1,b3,true,6260,2,2,tn,5
4931,24,2,0,k,k,false,6842,2,0,rv,2
174,164,2,1,b1,c2,false,3417,2,0,rv,3
2502,474,1,2,c1,b3,false,4255,2,2,tn,3
194,72,4,0,b1,c2,false,2742,3,0,rv,4
220,548,2,2,c1,b3,false,2945,2,3,tn,4
2858,432,4,2,b3,b2,false,7314,2,2,rv,6
2649,676,1,3,c1,b3,true,5611,2,2,tn,4
6778,24,2,0,k,k,false,7204,3,3,rv,2
4939,572,2,2,c1,b3,true,6907,2,2,fp,4
356,495,1,2,c1,b3,true,6767,4,2,fp,3
