@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5993,82,2,0,b3,c2,false,7352,3,3,tn,2
2802,48,0,3,k,k,true,5646,2,0,rv,3
4021,246,2,2,b3,b2,false,4197,3,2,fp,4
2083,246,2,2,b3,b2,false,2099,2,0,fp,4
5476,24,0,2,k,k,true,7383,2,2,rv,2
1106,344,2,2,b3,b2,false,6897,4,2,tn,4
3683,48,1,3,b2,k,true,6924,2,0,rv,4
6103,82,2,0,b3,c2,false,6169,2,2,tn,2
6883,148,2,1,b3,k,true,7422,2,2,tn,3
4427,148,2,1,b3,c2,false,6508,2,0,tn,3
2810,344,2,2,b3,b2,false,5801,2,3,tn,4
6500,148,2,1,b3,k,true,6514,2,0,tn,3
6504,164,1,1,k,k,true,6510,3,0,rv,2
7056,82,2,0,b3,c2,false,7072,2,2,tn,2
193,108,3,1,b1,k,true,3784,2,2,rv,4
1603,204,2,2,k,b1,false,5003,2,2,rv,4
5861,28,1,0,k,k,true,7417,2,3,rv,1
5090,24,0,2,k,k,true,5127,3,2,rv,2
3381,88,2,1,k,c2,false,3391,2,0,rv,3
2291,552,3,1,b3,k,true,5644,3,2,rv,4
1605,36,0,3,c2,b1,true,4836,2,2,rv,3
4659,16,1,0,k,k,true,4768,2,2,rv,1
3260,454,2,2,c1,b3,false,6288,3,2,tn,4
5201,52,1,1,k,k,false,7147,2,4,rv,2
2282,24,1,1,c2,b1,true,2304,2,0,rv,2
2838,108,0,3,k,b2,false,4365,2,2,rv,3
2657,126,1,2,c2,b1,false,4930,2,2,rv,3
6074,16,1,1,k,k,true,7359,2,2,rv,2
3218,4,0,0,k,k,true,3225,3,2,rv,0
3128,12,0,1,k,k,false,4677,2,0,rv,1
6115,12,1,0,k,c2,false,7316,3,2,rv,1
