@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
4207,4,1,0,b3,k,true,4275,3,2,fp,1
2518,28,2,0,b1,k,true,3504,2,0,rv,2
6371,28,1,0,k,k,true,6381,2,2,rv,1
2468,48,0,3,c2,b2,true,3333,3,0,rv,3
3838,54,0,3,c2,b1,true,7156,3,2,rv,3
3000,16,1,0,k,k,false,4415,3,2,rv,1
5750,24,1,1,c2,b1,true,6318,2,2,rv,2
4272,756,4,1,b3,c1,false,6924,2,0,rv,5
2468,216,4,1,b3,k,true,6204,3,0,rv,5
2986,8,0,1,k,k,false,2986,2,0,rv,1
3239,8,0,1,c2,b2,false,3242,2,0,rv,1
5341,8,0,1,c2,b2,false,6630,3,0,rv,1
5986,12,1,0,k,k,false,6510,3,0,rv,1
2844,24,1,2,b2,k,false,7055,3,2,rv,3
3293,8,2,0,b1,c2,false,5841,2,2,rv,2
4673,12,1,0,k,k,true,7352,4,3,rv,1
191,508,1,4,c1,b3,false,3784,2,2,rv,5
2835,24,1,1,k,k,true,5003,2,2,rv,2
4885,72,0,3,k,b2,false,7261,2,2,rv,3
5167,4,1,0,b1,k,true,5302,3,4,rv,1
3118,4,1,0,b1,k,false,4768,2,2,rv,1
2843,96,1,3,c2,b2,true,4061,2,0,rv,4
5364,4,1,0,b1,k,true,6774,2,2,rv,1
295,36,0,2,k,b2,false,2304,2,0,rv,2
1389,36,1,2,c2,b1,true,6534,4,3,rv,3
2919,12,0,1,k,k,false,4049,3,3,rv,1
2809,48,1,2,k,b1,false,5780,3,2,rv,3
4938,24,0,2,k,k,false,7359,2,2,rv,2
4270,24,0,2,k,k,false,6804,2,3,rv,2
3546,16,0,2,k,b1,false,6188,2,0,rv,2
2622,8,0,1,k,k,false,4213,2,0,rv,1
2560,4,1,0,b1,k,false,3497,2,0,rv,1
3131,4,1,0,b1,k,false,4837,2,2,rv,1
2660,48,0,3,k,b1,false,4954,2,2,rv,3
1606,48,2,1,c2,b2,true,1607,3,5,rv,3
3021,24,0,2,k,k,false,7275,2,3,rv,2
3205,108,0,3,k,b2,false,5988,3,0,rv,3
3561,36,0,2,k,b2,false,6260,2,2,rv,2
2778,16,0,2,k,b1,false,7020,2,3,rv,2
5811,72,1,2,k,k,true,6842,2,0,rv,3
4007,12,1,1,b1,k,false,6483,2,2,rv,2
3207,24,0,2,k,k,true,6087,2,2,rv,2
3987,324,2,2,k,k,true,6484,3,2,rv,4
3018,36,1,1,k,k,false,4683,3,2,rv,2
4207,28,1,0,k,k,true,4255,2,2,rv,1
6556,24,0,2,k,k,false,7372,3,3,rv,2
3218,16,0,2,k,b1,false,5203,3,2,rv,2
1641,432,5,1,b3,k,true,6587,2,2,rv,6
4060,4,0,0,k,k,false,4162,2,0,rv,0
1368,12,0,1,k,k,false,7256,4,2,rv,1
5946,24,0,2,k,b1,false,7457,2,3,rv,2
5968,4,0,0,k,k,false,6914,2,0,rv,0
1605,12,0,1,k,b2,false,1605,3,5,rv,1
5370,12,0,1,k,k,false,7218,3,4,rv,1
5088,24,1,1,k,c2,false,5183,3,2,rv,2
3332,16,1,1,k,k,true,3423,2,2,rv,2
4218,48,2,1,c2,b2,false,6395,3,0,rv,3
5415,12,0,1,k,k,false,7376,2,4,rv,1
3142,784,3,3,b3,k,true,7314,2,2,tn,6
7015,84,2,1,b1,k,true,7193,2,2,rv,3
3434,12,1,0,k,k,false,6526,2,0,rv,1
2338,8,2,0,b2,k,true,5772,2,2,rv,2
5605,24,2,1,b1,c2,false,5611,2,2,rv,3
3573,216,2,2,k,b1,false,6941,2,3,rv,4
1607,24,0,2,k,b1,false,7406,2,4,rv,2
5818,8,0,1,k,k,false,6948,3,2,rv,1
4122,8,2,0,b1,c2,false,4127,3,3,rv,2
2176,20,1,1,c2,b2,true,5254,3,2,rv,2
2721,144,2,2,c2,b2,false,4022,2,0,rv,4
3274,12,0,1,k,k,false,5904,3,2,rv,1
1067,12,1,1,b1,k,true,3758,4,2,rv,2
3243,8,0,1,k,k,true,5281,2,2,rv,1
2787,24,0,2,k,b1,false,2788,3,2,rv,2
2008,28,2,0,b1,k,true,4795,2,3,rv,2
1609,8,1,0,k,c2,false,1609,4,4,rv,1
5854,12,1,0,k,k,true,5928,3,3,rv,1
5166,16,1,1,k,k,false,6996,2,2,rv,2
6273,8,2,0,b1,c2,false,6317,3,2,rv,2
5804,12,1,1,b1,k,false,6768,3,2,rv,2
6194,36,1,1,k,k,false,6277,2,0,rv,2
1600,568,1,4,c1,b3,false,2600,3,0,rv,5
2714,18,0,2,c2,b1,false,6056,2,2,rv,2
4720,8,0,1,c2,b2,true,6916,4,0,rv,1
4974,4,0,0,k,k,true,7100,2,2,rv,0
2603,162,0,4,c2,b1,false,3625,3,2,rv,4
5802,36,0,2,k,k,false,5877,2,2,rv,2
4437,84,1,1,k,k,false,4461,2,2,rv,2
5917,8,2,0,b1,c2,false,5917,2,0,rv,2
2480,24,0,2,k,b1,false,3386,2,2,rv,2
2856,72,1,2,k,k,true,7220,3,4,rv,3
4941,36,0,2,k,k,false,6936,2,2,rv,2
1606,16,0,2,k,b1,false,1607,3,5,rv,2
3336,12,0,1,k,k,false,3431,3,2,rv,1
5969,36,0,2,k,b2,false,6965,2,2,rv,2
2788,28,2,0,b1,k,true,5425,2,0,rv,2
3073,16,0,2,c2,b2,false,3077,3,2,rv,2
4013,108,3,1,b2,k,true,4152,2,2,rv,4
2734,48,2,1,c2,b2,true,2739,2,0,rv,3
3273,36,2,1,c2,b1,true,5513,3,3,rv,3
5526,12,0,1,k,k,false,6227,4,2,rv,1
3655,72,0,4,c2,b1,true,6863,2,2,rv,4
1631,72,1,2,k,b1,false,3487,4,2,rv,3
3073,72,1,2,k,k,true,5773,2,2,rv,3
6371,8,1,0,k,c2,false,6537,3,2,rv,1
2823,56,2,1,b1,k,true,6097,2,0,rv,3
5120,12,1,0,k,k,true,6617,3,2,rv,1
194,216,3,2,b3,b2,true,3927,2,2,rv,5
3570,24,1,1,k,c2,false,3709,2,2,rv,2
3788,8,0,1,c2,b2,true,6406,2,0,rv,1
2793,36,0,3,c2,b1,false,3969,2,2,rv,3
6358,24,1,1,c2,b2,true,7069,2,2,rv,2
2637,24,1,2,b2,k,false,6942,2,3,rv,3
177,12,1,1,c2,b1,true,1646,2,0,rv,2
3010,16,0,2,k,k,true,4414,2,0,rv,2
6204,12,2,0,b2,k,false,6208,2,0,rv,2
1876,12,2,0,b2,k,true,4228,2,2,rv,2
5152,8,0,1,c2,b2,false,6847,2,3,rv,1
4044,36,0,3,c2,b1,false,6702,2,3,rv,3
2027,24,0,2,k,k,false,4770,2,2,rv,2
3462,12,1,1,b2,k,false,6566,3,2,rv,2
4563,36,1,1,k,k,true,7259,2,2,rv,2
4866,84,1,1,k,k,false,4927,2,2,rv,2
3272,4,0,0,k,k,false,5844,3,2,rv,0
2946,8,0,1,k,k,false,7384,2,2,rv,1
3306,24,1,1,k,k,true,6143,2,0,rv,2
1885,144,2,3,b2,b2,false,1932,2,0,rv,5
2890,24,1,2,c2,b1,true,5469,2,2,rv,3
1590,48,0,3,k,b1,false,7211,4,3,rv,3
3141,8,1,0,k,k,true,4759,2,0,rv,1
2699,36,0,2,k,k,false,3687,2,2,rv,2
1631,28,2,0,b1,c2,false,3430,2,2,rv,2
1608,24,3,0,b2,k,true,7216,2,4,rv,3
5165,56,2,1,k,k,true,7422,2,2,rv,3
3601,84,2,1,b1,c2,false,6700,2,3,rv,3
5160,8,0,1,k,k,false,6919,3,2,rv,1
6215,72,1,2,k,b2,false,6793,3,2,rv,3
2007,12,1,2,b2,b1,true,4664,3,0,rv,3
5528,12,1,0,k,k,false,5559,2,0,rv,1
6194,36,1,1,k,k,false,6735,2,2,rv,2
4703,12,2,0,b1,k,true,6942,3,3,rv,2
5410,4,0,0,k,k,false,5464,3,3,rv,0
5566,8,0,1,k,k,false,5726,2,3,rv,1
5801,28,1,0,k,k,true,5865,3,2,rv,1
2622,28,2,0,b1,k,false,2630,2,0,rv,2
4498,420,3,2,b3,b2,true,6946,3,2,fp,5
1602,12,0,1,k,b2,false,7038,2,2,rv,1
5590,4,0,0,k,k,false,6813,3,2,rv,0
5591,36,1,1,k,k,true,6843,3,0,rv,2
4173,84,2,1,b1,c2,false,7314,2,2,rv,3
6186,24,0,2,k,k,false,6310,2,0,rv,2
3768,72,1,2,k,k,false,6209,2,2,rv,3
2941,48,1,2,c2,b2,true,4239,2,2,rv,3
4718,24,0,2,k,b2,false,7345,2,4,rv,2
4500,12,0,1,k,k,true,6929,3,2,rv,1
5346,12,2,0,b2,c2,false,5346,3,2,rv,2
5546,24,0,2,k,k,false,6513,2,2,rv,2
3558,36,0,3,c2,b1,false,6328,3,0,rv,3
6203,108,1,2,k,k,false,6785,2,2,rv,3
5883,12,0,1,k,k,false,7320,2,2,rv,1
5319,24,0,2,c2,b2,true,5428,3,2,rv,2
5415,24,2,0,k,k,true,5428,2,2,rv,2
5380,4,0,0,k,k,true,6999,2,3,rv,0
2953,72,1,2,k,b1,false,5044,2,2,rv,3
3029,8,2,0,b1,c2,false,4470,2,0,rv,2
3018,48,1,2,k,k,true,4681,2,2,rv,3
6206,4,0,0,k,k,false,6206,2,0,rv,0
3574,144,1,3,k,k,true,6303,3,0,rv,4
5306,8,0,1,k,k,false,6431,3,0,rv,1
2842,18,0,2,c2,b1,true,4019,2,0,rv,2
3987,24,0,2,k,b1,false,4006,3,2,rv,2
2721,756,3,2,b3,c1,false,3995,2,0,fp,5
4207,126,1,2,c2,b1,true,4276,3,2,rv,3
6732,4,1,0,b1,k,false,7004,2,3,rv,1
2875,12,0,1,k,k,false,5106,2,0,rv,1
3117,16,1,1,k,k,false,5340,3,2,rv,2
3139,216,1,3,k,b2,false,5788,2,0,rv,4
4279,144,3,1,k,k,true,6922,2,2,rv,4
6420,24,2,1,b1,c2,false,6424,2,0,rv,3
3086,8,2,0,b2,k,true,7171,3,2,rv,2
5142,8,1,0,k,c2,false,5166,2,2,rv,1
2724,4,0,0,k,k,false,2729,2,2,rv,0
3253,18,1,1,k,k,false,5264,2,2,rv,2
216,32,0,3,c2,b2,false,1892,2,0,rv,3
264,24,0,2,k,k,false,3747,2,2,rv,2
5634,8,1,0,k,k,true,7106,3,2,rv,1
2908,8,0,1,k,k,false,4011,3,2,rv,1
4343,24,1,1,k,k,true,7235,3,3,rv,2
3086,72,1,2,k,b1,false,6084,3,0,rv,3
3732,72,0,3,k,b2,false,6982,2,2,rv,3
3548,24,0,2,k,k,false,6207,2,0,rv,2
3546,108,2,1,k,k,false,3546,2,0,rv,3
6504,12,0,1,k,k,false,7302,3,2,rv,1
1600,24,0,2,k,k,false,3830,3,2,rv,2
4467,8,1,1,b1,k,false,6630,3,0,rv,2
7036,72,3,1,b1,k,false,7051,3,2,rv,4
4218,4,0,0,k,k,true,4240,3,2,rv,0
1603,36,3,0,b2,c2,false,6554,2,4,rv,3
3887,24,2,0,k,k,true,7073,2,2,rv,2
6187,56,1,1,c2,b2,true,6436,2,2,rv,2
5158,24,0,2,k,k,false,6895,4,2,rv,2
6267,16,1,1,k,k,true,6338,2,0,rv,2
1603,24,0,2,c2,b2,true,6805,2,2,rv,2
4907,24,0,2,c2,b2,false,5084,2,2,rv,2
3030,72,0,3,k,b2,false,6750,2,2,rv,3
4222,12,2,0,b1,k,true,4259,2,0,rv,2
4868,12,1,0,k,k,false,4942,2,0,rv,1
5582,8,0,1,k,k,false,6719,2,2,rv,1
5165,12,0,1,k,k,false,6945,3,2,rv,1
1606,84,1,1,k,c2,false,5024,2,2,rv,2
6186,84,1,1,k,k,false,6431,2,0,rv,2
748,18,0,2,c2,b1,true,6500,4,2,rv,2
3030,72,0,3,c2,b2,false,3031,3,0,rv,3
5087,8,0,1,k,k,false,6258,3,0,rv,1
3601,12,0,1,k,k,false,3670,3,0,rv,1
4207,36,1,2,c2,b1,true,4288,2,0,rv,3
3333,252,3,0,k,c2,false,6469,2,3,rv,3
2954,8,2,0,b2,k,true,5034,2,2,rv,2
2831,36,1,1,k,k,false,4307,2,3,rv,2
5409,8,1,0,k,c2,false,7075,3,2,rv,1
3821,48,3,0,k,k,true,3837,2,2,rv,3
2836,24,0,2,k,b1,false,4135,2,2,rv,2
2348,8,1,0,k,c2,false,5894,2,2,rv,1
3498,168,2,1,k,k,true,6632,2,2,rv,3
5599,12,0,1,k,k,false,6977,2,2,rv,1
5598,12,1,0,k,k,false,6947,2,2,rv,1
5306,24,2,0,k,k,true,5364,3,2,rv,2
6704,4,0,0,k,k,true,7089,3,2,rv,0
4651,18,0,2,c2,b1,false,6323,2,0,rv,2
1601,12,1,1,b2,k,false,6798,2,4,rv,2
1896,168,2,2,b1,c2,false,4386,2,2,rv,4
4454,54,1,2,c2,b1,true,7365,2,2,rv,3
6203,24,0,2,k,b1,false,6757,3,2,rv,2
1942,12,1,0,k,k,true,1972,2,0,rv,1
5895,12,1,1,b1,k,false,7307,3,4,rv,2
2540,36,0,2,k,k,false,6665,2,4,rv,2
1772,508,1,4,c1,b3,true,3924,3,2,rv,5
3462,12,0,1,k,k,false,6574,2,2,rv,1
4438,72,0,4,c2,b1,true,6619,3,2,rv,4
6056,36,2,1,c2,b1,true,7000,2,2,rv,3
6196,168,1,2,k,k,true,6786,2,2,rv,3
