@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
6130,441,0,2,c1,b3,true,7352,3,3,tn,2
5526,48,3,0,k,c2,false,5646,2,0,rv,3
2882,572,2,2,c1,b3,true,4197,3,2,fp,4
260,572,2,2,c1,b3,true,2099,2,0,fp,4
5554,24,2,0,k,k,false,7383,2,2,rv,2
2680,572,2,2,c1,b3,true,6897,4,2,tn,4
4272,96,3,1,c2,b2,false,6924,2,0,rv,4
2417,441,0,2,c1,b3,true,6169,2,2,tn,2
3491,474,1,2,c1,b3,false,7422,2,2,tn,3
2493,474,1,2,c1,b3,true,6508,2,0,tn,3
2347,572,2,2,c1,b3,true,5801,2,3,tn,4
3382,474,1,2,c1,b3,false,6514,2,0,tn,3
5986,164,1,1,k,c2,false,6510,3,0,rv,2
3229,441,0,2,c1,b3,true,7072,2,2,tn,2
191,162,1,3,c2,b1,false,3784,2,2,rv,4
2835,204,2,2,k,k,true,5003,2,2,rv,4
5051,28,0,1,k,k,false,7417,2,3,rv,1
5120,24,2,0,k,k,false,5127,3,2,rv,2
2479,88,1,2,k,k,true,3391,2,0,rv,3
2800,676,1,3,c1,b3,false,5644,3,2,rv,4
1605,24,3,0,b1,c2,false,4836,2,2,rv,3
3118,16,0,1,k,k,false,4768,2,2,rv,1
1612,80,2,2,b3,b1,true,6288,3,2,tn,4
3618,52,1,1,k,k,true,7147,2,4,rv,2
295,16,1,1,b1,k,false,2304,2,0,rv,2
4272,108,3,0,k,k,true,4365,2,2,rv,3
254,84,2,1,b1,k,true,4930,2,2,rv,3
4938,16,1,1,k,k,false,7359,2,2,rv,2
3223,4,0,0,k,k,false,3225,3,2,rv,0
4673,12,1,0,k,k,true,4677,2,0,rv,1
4748,12,0,1,k,k,true,7316,3,2,rv,1
3548,432,2,3,k,b1,false,6418,3,2,rv,5
6387,8,2,0,b2,k,true,7365,3,2,rv,2
7008,12,0,1,k,k,false,7105,2,2,rv,1
1606,56,3,1,b1,k,true,1607,3,5,rv,4
2788,12,1,1,b2,k,false,6758,3,2,rv,2
6473,4,1,0,b2,k,true,6497,2,2,rv,1
3096,4,1,0,b2,k,false,6847,2,3,rv,1
3561,552,0,3,k,b2,false,6260,2,2,rv,3
5811,24,0,2,k,k,true,6842,2,0,rv,2
3207,72,1,2,k,k,true,6087,2,2,rv,3
3987,72,3,1,b2,k,true,6484,3,2,rv,4
4967,48,1,2,c2,b2,false,7291,2,2,rv,3
5536,12,0,1,k,k,true,7022,3,3,rv,1
2491,24,1,1,c2,b2,true,3417,2,0,rv,2
6728,12,0,1,k,k,false,7135,2,0,rv,1
4207,504,1,3,c1,b2,true,4255,2,2,rv,4
2887,12,2,0,b2,k,true,4068,2,0,rv,2
5318,8,0,1,k,k,true,5344,2,0,rv,1
6686,24,0,2,k,k,false,6850,3,2,rv,2
6436,24,1,1,k,c2,false,6650,2,2,rv,2
4647,12,1,0,k,k,true,6519,2,3,rv,1
6679,28,0,1,k,k,false,6915,2,2,rv,1
5968,6,0,1,c2,b1,false,6914,2,0,rv,1
1488,8,0,1,k,k,true,7381,3,2,rv,1
1605,12,0,1,k,k,false,1605,3,5,rv,1
5391,54,1,2,c2,b1,true,7450,2,3,rv,3
4306,36,0,2,k,k,true,7009,2,4,rv,2
1608,8,0,1,k,b1,false,7215,2,3,rv,1
7015,24,2,0,k,k,true,7193,2,2,rv,2
1600,12,2,0,b1,k,true,3996,2,3,rv,2
5986,24,2,0,k,k,true,6518,2,2,rv,2
3887,216,3,1,k,k,true,7204,2,3,rv,4
4761,12,0,2,c2,b1,false,7150,3,3,rv,2
3603,24,2,0,k,c2,false,6771,2,2,rv,2
1601,24,0,2,k,k,true,4482,3,2,rv,2
5222,24,2,0,k,k,true,7228,2,3,rv,2
6498,24,2,0,k,k,true,7286,2,2,rv,2
3030,252,1,2,k,k,true,6748,2,2,rv,3
2008,108,4,0,b2,k,true,4795,2,3,rv,4
5361,24,2,0,k,k,true,5361,3,3,rv,2
6233,72,2,1,k,k,true,6818,2,2,rv,3
1609,6,0,1,c2,b1,false,1609,4,4,rv,1
6109,6,0,1,c2,b1,true,7301,2,0,rv,1
4974,12,1,1,c2,b1,true,7100,2,2,rv,2
1600,36,1,1,k,k,false,6353,2,3,rv,2
2603,108,1,3,c2,b1,false,3625,3,2,rv,4
2699,16,3,0,b1,k,true,5755,2,2,rv,3
1467,152,1,1,k,c2,false,7253,3,2,rv,2
3183,24,0,2,k,b2,false,4882,2,0,rv,2
935,76,0,1,k,k,true,7096,3,3,rv,1
2296,72,2,2,c2,b1,false,5742,2,4,rv,4
4896,4,0,0,k,k,true,6596,2,0,rv,0
2856,72,3,0,k,k,true,7220,3,4,rv,3
4967,12,0,1,k,k,false,7288,2,2,rv,1
6699,24,1,1,k,k,true,6871,2,2,rv,2
5346,4,0,0,k,k,false,6673,2,2,rv,0
4966,28,0,1,k,k,true,4969,2,2,rv,1
3273,12,1,0,k,k,true,5513,3,3,rv,1
3400,36,1,1,k,k,false,3509,2,0,rv,2
5526,12,0,1,k,k,false,6227,4,2,rv,1
3655,504,1,3,c1,b2,true,6863,2,2,rv,4
3988,72,1,2,k,c2,false,6500,3,2,rv,3
283,12,1,0,k,k,true,283,2,2,rv,1
3603,24,2,0,k,k,true,3608,2,3,rv,2
1631,84,1,1,k,k,false,3487,4,2,rv,2
3073,72,0,2,c2,b2,true,5773,2,2,rv,2
6415,16,0,2,c2,b2,false,7177,2,2,rv,2
2823,108,2,1,k,k,true,6097,2,0,rv,3
1622,24,3,0,b2,k,true,3394,2,0,rv,3
6350,4,0,0,k,k,true,6497,3,2,rv,0
194,342,0,3,c1,b2,true,3927,2,2,rv,3
2655,36,1,1,k,k,false,4874,2,0,rv,2
4271,4,0,0,k,k,true,4359,2,2,rv,0
3788,8,0,1,c2,b2,true,6406,2,0,rv,1
2921,24,2,1,b2,k,true,7045,3,2,rv,3
2732,12,1,1,b2,k,false,4217,3,2,rv,2
6266,12,0,1,k,k,true,6574,2,2,rv,1
6885,12,0,1,k,k,false,6937,2,3,rv,1
3010,6,0,1,c2,b1,true,4414,2,0,rv,1
2027,24,0,2,k,k,false,4770,2,2,rv,2
3161,4,0,0,k,k,false,4895,2,2,rv,0
6748,24,2,0,k,k,true,6998,2,2,rv,2
4665,36,2,1,c2,b1,true,6502,4,2,rv,3
6687,12,0,1,k,k,true,6701,2,3,rv,1
2890,24,2,0,k,k,true,5469,2,2,rv,2
7097,16,2,0,k,k,true,7098,3,2,rv,2
3141,16,1,1,k,k,true,4759,2,0,rv,2
3435,72,1,2,c2,b2,true,6517,3,0,rv,3
7009,36,1,1,k,c2,false,7172,2,3,rv,2
5526,24,0,2,k,b1,false,5548,2,0,rv,2
3398,54,1,2,c2,b1,false,6417,3,2,rv,3
6136,4,0,0,k,k,true,7401,2,2,rv,0
3030,36,2,0,k,k,true,4513,2,0,rv,2
1631,16,3,0,b1,c2,false,3430,2,2,rv,3
2103,72,0,3,c2,b2,false,5060,2,2,rv,3
4216,12,1,0,k,k,true,6393,2,2,rv,1
5165,36,1,1,k,k,true,7422,2,2,rv,2
5528,12,1,0,k,k,false,5559,2,0,rv,1
6194,84,1,1,k,k,false,6735,2,2,rv,2
4649,12,1,0,k,k,true,4654,2,0,rv,1
3345,108,3,0,k,k,true,3349,4,0,rv,3
4498,48,1,2,c2,b2,true,6946,3,2,rv,3
1602,24,2,1,b2,c2,false,7038,2,2,rv,3
4870,12,0,1,k,b2,false,6315,2,3,rv,1
6186,64,0,2,c2,b2,true,6358,2,2,rv,2
6743,12,2,0,b2,k,true,7156,3,2,rv,2
6186,24,0,2,k,k,false,6310,2,0,rv,2
3768,36,2,1,c2,b1,false,6209,2,2,rv,3
3833,24,3,0,b2,k,true,3856,2,2,rv,3
2480,16,3,0,b2,k,true,3394,3,0,rv,3
5190,36,0,2,k,b2,false,7214,2,2,rv,2
5801,48,3,0,k,k,true,5801,2,3,rv,3
5836,24,2,0,k,k,true,6996,2,2,rv,2
3821,48,0,3,c2,b2,false,3852,2,2,rv,3
1600,436,3,1,c1,b3,true,6230,2,3,rv,4
2545,24,2,1,b1,c2,false,2574,2,0,rv,3
6577,12,1,0,k,k,true,6579,2,2,rv,1
6203,72,2,1,k,c2,false,6785,2,2,rv,3
2810,36,2,1,c2,b1,true,3977,2,2,rv,3
5319,4,0,0,k,k,true,5428,3,2,rv,0
5986,108,3,0,k,k,true,6510,2,0,rv,3
2470,96,0,4,c2,b2,true,3352,2,0,rv,4
2710,48,0,3,c2,b2,false,5973,2,0,rv,3
6021,8,0,1,k,b1,false,6026,2,2,rv,1
3133,76,0,1,k,k,true,5712,2,2,rv,1
6358,48,3,0,k,c2,false,7158,4,2,rv,3
6021,12,0,1,k,k,false,6068,2,2,rv,1
5229,24,2,0,k,k,true,5285,2,2,rv,2
5671,4,0,0,k,k,true,7304,2,2,rv,0
3261,36,1,1,k,k,true,5605,2,2,rv,2
4821,72,3,0,k,k,true,7389,2,2,rv,3
3683,48,2,2,b1,c2,false,6922,2,2,rv,4
4279,72,2,1,k,k,true,6922,2,2,rv,3
2875,72,1,2,k,k,true,4200,2,0,rv,3
5151,4,0,0,k,k,true,5179,2,2,rv,0
2603,8,0,1,k,k,true,3623,2,2,rv,1
216,86,1,3,b1,b1,false,1892,2,0,rv,4
3576,36,2,1,c2,b1,true,6642,2,2,rv,3
5634,24,2,0,k,k,true,7106,3,2,rv,2
6687,4,0,0,k,k,false,7050,2,2,rv,0
2908,8,0,1,k,k,false,4011,3,2,rv,1
1687,12,1,0,k,k,true,1694,2,2,rv,1
5966,24,1,1,k,c2,false,6264,2,0,rv,2
4343,72,1,2,c2,b2,true,7235,3,3,rv,3
2496,240,3,1,k,b2,false,4034,2,0,rv,4
3548,54,0,3,c2,b1,false,6207,2,0,rv,3
6209,12,0,1,k,k,false,6781,3,2,rv,1
2044,64,1,1,c2,b2,true,4813,2,3,rv,2
