@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
224,402,0,1,c1,b3,false,4275,3,2,fp,1
2589,32,0,2,c2,b1,false,3504,2,0,rv,2
5316,28,0,1,k,k,false,6381,2,2,rv,1
1610,24,3,0,b2,k,false,3333,3,0,rv,3
1307,36,3,0,b1,k,false,7156,3,2,rv,3
3009,16,0,1,k,k,true,4415,3,2,rv,1
3573,16,1,1,b1,k,false,6318,2,2,rv,2
3683,778,1,4,c1,b3,true,6924,2,0,rv,5
3766,508,1,4,c1,b3,false,6204,3,0,rv,5
2986,8,1,0,k,k,true,2986,2,0,rv,1
273,4,1,0,b2,k,true,3242,2,0,rv,1
6554,4,1,0,b2,k,true,6630,3,0,rv,1
6504,12,0,1,k,k,true,6510,3,0,rv,1
3875,96,2,1,c2,b2,true,7055,3,2,rv,3
5814,12,0,2,c2,b1,true,5841,2,2,rv,2
6882,12,0,1,k,k,false,7352,4,3,rv,1
193,216,4,1,b3,k,true,3784,2,2,rv,5
1603,24,1,1,k,c2,false,5003,2,2,rv,2
4356,72,3,0,k,k,true,7261,2,2,rv,3
5252,6,0,1,c2,b1,false,5302,3,4,rv,1
4659,6,0,1,c2,b1,true,4768,2,2,rv,1
3988,48,3,1,b2,c2,false,4061,2,0,rv,4
6768,6,0,1,c2,b1,false,6774,2,2,rv,1
2282,36,2,0,k,k,true,2304,2,0,rv,2
5096,24,2,1,b1,c2,false,6534,4,3,rv,3
4041,12,1,0,k,k,true,4049,3,3,rv,1
3073,48,2,1,k,k,true,5780,3,2,rv,3
6074,24,2,0,k,k,true,7359,2,2,rv,2
4490,24,2,0,k,k,true,6804,2,3,rv,2
1808,16,2,0,k,k,true,6188,2,0,rv,2
4210,8,1,0,k,k,true,4213,2,0,rv,1
2517,6,0,1,c2,b1,true,3497,2,0,rv,1
4811,6,0,1,c2,b1,true,4837,2,2,rv,1
4868,48,3,0,k,k,true,4954,2,2,rv,3
1607,24,1,2,b2,k,false,1607,3,5,rv,3
6686,24,2,0,k,k,true,7275,2,3,rv,2
2591,108,3,0,k,k,true,5988,3,0,rv,3
3557,36,2,0,k,k,true,6260,2,2,rv,2
4966,16,2,0,k,k,true,7020,2,3,rv,2
4931,72,2,1,k,k,false,6842,2,0,rv,3
4207,18,1,1,c2,b1,true,6483,2,2,rv,2
5979,24,2,0,k,k,false,6087,2,2,rv,2
4216,324,2,2,k,b1,false,6484,3,2,rv,4
4680,36,1,1,k,k,true,4683,3,2,rv,2
2502,28,0,1,k,k,false,4255,2,2,rv,1
5912,24,2,0,k,k,true,7372,3,3,rv,2
2780,16,2,0,k,k,true,5203,3,2,rv,2
4648,616,1,5,c1,b3,false,6587,2,2,rv,6
4050,4,0,0,k,k,true,4162,2,0,rv,0
4088,12,1,0,k,k,true,7256,4,2,rv,1
4837,24,2,0,k,k,true,7457,2,3,rv,2
4718,4,0,0,k,k,true,6914,2,0,rv,0
1605,12,1,0,k,k,true,1605,3,5,rv,1
6470,12,1,0,k,k,true,7218,3,4,rv,1
3228,24,1,1,k,k,true,5183,3,2,rv,2
2579,16,1,1,k,c2,false,3423,2,2,rv,2
3391,24,1,2,b2,k,true,6395,3,0,rv,3
4939,12,1,0,k,k,true,7376,2,4,rv,1
2858,792,3,3,c1,b3,false,7314,2,2,tn,6
5759,96,1,2,c2,b1,false,7193,2,2,rv,3
6245,12,0,1,k,k,true,6526,2,0,rv,1
5756,16,0,2,c2,b2,false,5772,2,2,rv,2
2649,36,1,2,c2,b1,true,5611,2,2,rv,3
6686,216,2,2,k,k,true,6941,2,3,rv,4
5197,24,2,0,k,k,true,7406,2,4,rv,2
5378,8,1,0,k,k,true,6948,3,2,rv,1
4050,12,0,2,c2,b1,true,4127,3,3,rv,2
1504,8,1,1,b2,b2,false,5254,3,2,rv,2
1811,72,2,2,b2,k,true,4022,2,0,rv,4
5756,12,1,0,k,k,true,5904,3,2,rv,1
3586,18,1,1,c2,b1,false,3758,4,2,rv,2
5252,8,1,0,k,k,false,5281,2,2,rv,1
921,24,2,0,k,k,true,2788,3,2,rv,2
2858,32,0,2,c2,b1,false,4795,2,3,rv,2
809,8,0,1,k,k,true,1609,4,4,rv,1
1405,12,0,1,k,b2,false,5928,3,3,rv,1
5171,16,1,1,k,k,true,6996,2,2,rv,2
6195,12,0,2,c2,b1,true,6317,3,2,rv,2
6195,18,1,1,c2,b1,true,6768,3,2,rv,2
4646,36,1,1,k,k,true,6277,2,0,rv,2
180,336,4,1,b3,k,true,2600,3,0,rv,5
2714,12,2,0,b1,k,true,6056,2,2,rv,2
1127,4,1,0,b2,k,false,6916,4,0,rv,1
4526,4,0,0,k,k,false,7100,2,2,rv,0
1690,108,4,0,b1,k,true,3625,3,2,rv,4
5857,36,2,0,k,k,true,5877,2,2,rv,2
4429,84,1,1,k,k,true,4461,2,2,rv,2
5773,12,0,2,c2,b1,true,5917,2,0,rv,2
3326,24,2,0,k,k,true,3386,2,2,rv,2
2834,72,2,1,k,c2,false,7220,3,4,rv,3
6816,36,2,0,k,k,true,6936,2,2,rv,2
1607,16,2,0,k,k,true,1607,3,5,rv,2
3426,12,1,0,k,k,true,3431,3,2,rv,1
6268,36,2,0,k,k,true,6965,2,2,rv,2
2976,30,0,2,c2,b1,false,5425,2,0,rv,2
237,8,2,0,b2,k,true,3077,3,2,rv,2
2879,216,1,3,c2,b2,false,4152,2,2,rv,4
194,24,1,2,b2,k,false,2739,2,0,rv,3
1609,24,1,2,b1,k,false,5513,3,3,rv,3
4866,12,1,0,k,k,true,6227,4,2,rv,1
3559,48,4,0,b1,c2,false,6863,2,2,rv,4
3345,72,2,1,k,k,true,3487,4,2,rv,3
2578,72,2,1,k,k,false,5773,2,2,rv,3
6534,8,0,1,k,k,true,6537,3,2,rv,1
3304,82,1,2,c2,b1,false,6097,2,0,rv,3
6470,12,0,1,k,k,false,6617,3,2,rv,1
289,562,2,3,c1,b3,false,3927,2,2,rv,5
2713,24,1,1,k,k,true,3709,2,2,rv,2
3787,4,1,0,b2,k,false,6406,2,0,rv,1
2776,24,3,0,b1,k,true,3969,2,2,rv,3
3884,12,1,1,b2,k,false,7069,2,2,rv,2
4725,96,2,1,c2,b2,true,6942,2,3,rv,3
177,8,1,1,b1,k,false,1646,2,0,rv,2
3008,16,2,0,k,c2,false,4414,2,0,rv,2
3548,24,0,2,c2,b2,true,6208,2,0,rv,2
4207,24,0,2,c2,b2,false,4228,2,2,rv,2
6826,4,1,0,b2,k,true,6847,2,3,rv,1
3604,24,3,0,b1,k,true,6702,2,3,rv,3
3141,24,2,0,k,k,true,4770,2,2,rv,2
5113,24,1,1,c2,b2,true,6566,3,2,rv,2
6484,36,1,1,k,k,false,7259,2,2,rv,2
4922,84,1,1,k,k,true,4927,2,2,rv,2
2909,4,0,0,k,k,true,5844,3,2,rv,0
5476,8,1,0,k,k,true,7384,2,2,rv,1
6066,24,1,1,k,c2,false,6143,2,0,rv,2
219,432,3,2,c1,b2,true,1932,2,0,rv,5
3274,16,2,1,b1,c2,false,5469,2,2,rv,3
7075,48,3,0,k,k,true,7211,4,3,rv,3
3141,8,0,1,k,b1,false,4759,2,0,rv,1
3610,36,2,0,k,k,true,3687,2,2,rv,2
2492,32,0,2,c2,b1,true,3430,2,2,rv,2
3945,48,0,3,c2,b2,false,7216,2,4,rv,3
6615,56,1,2,k,k,false,7422,2,2,rv,3
4044,96,1,2,c2,b1,true,6700,2,3,rv,3
6811,8,1,0,k,k,true,6919,3,2,rv,1
3856,72,2,1,k,k,true,6793,3,2,rv,3
2754,32,2,1,c2,b2,false,4664,3,0,rv,3
5537,12,0,1,k,k,true,5559,2,0,rv,1
6194,36,1,1,k,k,true,6735,2,2,rv,2
4869,18,0,2,c2,b1,false,6942,3,3,rv,2
3263,4,0,0,k,k,true,5464,3,3,rv,0
3228,8,1,0,k,k,true,5726,2,3,rv,1
3075,28,0,1,k,k,false,5865,3,2,rv,1
2624,30,0,2,c2,b1,true,2630,2,0,rv,2
3573,694,2,3,c1,b3,false,6946,3,2,fp,5
2855,12,1,0,k,k,true,7038,2,2,rv,1
4270,4,0,0,k,k,true,6813,3,2,rv,0
3602,36,1,1,k,k,false,6843,3,0,rv,2
4065,86,1,2,c2,b1,true,7314,2,2,rv,3
5749,24,2,0,k,k,true,6310,2,0,rv,2
3547,72,2,1,k,k,true,6209,2,2,rv,3
2504,24,2,1,b2,c2,false,4239,2,2,rv,3
4278,24,2,0,k,k,true,7345,2,4,rv,2
6806,12,1,0,k,c2,false,6929,3,2,rv,1
2209,24,0,2,c2,b2,true,5346,3,2,rv,2
5106,24,2,0,k,k,true,6513,2,2,rv,2
1609,24,3,0,b1,k,true,6328,3,0,rv,3
4484,108,2,1,k,k,true,6785,2,2,rv,3
7061,12,1,0,k,k,true,7320,2,2,rv,1
2760,12,2,0,b2,c2,false,5428,3,2,rv,2
5319,24,0,2,k,b1,false,5428,2,2,rv,2
6833,4,0,0,k,k,false,6999,2,3,rv,0
2958,72,2,1,k,k,true,5044,2,2,rv,3
3084,12,0,2,c2,b1,true,4470,2,0,rv,2
3106,48,2,1,k,k,false,4681,2,2,rv,3
4426,4,0,0,k,k,true,6206,2,0,rv,0
6230,144,3,1,k,c2,false,6303,3,0,rv,4
6350,8,1,0,k,k,true,6431,3,0,rv,1
2493,12,2,0,b1,c2,false,4019,2,0,rv,2
2831,24,2,0,k,k,true,4006,3,2,rv,2
181,778,2,3,c1,b3,true,3995,2,0,fp,5
1886,84,2,1,b1,c2,false,4276,3,2,rv,3
1608,6,0,1,c2,b1,true,7004,2,3,rv,1
5106,12,1,0,k,k,true,5106,2,0,rv,1
3117,16,1,1,k,k,true,5340,3,2,rv,2
5774,216,3,1,k,k,true,5788,2,0,rv,4
3696,144,1,3,k,b2,false,6922,2,2,rv,4
5318,36,1,2,c2,b1,true,6424,2,0,rv,3
7043,32,0,2,c2,b2,false,7171,3,2,rv,2
3162,8,0,1,k,k,true,5166,2,2,rv,1
2723,4,0,0,k,k,true,2729,2,2,rv,0
5262,18,1,1,k,k,true,5264,2,2,rv,2
222,16,3,0,b2,k,true,1892,2,0,rv,3
3661,24,2,0,k,k,true,3747,2,2,rv,2
5414,8,0,1,k,k,false,7106,3,2,rv,1
2831,8,1,0,k,k,true,4011,3,2,rv,1
6800,24,1,1,k,c2,false,7235,3,3,rv,2
5978,72,2,1,k,k,true,6084,3,0,rv,3
4870,72,3,0,k,k,true,6982,2,2,rv,3
6194,24,2,0,k,k,true,6207,2,0,rv,2
1676,108,1,2,k,k,true,3546,2,0,rv,3
6509,12,1,0,k,k,true,7302,3,2,rv,1
3830,24,2,0,k,k,true,3830,3,2,rv,2
3271,12,1,1,c2,b1,true,6630,3,0,rv,2
5847,108,1,3,c2,b1,true,7051,3,2,rv,4
4240,4,0,0,k,k,false,4240,3,2,rv,0
1603,144,0,3,c2,b2,true,6554,2,4,rv,3
4969,24,0,2,k,b2,false,7073,2,2,rv,2
3405,28,1,1,b2,k,false,6436,2,2,rv,2
5802,24,2,0,k,k,true,6895,4,2,rv,2
6330,16,1,1,k,b1,false,6338,2,0,rv,2
1603,12,2,0,b2,c2,false,6805,2,2,rv,2
3174,12,2,0,b2,k,true,5084,2,2,rv,2
3619,72,3,0,k,k,true,6750,2,2,rv,3
4216,18,0,2,c2,b1,false,4259,2,0,rv,2
2656,12,0,1,k,k,true,4942,2,0,rv,1
3610,8,1,0,k,k,true,6719,2,2,rv,1
6045,12,1,0,k,k,true,6945,3,2,rv,1
2955,84,1,1,k,k,true,5024,2,2,rv,2
6202,84,1,1,k,k,true,6431,2,0,rv,2
3018,12,2,0,b1,c2,false,6500,4,2,rv,2
256,36,3,0,b2,k,true,3031,3,0,rv,3
6246,8,1,0,k,k,true,6258,3,0,rv,1
2613,12,1,0,k,k,true,3670,3,0,rv,1
2626,24,2,1,b1,k,false,4288,2,0,rv,3
3782,252,0,3,k,k,true,6469,2,3,rv,3
4974,16,0,2,c2,b2,false,5034,2,2,rv,2
4216,36,1,1,k,k,true,4307,2,3,rv,2
1606,8,0,1,k,k,true,7075,3,2,rv,1
3767,48,0,3,k,b1,false,3837,2,2,rv,3
4123,24,2,0,k,k,true,4135,2,2,rv,2
5811,8,0,1,k,k,true,5894,2,2,rv,1
3498,168,1,2,k,c2,false,6632,2,2,rv,3
6245,12,1,0,k,k,true,6977,2,2,rv,1
5583,12,0,1,k,k,true,6947,2,2,rv,1
3261,24,0,2,k,k,false,5364,3,2,rv,2
5849,4,0,0,k,k,false,7089,3,2,rv,0
3566,12,2,0,b1,k,true,6323,2,0,rv,2
3019,48,1,1,c2,b2,true,6798,2,4,rv,2
2937,192,2,2,c2,b1,true,4386,2,2,rv,4
4279,36,2,1,b1,c2,false,7365,2,2,rv,3
5583,24,2,0,k,k,true,6757,3,2,rv,2
1961,12,0,1,k,k,false,1972,2,0,rv,1
4171,18,1,1,c2,b1,true,7307,3,4,rv,2
4888,36,2,0,k,k,true,6665,2,4,rv,2
