@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3056,4,1,0,b1,k,false,4620,2,2,rv,1
2768,26,3,0,b1,k,true,4991,2,2,rv,3
2733,10,1,0,k,c2,false,4261,3,4,rv,1
2699,32,2,0,k,k,true,3578,2,0,rv,2
3441,32,1,2,c2,b2,false,6520,3,2,rv,3
6560,4,0,0,k,k,true,6630,2,0,rv,0
676,16,1,1,b1,k,false,7076,4,2,rv,2
4921,10,1,0,k,k,true,4925,2,2,rv,1
4785,15,1,1,c2,b1,true,7323,2,3,rv,2
2765,12,1,1,b1,k,false,3939,2,0,rv,2
5319,16,0,1,k,k,true,5349,3,0,rv,1
3326,23,2,1,b2,b1,true,3337,2,0,rv,3
2480,84,2,2,c2,b2,false,3781,2,2,rv,4
3206,94,3,0,k,k,true,4959,3,2,rv,3
4217,112,1,2,c2,b2,true,6558,3,3,rv,3
2480,44,2,1,b1,k,false,3809,2,0,rv,3
2689,24,0,2,k,b1,false,6724,3,2,rv,2
2633,618,4,2,c1,b3,true,6207,2,0,rv,6
5097,30,2,0,k,k,false,7140,2,2,rv,2
5968,24,1,2,b1,k,false,5996,2,0,rv,3
2589,54,1,2,c2,b1,true,6226,3,0,rv,3
3986,26,2,0,k,k,true,6252,2,0,rv,2
4921,12,1,1,b1,k,false,6814,3,2,rv,2
4702,6,1,1,b2,b1,true,4708,2,2,rv,2
2656,28,3,0,b1,c2,false,4929,3,2,rv,3
2877,30,1,2,b1,k,false,4110,2,2,rv,3
6801,30,2,1,b1,c2,false,7235,3,3,rv,3
4869,44,1,2,c2,b1,false,6961,2,0,rv,3
5316,24,2,0,k,k,true,6408,2,2,rv,2
6068,4,0,0,k,k,false,7070,3,2,rv,0
1769,10,2,0,b1,c2,false,3900,3,2,rv,2
1499,119,3,1,c2,b2,true,7359,3,2,rv,4
4207,8,0,1,k,k,true,4211,2,0,rv,1
2504,60,1,2,k,b2,false,6554,3,4,rv,3
3129,36,0,2,k,k,true,4828,3,2,rv,2
4591,100,3,0,k,k,true,7347,2,3,rv,3
4772,10,2,0,b2,k,true,4773,2,0,rv,2
6209,8,0,1,k,k,false,6455,2,0,rv,1
3656,8,1,1,b1,k,false,6838,3,0,rv,2
2999,24,1,1,k,k,true,3000,2,2,rv,2
353,12,1,1,b1,k,false,353,5,0,rv,2
4876,44,1,1,k,k,false,4972,2,2,rv,2
6505,4,0,0,k,k,true,6629,3,2,rv,0
2622,24,0,2,k,b1,false,3570,2,0,rv,2
4656,44,2,1,b1,k,false,4775,2,0,rv,3
6721,12,1,1,b1,k,false,7127,2,3,rv,2
5861,34,1,1,k,k,true,7159,3,2,rv,2
19,12,0,1,k,k,false,1672,2,0,rv,1
3318,72,2,1,c2,b2,true,6125,3,0,rv,3
6687,10,0,1,k,k,false,6960,3,2,rv,1
5142,32,2,0,k,k,true,6770,2,2,rv,2
3838,10,2,0,b2,k,true,3933,2,2,rv,2
6388,12,2,0,b1,k,false,7105,2,2,rv,2
3321,14,1,0,k,k,true,7458,3,4,rv,1
6388,4,0,0,k,k,true,6406,2,0,rv,0
2644,12,1,1,b2,k,true,3566,3,0,rv,2
5160,27,1,1,c2,b2,false,7396,2,4,rv,2
3548,30,2,1,b1,c2,false,6204,2,0,rv,3
4505,4,0,0,k,k,false,4505,2,3,rv,0
3007,14,2,0,b2,k,true,5994,2,0,rv,2
3123,48,0,3,c2,b1,true,5514,2,2,rv,3
4013,17,1,1,c2,b1,true,4155,2,2,rv,2
4262,12,1,1,b1,k,false,6734,3,2,rv,2
6938,4,1,0,b1,k,false,6938,2,4,rv,1
4220,17,1,1,c2,b1,true,4334,2,0,rv,2
4570,30,2,1,b1,c2,false,7281,2,2,rv,3
2448,10,2,0,b1,c2,false,6163,2,2,rv,2
5583,4,0,0,k,k,true,5583,2,2,rv,0
4653,4,1,0,b1,k,false,6328,2,0,rv,1
2614,547,4,2,c1,b3,false,4156,3,2,rv,6
3282,12,1,1,b1,k,false,5454,2,0,rv,2
4446,12,0,1,k,k,false,4465,2,2,rv,1
6689,30,0,2,k,b2,false,6880,2,2,rv,2
1045,100,4,0,b1,k,true,6911,3,0,rv,4
4490,12,1,1,b1,k,false,6829,2,2,rv,2
5560,32,1,2,b1,k,false,5732,2,0,rv,3
224,86,4,0,b1,k,true,5707,2,0,rv,4
6680,6,0,1,c2,b1,true,6727,2,2,rv,1
2952,8,0,1,k,b1,false,4210,3,0,rv,1
4007,34,2,0,k,k,true,6483,4,2,rv,2
6555,21,0,2,c2,b2,false,7349,3,3,rv,2
6230,4,0,0,k,k,true,6241,4,0,rv,0
2922,48,1,1,k,k,false,4130,2,2,rv,2
4893,14,2,0,b1,k,false,6563,2,2,rv,2
2657,36,2,1,b1,k,false,6848,2,2,rv,3
6556,21,0,2,c2,b2,false,7351,3,3,rv,2
5547,8,0,1,k,k,false,6553,3,3,rv,1
3768,21,0,2,c2,b2,false,3841,2,2,rv,2
3271,4,1,0,b1,k,false,3271,2,0,rv,1
2821,8,0,1,k,k,false,3850,2,2,rv,1
2656,20,2,0,k,k,true,4929,2,2,rv,2
4933,12,1,1,b1,k,false,6866,2,2,rv,2
2947,12,1,1,b1,k,false,4397,3,0,rv,2
6103,4,0,0,k,k,true,7395,3,3,rv,0
4088,32,3,0,b1,c2,false,7029,2,3,rv,3
1608,14,1,1,c2,b2,false,7410,3,4,rv,2
4426,8,1,1,b1,k,false,6186,3,0,rv,2
2732,24,1,2,b1,k,false,2741,2,0,rv,3
4373,34,3,0,b1,k,true,4375,2,3,rv,3
2952,12,2,0,b2,k,true,2952,2,0,rv,2
2776,36,2,0,k,k,true,6428,2,0,rv,2
3044,16,0,2,c2,b2,false,4603,3,2,rv,2
3662,10,2,0,b1,k,true,6873,2,2,rv,2
5114,4,0,0,k,k,false,5127,2,2,rv,0
3283,26,1,1,k,k,true,3283,2,0,rv,2
4974,12,0,1,k,k,false,5032,2,2,rv,1
1601,130,3,1,b1,k,true,7220,3,4,rv,4
3315,8,1,1,b2,k,true,6265,2,2,rv,2
3967,18,0,2,c2,b1,true,7211,2,3,rv,2
2986,88,2,1,k,k,false,5614,2,2,rv,3
2513,12,1,1,b1,k,false,6364,2,2,rv,2
4216,30,0,2,k,b2,false,4312,3,3,rv,2
5581,10,0,1,k,k,true,6690,3,3,rv,1
2827,19,2,1,b2,b1,true,7213,2,3,rv,3
6209,4,0,0,k,k,false,6435,2,3,rv,0
3685,4,0,0,k,k,true,3706,2,0,rv,0
6231,8,0,1,c2,b2,false,6248,2,0,rv,1
6499,38,3,0,b1,k,true,6526,3,0,rv,3
4483,25,1,1,c2,b2,true,6742,2,3,rv,2
3199,8,1,1,b1,k,false,5938,3,2,rv,2
2470,30,2,1,c2,b1,true,3572,2,0,rv,3
3556,34,2,0,k,c2,false,3572,2,0,rv,2
3354,72,0,3,k,b2,false,6331,2,2,rv,3
4356,38,2,0,k,k,true,7269,3,2,rv,2
287,26,2,1,b1,c2,false,2280,2,0,rv,3
3283,40,2,0,k,k,true,6064,3,2,rv,2
213,30,2,0,k,k,true,1827,2,0,rv,2
2611,120,0,4,c2,b2,false,4065,2,2,rv,4
3155,40,2,0,k,k,true,6153,3,2,rv,2
5326,24,1,2,b2,k,true,6505,3,0,rv,3
6022,65,1,2,c2,b1,false,6091,2,2,rv,3
6023,12,0,1,k,k,false,6084,2,0,rv,1
3029,16,1,1,b1,k,false,4511,2,2,rv,2
3293,14,2,0,b2,k,true,5778,2,2,rv,2
3163,288,1,3,k,k,false,4999,2,2,rv,4
5634,12,0,1,k,k,false,5693,2,2,rv,1
2726,150,2,2,c2,b2,true,7073,3,2,rv,4
1195,30,2,1,b1,c2,false,5678,4,2,rv,3
1810,12,1,1,b1,k,false,1843,3,2,rv,2
5334,40,2,0,k,k,true,6584,3,2,rv,2
2848,77,2,1,c2,b2,true,4161,3,2,rv,3
5882,4,0,0,k,k,true,5944,2,2,rv,0
6591,24,0,2,k,b1,false,6669,2,2,rv,2
3785,135,2,2,c2,b1,false,6433,2,0,rv,4
4657,4,1,0,b2,k,true,6443,2,0,rv,1
6239,10,1,0,k,k,true,6835,2,0,rv,1
6206,20,1,1,k,k,false,6314,3,2,rv,2
5600,19,1,1,c2,b1,true,7400,4,2,rv,2
5765,4,0,0,k,k,true,5768,2,0,rv,0
1604,4,0,0,k,k,false,7114,3,2,rv,0
721,6,0,1,c2,b1,true,3520,4,2,rv,1
6239,4,0,0,k,k,false,6306,3,0,rv,0
5004,4,0,0,k,k,true,5020,2,3,rv,0
5855,30,2,0,k,k,true,5868,2,0,rv,2
5752,52,1,1,k,k,false,5844,2,2,rv,2
3990,26,2,0,k,k,true,6255,2,0,rv,2
2644,12,0,2,c2,b1,false,3549,3,0,rv,2
2695,72,0,3,k,b2,false,5621,2,2,rv,3
5545,17,1,1,c2,b1,true,5666,3,2,rv,2
1600,134,2,2,k,c2,false,6400,2,0,rv,4
2481,12,1,1,b1,k,false,3792,4,0,rv,2
6414,14,1,0,k,k,true,6627,2,2,rv,1
5536,4,0,0,k,k,true,6368,4,2,rv,0
3262,16,0,1,k,k,false,7212,2,4,rv,1
2998,40,2,0,k,k,true,7018,3,3,rv,2
6093,32,1,2,b1,b1,false,6185,2,4,rv,3
2546,24,1,1,c2,b2,false,2546,2,0,rv,2
3208,32,1,1,k,k,true,5023,3,2,rv,2
1608,28,3,0,b1,k,true,7339,2,2,rv,3
4107,90,3,0,k,k,true,4196,2,3,rv,3
2689,10,1,0,k,k,true,2690,3,0,rv,1
3139,28,2,0,k,k,true,6660,4,2,rv,2
6316,44,1,1,k,k,false,6980,3,2,rv,2
6805,4,0,0,k,k,true,6905,2,2,rv,0
2605,26,3,0,b1,k,true,3633,2,2,rv,3
3163,14,0,2,c2,b2,false,4992,3,3,rv,2
6131,10,1,0,k,k,true,6133,2,2,rv,1
6204,24,0,2,k,k,false,6793,2,2,rv,2
3087,656,1,4,c1,b3,true,6163,2,2,rv,5
4123,66,4,0,b1,k,true,7294,2,2,rv,4
3293,360,3,2,c1,b2,true,5938,3,2,rv,5
6477,14,1,0,k,k,true,7308,2,3,rv,1
6130,144,1,2,k,b2,false,7348,2,3,rv,3
2550,10,1,0,k,c2,false,5128,2,0,rv,1
6681,30,1,1,k,c2,false,6825,2,2,rv,2
6230,10,0,1,k,k,true,6270,3,2,rv,1
2337,100,4,0,b1,k,true,5764,3,2,rv,4
4526,24,2,0,k,k,true,7234,2,3,rv,2
2470,72,0,3,c2,b1,false,3345,4,2,rv,3
2820,36,2,1,b1,k,false,5966,2,0,rv,3
4207,44,1,1,k,k,false,4291,2,2,rv,2
1609,10,2,0,b1,c2,false,4040,3,2,rv,2
2766,12,1,1,b1,k,false,3939,2,0,rv,2
1602,12,1,2,b2,b1,true,7095,2,3,rv,3
1640,4,0,0,k,k,true,1651,2,0,rv,0
3603,68,2,1,k,k,true,6698,3,3,rv,3
6471,12,2,0,b1,k,false,7296,2,2,rv,2
3548,12,1,1,b1,k,false,6206,2,0,rv,2
6075,36,2,0,k,k,true,6087,2,2,rv,2
3333,14,1,0,k,k,true,3424,3,0,rv,1
6525,10,1,0,k,c2,false,6549,2,2,rv,1
3573,32,2,0,k,k,true,3577,2,0,rv,2
3401,12,0,1,k,k,false,3542,2,3,rv,1
1601,94,3,1,b1,c2,false,6882,2,4,rv,4
4123,32,0,2,k,b2,false,7253,2,2,rv,2
5167,45,1,2,c2,b1,true,6970,2,2,rv,3
4646,12,1,1,b1,k,false,6266,2,3,rv,2
6267,4,0,0,k,k,false,6269,2,2,rv,0
3274,4,1,0,b2,k,true,5498,2,0,rv,1
6266,12,1,1,b1,k,false,6891,3,2,rv,2
6371,12,0,1,k,k,false,7071,3,3,rv,1
5363,36,2,0,k,k,true,6753,2,2,rv,2
2756,81,2,2,c2,b2,false,7015,2,3,rv,4
4086,24,2,0,k,k,true,4109,2,2,rv,2
3175,24,1,2,b1,k,false,5460,3,3,rv,3
3205,36,1,1,k,k,true,6013,3,0,rv,2
6939,206,4,1,b1,c2,false,6999,4,3,rv,5
5663,4,1,0,b2,k,true,7249,2,2,rv,1
1607,44,1,2,c2,b2,false,7461,2,3,rv,3
5869,28,2,0,k,k,true,7458,2,4,rv,2
5414,12,1,1,b1,k,false,5420,2,0,rv,2
5141,50,2,1,c2,b2,true,7084,2,2,rv,3
2864,96,1,2,k,k,false,4013,2,2,rv,3
2922,36,2,0,k,k,true,4144,2,2,rv,2
2672,52,1,2,c2,b2,false,5179,2,2,rv,3
170,30,3,0,b2,k,true,1874,2,0,rv,3
3162,108,3,1,b2,k,true,5177,3,2,rv,4
6187,10,1,0,k,k,true,6764,3,2,rv,1
1682,16,0,1,k,k,false,3591,3,2,rv,1
5855,32,1,1,k,k,true,7142,2,2,rv,2
249,8,1,0,k,k,true,2015,2,0,rv,1
3557,72,1,2,c2,b2,true,6245,2,2,rv,3
192,599,4,2,c1,b3,false,3552,3,0,rv,6
6305,48,1,1,k,k,true,6636,2,2,rv,2
1610,613,3,3,c1,b3,false,3345,2,2,rv,6
6202,4,1,0,b2,k,true,6298,2,2,rv,1
6373,26,3,0,b1,c2,false,6375,3,2,rv,3
3626,30,0,2,c2,b2,true,6771,2,2,rv,2
3260,26,2,0,k,k,true,5457,2,2,rv,2
2865,17,0,2,c2,b1,false,4937,2,0,rv,2
3682,34,3,0,b1,k,true,3714,2,2,rv,3
4246,30,1,1,c2,b2,true,6591,3,2,rv,2
6023,16,2,0,k,c2,false,6023,2,2,rv,2
5759,12,1,1,b1,k,false,7197,2,2,rv,2
3022,34,2,0,k,k,true,4594,2,3,rv,2
240,10,1,0,k,k,true,2654,2,0,rv,1
6393,12,1,1,b1,k,false,7113,2,2,rv,2
2986,24,1,2,b1,k,false,5582,2,2,rv,3
2513,54,1,2,c2,b1,true,4439,2,0,rv,3
2944,14,1,1,c2,b2,false,4784,2,2,rv,2
3988,94,2,1,k,k,false,6308,3,0,rv,3
1606,4,1,0,b1,k,false,5510,3,3,rv,1
2292,24,1,2,b1,k,false,5710,2,3,rv,3
6687,4,0,0,k,k,true,6758,2,2,rv,0
3833,90,2,1,k,c2,false,6792,2,2,rv,3
3261,6,0,1,c2,b1,true,5393,2,2,rv,1
6743,14,2,0,b2,k,true,7153,3,2,rv,2
2504,270,1,3,k,b2,false,2526,3,0,rv,4
5159,4,1,0,b1,k,false,7379,2,3,rv,1
6386,10,1,0,k,k,true,7092,3,3,rv,1
294,288,1,3,k,b2,false,2305,2,2,rv,4
3786,24,1,1,k,k,true,6446,3,0,rv,2
5088,10,1,0,k,k,true,6274,2,0,rv,1
2612,144,1,2,k,b2,false,6681,2,4,rv,3
3095,28,2,0,k,k,true,4816,2,3,rv,2
4657,36,2,0,k,k,true,6444,3,2,rv,2
4206,48,1,1,k,k,true,6408,2,2,rv,2
6209,14,2,0,b1,k,false,6436,2,2,rv,2
6209,12,0,1,k,k,true,6209,3,2,rv,1
6350,4,0,0,k,k,true,6353,2,3,rv,0
6351,6,0,1,c2,b1,true,6369,2,2,rv,1
3053,10,1,0,k,k,true,5422,2,0,rv,1
6195,40,2,0,k,k,false,6197,3,0,rv,2
1312,106,4,0,b1,k,true,3759,3,2,rv,4
5308,4,0,0,k,k,false,5308,3,0,rv,0
3876,144,1,3,c2,b1,true,7176,2,0,rv,4
2688,4,1,0,b1,k,false,3588,3,0,rv,1
6832,12,1,0,k,k,true,6877,3,2,rv,1
6023,36,2,0,k,k,false,6024,2,2,rv,2
4680,4,0,0,k,k,false,6611,3,3,rv,0
6361,36,2,0,k,k,true,6383,3,2,rv,2
4208,28,2,0,k,k,true,6267,2,2,rv,2
2734,60,0,3,k,b2,false,4311,3,3,rv,3
4797,12,1,0,k,k,true,7315,3,2,rv,1
5306,19,1,1,c2,b1,true,6220,2,2,rv,2
5536,72,1,2,k,b1,false,5578,2,3,rv,3
3831,42,2,0,k,k,false,3862,2,2,rv,2
1605,4,1,0,b1,k,false,7446,3,4,rv,1
2292,8,0,1,k,k,false,2311,2,0,rv,1
5444,12,1,1,b1,k,false,7258,2,2,rv,2
3436,40,2,0,k,c2,false,3501,2,2,rv,2
3196,36,1,1,k,k,true,5077,2,3,rv,2
6268,10,0,1,k,k,false,6932,3,0,rv,1
2077,12,1,1,b1,k,false,2124,2,2,rv,2
4271,26,2,0,k,k,true,4391,2,3,rv,2
5363,38,2,0,k,k,true,5386,2,0,rv,2
3866,4,0,0,k,k,true,3877,3,2,rv,0
1040,17,1,1,c2,b1,true,6883,4,3,rv,2
3295,8,1,0,k,c2,false,5639,2,2,rv,1
6211,12,1,1,b1,k,false,6775,3,2,rv,2
3565,26,2,0,k,k,true,6286,3,0,rv,2
4482,44,1,1,k,k,false,6729,4,2,rv,2
4754,20,0,2,k,b1,false,7095,2,3,rv,2
3441,62,2,1,c2,b2,true,6519,2,3,rv,3
5566,44,2,1,b1,k,false,6651,3,2,rv,3
