@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3097,16,1,1,b1,k,false,4991,2,2,rv,2
3337,12,1,1,b1,k,false,3440,3,0,rv,2
4071,48,2,1,b2,k,true,4187,2,2,rv,3
278,12,1,1,b1,k,false,2887,2,0,rv,2
2777,24,0,2,k,b1,false,6755,2,2,rv,2
2567,90,2,2,b1,k,false,5566,3,2,rv,4
1601,10,2,0,b1,k,true,4261,3,4,rv,2
3434,28,2,0,k,k,true,6520,3,2,rv,2
6268,12,0,1,k,k,false,6895,3,2,rv,1
4552,38,3,0,b1,k,true,7442,2,2,rv,3
1606,10,2,0,b1,c2,false,7323,2,3,rv,2
1743,126,1,3,k,k,true,3781,2,2,rv,4
3604,48,1,1,k,k,true,3753,2,2,rv,2
4332,94,4,0,b1,k,true,4335,2,0,rv,4
3601,44,1,1,k,k,false,3670,3,0,rv,2
1640,347,3,3,b3,b2,false,6558,3,3,tn,6
5115,60,0,3,k,b2,false,7398,3,3,rv,3
2479,118,3,1,b1,k,true,3404,2,0,rv,4
3778,30,3,0,b1,k,true,3809,2,0,rv,3
2512,596,4,2,c1,b3,false,6207,2,0,rv,6
6186,10,1,0,k,k,true,6700,3,3,rv,1
5196,32,2,0,k,k,true,7140,2,2,rv,2
4922,12,0,1,k,k,false,4925,2,2,rv,1
5151,4,0,0,k,k,false,5151,2,0,rv,0
4647,4,1,0,b1,k,false,6252,2,0,rv,1
3427,592,3,3,c1,b3,false,6491,3,2,rv,6
2656,252,2,2,k,k,true,4929,3,2,rv,4
1641,98,4,0,b1,k,true,6585,3,0,rv,4
2865,26,3,0,b1,k,true,4110,2,2,rv,3
2291,22,1,1,k,k,false,2299,3,0,rv,2
3135,12,1,0,k,k,true,5733,3,3,rv,1
1362,20,0,2,c2,b2,false,7359,3,2,rv,2
5846,14,2,0,b2,k,true,7024,2,3,rv,2
2909,8,0,1,k,k,true,2912,2,0,rv,1
1604,24,0,2,c2,b1,true,6554,3,4,rv,2
3177,4,1,0,b1,k,false,5078,2,3,rv,1
6361,4,0,0,k,k,false,6380,2,2,rv,0
3140,48,0,2,k,b2,false,4819,2,2,rv,2
2997,24,1,2,b1,k,false,3000,2,2,rv,3
2955,24,1,1,k,k,true,4349,2,2,rv,2
4876,14,1,0,k,k,true,4972,2,2,rv,1
5847,12,1,1,b1,k,false,5864,3,0,rv,2
6387,17,1,1,c2,b1,true,7127,2,3,rv,2
6294,22,1,1,c2,b1,false,6651,3,2,rv,2
5317,14,1,0,k,k,true,6450,3,3,rv,1
1466,30,2,1,b1,c2,false,6125,3,0,rv,3
4725,32,1,1,k,k,true,6960,3,2,rv,2
3662,4,0,0,k,k,false,3744,2,0,rv,0
2754,48,0,3,k,b1,false,3933,2,2,rv,3
