@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
4462,6,0,1,c2,b1,true,4620,2,2,rv,1
3097,37,0,3,c2,b1,false,4991,2,2,rv,3
1601,10,0,1,k,k,true,4261,3,4,rv,1
2471,32,0,2,k,b2,false,3578,2,0,rv,2
3434,14,2,1,b2,b1,true,6520,3,2,rv,3
5781,4,0,0,k,k,false,6630,2,0,rv,0
3888,19,1,1,c2,b1,true,7076,4,2,rv,2
3206,10,0,1,k,k,false,4925,2,2,rv,1
1606,10,1,1,b1,k,false,7323,2,3,rv,2
3777,14,1,1,c2,b1,true,3939,2,0,rv,2
3282,16,1,0,k,k,false,5349,3,0,rv,1
2512,59,1,2,c2,b2,false,3337,2,0,rv,3
1743,37,2,2,b2,b1,true,3781,2,2,rv,4
1116,94,0,3,k,b2,false,4959,3,2,rv,3
1640,64,2,1,b2,k,false,6558,3,3,rv,3
3778,53,1,2,c2,b1,true,3809,2,0,rv,3
4702,24,2,0,k,k,true,6724,3,2,rv,2
2512,436,2,4,b3,b2,false,6207,2,0,rv,6
5196,30,0,2,k,k,true,7140,2,2,rv,2
2963,29,2,1,c2,b1,true,5996,2,0,rv,3
3332,36,2,1,b1,c2,false,6226,3,0,rv,3
4647,26,0,2,k,b2,false,6252,2,0,rv,2
4052,14,1,1,c2,b1,true,6814,3,2,rv,2
2645,14,1,1,c2,b2,false,4708,2,2,rv,2
2656,37,0,3,c2,b1,true,4929,3,2,rv,3
2865,36,2,1,c2,b1,true,4110,2,2,rv,3
4344,41,1,2,c2,b1,true,7235,3,3,rv,3
6957,28,2,1,b1,k,true,6961,2,0,rv,3
4206,24,0,2,k,k,false,6408,2,2,rv,2
6686,4,0,0,k,k,true,7070,3,2,rv,0
2800,14,0,2,c2,b1,true,3900,3,2,rv,2
1362,45,1,3,b2,b1,false,7359,3,2,rv,4
4206,8,1,0,k,k,false,4211,2,0,rv,1
1604,60,2,1,k,k,true,6554,3,4,rv,3
4746,36,2,0,k,c2,false,4828,3,2,rv,2
5662,100,0,3,k,b2,false,7347,2,3,rv,3
3130,18,0,2,c2,b2,false,4773,2,0,rv,2
5757,8,1,0,k,k,true,6455,2,0,rv,1
5591,10,1,1,c2,b1,true,6838,3,0,rv,2
2997,24,1,1,k,k,false,3000,2,2,rv,2
353,14,1,1,c2,b1,true,353,5,0,rv,2
4876,44,1,1,k,k,true,4972,2,2,rv,2
5538,4,0,0,k,k,false,6629,3,2,rv,0
3566,24,2,0,k,k,true,3570,2,0,rv,2
3020,53,1,2,c2,b1,true,4775,2,0,rv,3
6387,14,1,1,c2,b1,true,7127,2,3,rv,2
3933,34,1,1,k,b2,false,7159,3,2,rv,2
1636,12,1,0,k,k,true,1672,2,0,rv,1
1466,36,1,2,b2,k,false,6125,3,0,rv,3
4725,10,1,0,k,k,true,6960,3,2,rv,1
6195,32,0,2,k,k,false,6770,2,2,rv,2
2754,18,0,2,c2,b2,false,3933,2,2,rv,2
6074,14,0,2,c2,b1,true,7105,2,2,rv,2
1609,14,0,1,k,k,false,7458,3,4,rv,1
5756,4,0,0,k,k,false,6406,2,0,rv,0
2644,22,1,1,c2,b2,false,3566,3,0,rv,2
7127,14,1,1,b2,k,true,7396,2,4,rv,2
3546,41,1,2,c2,b1,true,6204,2,0,rv,3
4481,4,0,0,k,k,true,4505,2,3,rv,0
5977,26,0,2,c2,b2,false,5994,2,0,rv,2
3056,32,3,0,b1,c2,false,5514,2,2,rv,3
2834,10,1,1,b1,k,false,4155,2,2,rv,2
4206,14,1,1,c2,b1,true,6734,3,2,rv,2
3162,6,0,1,c2,b1,true,6938,2,4,rv,1
2965,10,1,1,b1,k,false,4334,2,0,rv,2
3654,42,1,2,c2,b1,true,7281,2,2,rv,3
3254,14,0,2,c2,b1,true,6163,2,2,rv,2
2281,4,0,0,k,k,false,5583,2,2,rv,0
6212,6,0,1,c2,b1,true,6328,2,0,rv,1
2864,255,2,4,b3,b1,true,4156,3,2,rv,6
3054,14,1,1,c2,b1,true,5454,2,0,rv,2
3062,12,1,0,k,k,true,4465,2,2,rv,1
5361,30,2,0,k,k,true,6880,2,2,rv,2
3008,137,0,4,c2,b1,false,6911,3,0,rv,4
4491,14,1,1,c2,b1,true,6829,2,2,rv,2
