@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2768,19,1,1,c2,b1,true,4991,2,2,rv,2
2580,14,1,1,c2,b1,true,3440,3,0,rv,2
3999,88,1,2,c2,b2,false,4187,2,2,rv,3
2618,14,1,1,c2,b1,true,2887,2,0,rv,2
6688,24,2,0,k,k,true,6755,2,2,rv,2
2569,107,2,2,c2,b1,true,5566,3,2,rv,4
2733,14,0,2,c2,b1,false,4261,3,4,rv,2
3441,28,0,2,k,b2,false,6520,3,2,rv,2
5142,12,1,0,k,k,true,6895,3,2,rv,1
3276,54,0,3,c2,b1,false,7442,2,2,rv,3
4785,13,0,2,c2,b1,true,7323,2,3,rv,2
2480,126,3,1,k,b2,false,3781,2,2,rv,4
3567,48,1,1,k,k,false,3753,2,2,rv,2
2737,130,0,4,c2,b1,false,4335,2,0,rv,4
3601,44,1,1,k,k,true,3670,3,0,rv,2
4217,640,3,3,c1,b3,true,6558,3,3,tn,6
3915,60,3,0,k,k,true,7398,3,3,rv,3
3326,162,1,3,c2,b1,false,3404,2,0,rv,4
2480,42,0,3,c2,b1,false,3809,2,0,rv,3
2633,308,2,4,b3,b1,true,6207,2,0,rv,6
4042,10,0,1,k,k,false,6700,3,3,rv,1
5097,32,0,2,k,k,false,7140,2,2,rv,2
4866,12,1,0,k,k,true,4925,2,2,rv,1
5087,4,0,0,k,k,true,5151,2,0,rv,0
3986,6,0,1,c2,b1,true,6252,2,0,rv,1
4207,384,3,3,b3,k,true,6491,3,2,rv,6
2656,252,2,2,k,b2,false,4929,3,2,rv,4
4673,136,0,4,c2,b1,false,6585,3,0,rv,4
2877,37,0,3,c2,b1,false,4110,2,2,rv,3
2271,22,1,1,k,k,true,2299,3,0,rv,2
3266,12,0,1,k,k,false,5733,3,3,rv,1
1499,8,2,0,b2,k,true,7359,3,2,rv,2
4966,26,0,2,c2,b2,false,7024,2,3,rv,2
213,8,1,0,k,c2,false,2912,2,0,rv,1
2504,16,2,0,b1,k,false,6554,3,4,rv,2
3209,6,0,1,c2,b1,true,5078,2,3,rv,1
6190,4,0,0,k,k,true,6380,2,2,rv,0
4719,48,2,0,k,k,true,4819,2,2,rv,2
2999,29,2,1,c2,b1,true,3000,2,2,rv,3
2954,24,1,1,k,c2,false,4349,2,2,rv,2
4876,14,0,1,k,k,false,4972,2,2,rv,1
5803,14,1,1,c2,b1,true,5864,3,0,rv,2
6721,10,1,1,b1,k,false,7127,2,3,rv,2
6645,14,1,1,b1,k,true,6651,3,2,rv,2
6188,14,0,1,k,k,false,6450,3,3,rv,1
3318,41,1,2,c2,b1,true,6125,3,0,rv,3
6687,32,1,1,k,c2,false,6960,3,2,rv,2
3611,4,0,0,k,k,true,3744,2,0,rv,0
3838,48,3,0,k,k,true,3933,2,2,rv,3
3321,14,1,1,c2,b1,true,7458,3,4,rv,2
2634,135,1,3,c2,b2,false,6689,2,3,rv,4
4261,14,0,1,k,k,false,4295,2,0,rv,1
6388,10,1,0,k,k,true,6406,2,0,rv,1
5160,28,0,2,k,k,false,7396,2,4,rv,2
4505,4,1,0,b1,k,false,4505,2,3,rv,1
1600,48,2,1,b2,c2,false,6370,3,2,rv,3
3007,10,1,0,k,k,true,5994,2,0,rv,1
3426,14,2,1,b2,b1,true,6474,3,3,rv,3
6420,12,1,0,k,k,true,6423,2,0,rv,1
4653,4,1,0,b1,k,false,6328,2,0,rv,1
2614,288,3,1,k,c2,false,4156,3,2,rv,4
1609,30,2,1,b2,k,true,6065,3,3,rv,3
3282,26,0,2,k,k,false,5454,2,0,rv,2
4460,10,1,0,k,k,true,6613,2,3,rv,1
3263,36,1,2,b2,k,true,7304,2,2,rv,3
2998,14,1,1,c2,b1,true,4317,2,2,rv,2
4490,14,1,1,b1,k,false,6829,2,2,rv,2
224,580,2,4,c1,b3,true,5707,2,0,rv,6
6362,4,0,0,k,k,true,6516,3,2,rv,0
3776,4,0,0,k,k,true,3791,2,0,rv,0
6252,10,0,1,k,k,false,6880,3,2,rv,1
4879,14,1,1,c2,b1,true,6450,2,3,rv,2
2922,10,0,1,k,k,false,4130,2,2,rv,1
2998,10,1,1,c2,b1,true,4394,3,2,rv,2
1608,14,0,2,c2,b1,true,1608,2,5,rv,2
4429,10,0,1,k,k,false,4468,4,0,rv,1
7256,4,0,0,k,k,false,7403,2,2,rv,0
3206,14,0,2,c2,b1,true,4955,2,2,rv,2
3689,39,1,2,c2,b1,true,7382,2,2,rv,3
7238,10,1,1,b2,k,true,7269,2,2,rv,2
3243,24,2,0,k,k,true,5940,2,2,rv,2
2656,10,2,0,b2,k,true,4929,2,2,rv,2
2976,22,1,1,c2,b2,false,4328,3,0,rv,2
4933,36,1,1,k,k,false,6866,2,2,rv,2
3327,12,2,0,b2,k,true,6200,3,0,rv,2
4225,56,1,2,k,k,true,7218,2,4,rv,3
6848,14,2,1,b1,b1,true,7312,2,2,rv,3
3647,30,3,0,b1,c2,false,6850,3,2,rv,3
4460,48,2,1,b1,k,false,7414,2,3,rv,3
5187,32,0,2,k,k,false,7047,2,2,rv,2
3990,24,2,1,b1,c2,false,6870,3,0,rv,3
4278,12,1,0,k,k,true,6882,2,4,rv,1
3647,19,1,1,c2,b1,true,6807,4,2,rv,2
6189,26,0,2,c2,b2,false,6710,3,3,rv,2
3326,26,0,2,k,b2,false,3368,2,0,rv,2
6556,448,3,3,b3,k,true,7428,2,2,rv,6
2930,14,1,1,c2,b1,true,4221,2,0,rv,2
1603,48,1,1,k,c2,false,7218,2,4,rv,2
2754,36,0,2,k,b2,false,3964,3,0,rv,2
4646,12,1,0,k,k,true,4765,3,2,rv,1
3868,7,1,1,b2,b2,false,3868,3,3,rv,2
5847,14,0,1,k,k,false,7039,3,2,rv,1
2732,10,1,1,b2,k,false,2741,2,0,rv,2
2919,34,0,2,k,k,false,5967,2,0,rv,2
2934,10,0,1,k,b2,false,7355,2,3,rv,1
3044,26,0,2,k,k,false,4603,3,2,rv,2
3283,36,1,1,k,k,true,3283,2,0,rv,2
5222,36,0,2,k,k,false,7232,2,3,rv,2
4922,12,1,0,k,k,true,6742,2,3,rv,1
2770,14,1,1,c2,b1,true,3958,2,0,rv,2
2986,32,2,1,b1,c2,false,5614,2,2,rv,3
2513,45,2,2,b2,b1,false,6364,2,2,rv,4
2626,18,1,2,b2,b2,false,4287,2,0,rv,3
1277,10,0,1,k,k,false,7128,3,2,rv,1
4014,36,2,1,c2,b1,true,6540,3,0,rv,3
2615,38,0,2,k,b2,false,3663,4,0,rv,2
