@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
4207,4,1,0,b3,k,true,4275,3,2,fp,1
2957,88,2,1,k,k,true,5050,3,2,rv,3
6371,16,1,0,k,k,true,6381,2,2,rv,1
3107,48,0,3,c2,b1,true,4717,2,0,rv,3
3838,150,1,3,c2,b1,true,7156,3,2,rv,4
5750,52,1,1,k,k,true,6318,2,2,rv,2
5554,12,0,1,k,k,false,7383,2,2,rv,1
2680,7,0,1,c2,b2,true,6897,4,2,rv,1
2540,8,2,0,b2,k,true,3534,2,0,rv,2
2724,32,1,2,b2,k,true,3898,2,2,rv,3
3491,270,2,2,c2,b1,false,7422,2,2,rv,4
4006,24,3,0,b1,k,true,6496,2,2,rv,3
2770,40,0,2,k,k,true,4998,2,0,rv,2
4866,12,1,0,k,k,true,4963,2,2,rv,1
3966,72,4,0,b2,c2,false,3983,2,2,rv,4
5810,12,1,0,k,k,true,6809,2,2,rv,1
2844,60,0,3,k,b2,false,7055,3,2,rv,3
5097,12,1,0,k,k,true,6566,2,2,rv,1
3382,24,1,2,b1,k,true,6364,3,2,rv,3
3293,48,0,3,c2,b2,false,5841,2,2,rv,3
3228,21,1,1,c2,b2,true,5162,2,0,rv,2
6560,12,1,0,k,k,true,7362,3,2,rv,1
191,504,3,2,b3,c1,false,3784,2,2,rv,5
2835,38,1,1,c2,b1,true,5003,2,2,rv,2
3839,24,2,0,k,k,true,3974,3,0,rv,2
2479,28,2,0,b1,k,true,3391,2,0,rv,2
5370,12,0,1,k,k,true,5448,2,2,rv,1
3398,21,0,2,c2,b2,false,6431,2,0,rv,2
4013,36,2,0,k,k,true,6500,3,2,rv,2
3118,12,0,1,k,k,false,4768,2,2,rv,1
7217,36,1,1,k,k,false,7351,2,3,rv,2
5364,8,0,1,k,k,true,6774,2,2,rv,1
2919,4,0,0,k,k,false,4049,3,3,rv,0
1273,256,1,2,k,k,true,6075,3,0,rv,3
3151,96,1,2,c2,b2,true,6047,3,0,rv,3
4938,8,1,0,k,c2,false,7359,2,2,rv,1
3223,12,1,0,k,c2,false,3225,3,2,rv,1
4270,24,0,2,k,k,false,6804,2,3,rv,2
3007,72,1,2,k,b1,false,3015,2,0,rv,3
2955,36,0,2,k,b2,false,7241,2,2,rv,2
4307,4,0,0,k,k,true,4398,2,0,rv,0
2622,8,0,1,k,k,false,4213,2,0,rv,1
3548,288,1,3,k,b1,false,6418,3,2,rv,4
2660,24,0,2,k,k,false,4954,2,2,rv,2
5159,12,1,0,k,k,true,6921,2,2,rv,1
3205,24,0,2,c2,b2,false,5988,3,0,rv,2
3830,12,1,0,k,k,true,3903,2,2,rv,1
2788,6,1,1,b2,b1,false,6758,3,2,rv,2
3096,90,0,4,c2,b1,false,6847,2,3,rv,4
3561,28,2,0,b1,c2,false,6260,2,2,rv,2
2778,12,1,1,b2,k,false,7020,2,3,rv,2
5811,48,1,1,k,k,true,6842,2,0,rv,2
4007,48,0,2,k,k,false,6483,2,2,rv,2
3207,24,0,2,k,k,true,6087,2,2,rv,2
4021,12,1,0,k,k,true,4177,3,0,rv,1
6728,12,0,1,k,k,false,7135,2,0,rv,1
5583,12,1,0,k,k,true,6761,2,2,rv,1
2624,24,2,0,k,k,true,3653,2,2,rv,2
5536,8,1,0,k,k,true,5630,3,2,rv,1
