@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2249,4,1,0,b3,k,true,2268,3,2,fp,1
2589,102,1,2,c2,b1,false,3504,2,0,rv,3
2836,30,1,1,c2,b1,true,4136,2,2,rv,2
1610,72,3,1,b1,c2,false,3333,3,0,rv,4
5967,122,1,2,c2,b2,false,6048,2,0,rv,3
1307,108,3,1,b2,c2,false,7156,3,2,rv,4
3573,48,0,2,k,k,false,6318,2,2,rv,2
5476,96,1,2,k,k,true,7383,2,2,rv,3
3087,16,0,2,k,b1,false,4579,2,0,rv,2
3392,96,1,2,k,k,false,7130,2,2,rv,3
6716,108,3,1,b2,c2,false,7177,3,2,rv,4
2722,84,0,4,c2,b2,false,3898,2,2,rv,4
4209,30,0,2,k,b2,false,6907,2,2,rv,2
6883,252,2,1,k,k,true,7422,2,2,rv,3
5545,42,0,3,c2,b2,false,6496,2,2,rv,3
3875,24,2,0,k,k,true,7055,3,2,rv,2
5223,16,0,1,k,k,false,7242,3,2,rv,1
6940,4,1,0,b2,k,false,6942,2,3,rv,1
6470,4,1,0,b1,k,false,6566,2,2,rv,1
4885,24,2,0,k,c2,false,5003,2,2,rv,2
193,756,4,1,b3,k,true,3784,2,2,rv,5
1603,32,1,1,k,k,false,5003,2,2,rv,2
1853,544,1,4,c1,b3,true,4192,3,0,rv,5
5090,24,1,1,k,k,true,5127,3,2,rv,2
2736,48,1,2,c2,b2,true,3912,2,0,rv,3
5326,18,1,1,c2,b1,false,6500,3,2,rv,2
4659,12,1,0,k,k,true,4768,2,2,rv,1
3260,120,0,4,c2,b2,false,6288,3,2,rv,4
1885,24,0,2,k,k,false,4262,2,2,rv,2
2282,36,2,0,k,k,true,2304,2,0,rv,2
4041,12,1,0,k,k,true,4049,3,3,rv,1
5363,12,1,0,k,k,true,6744,3,2,rv,1
6807,36,1,2,b1,k,false,6912,2,2,rv,3
4349,36,2,1,c2,b1,true,7241,2,2,rv,3
3128,10,0,1,k,b2,false,4677,2,0,rv,1
4286,4,0,0,k,k,false,4398,2,0,rv,0
4811,8,2,0,b1,k,true,4837,2,2,rv,2
3382,216,3,1,k,k,true,6418,3,2,rv,4
1607,48,3,1,b2,c2,false,1607,3,5,rv,4
6686,108,4,0,b1,k,true,7275,2,3,rv,4
5607,48,1,1,k,k,true,6966,4,2,rv,2
3285,4,0,0,k,k,false,3285,2,0,rv,0
3661,108,3,0,k,k,true,6847,2,3,rv,3
4931,108,1,2,k,k,false,6842,2,0,rv,3
4015,72,1,2,k,b1,false,6638,3,2,rv,3
6721,52,1,1,k,k,true,6977,3,2,rv,2
4680,36,2,0,k,k,true,4683,3,2,rv,2
6679,30,0,2,k,b2,false,6711,3,3,rv,2
4876,16,0,1,k,k,false,7022,3,3,rv,1
174,84,2,1,b2,c2,false,3417,2,0,rv,3
4058,12,0,1,k,k,false,4177,3,0,rv,1
6399,12,1,0,k,k,true,7135,2,0,rv,1
3556,24,0,2,k,k,false,3653,2,2,rv,2
4648,48,0,3,c2,b2,false,6587,2,2,rv,3
2843,24,0,2,c2,b2,false,4490,2,3,rv,2
253,12,1,0,k,k,false,2766,3,2,rv,1
2378,12,2,0,b2,c2,false,2379,2,2,rv,2
4088,60,1,2,c2,b2,true,7256,4,2,rv,3
4014,48,0,3,c2,b2,false,7296,2,2,rv,3
4718,12,2,0,b1,k,true,6914,2,0,rv,2
3326,12,1,0,k,k,true,3382,3,2,rv,1
3275,36,2,1,c2,b1,true,5928,2,3,rv,3
2952,12,0,1,k,k,true,4240,3,2,rv,1
2858,778,3,2,c1,b3,false,7314,2,2,rv,5
6695,12,2,0,b2,k,true,6712,2,3,rv,2
5759,24,0,2,k,k,false,7193,2,2,rv,2
2812,8,1,0,k,c2,false,3939,2,0,rv,1
1642,72,0,3,k,b2,false,3479,4,0,rv,3
5097,12,0,1,k,k,false,5104,2,0,rv,1
3821,8,1,0,k,k,true,3821,3,4,rv,1
4343,12,1,1,b2,k,false,7228,2,3,rv,2
921,36,2,0,k,k,true,2788,3,2,rv,2
6499,12,0,1,k,k,false,7286,2,2,rv,1
3239,80,0,3,c2,b2,false,6966,3,2,rv,3
3384,84,3,0,b1,k,true,6374,2,2,rv,3
2858,60,0,3,c2,b2,false,4795,2,3,rv,3
5529,24,1,1,k,k,true,6641,2,3,rv,2
697,12,1,1,b2,k,false,6560,4,2,rv,2
6190,12,1,0,k,k,true,6711,2,3,rv,1
7163,24,1,1,k,c2,false,7433,3,2,rv,2
3040,96,0,3,k,b2,false,5281,3,2,rv,3
6195,28,1,0,k,k,true,6768,3,2,rv,1
2767,20,1,1,c2,b2,true,4997,3,0,rv,2
4646,12,1,0,k,k,true,6277,2,0,rv,1
180,108,4,0,b2,k,true,2600,3,0,rv,4
4526,12,1,0,k,c2,false,7100,2,2,rv,1
3776,36,2,1,c2,b1,true,6353,2,3,rv,3
2578,30,1,2,b1,k,false,5755,2,2,rv,3
2570,30,0,2,k,b2,false,5558,3,2,rv,2
1602,180,1,3,c2,b1,false,7096,3,3,rv,4
3326,45,2,2,b2,b1,true,3386,2,2,rv,4
2834,256,1,3,k,b1,false,7220,3,4,rv,4
1607,48,0,3,c2,b1,true,1607,3,5,rv,3
2958,120,1,3,c2,b1,true,5043,2,2,rv,4
2879,36,1,1,k,k,false,4152,2,2,rv,2
2613,28,1,0,k,k,false,4060,3,0,rv,1
194,16,0,1,k,k,false,2739,2,0,rv,1
6022,10,0,1,c2,b2,false,6735,3,2,rv,1
2526,12,1,0,k,k,true,2533,2,0,rv,1
283,24,0,2,c2,b2,false,283,2,2,rv,2
3453,18,1,1,c2,b1,true,6678,3,3,rv,2
3345,16,0,1,k,k,true,3487,4,2,rv,1
3821,24,0,2,k,k,false,7031,3,3,rv,2
4666,48,3,1,b1,k,true,4668,2,0,rv,4
4530,24,0,2,k,k,false,7180,2,2,rv,2
3304,108,3,0,k,c2,false,6097,2,0,rv,3
6470,72,4,0,b2,c2,false,6617,3,2,rv,4
289,778,2,3,c1,b3,false,3927,2,2,fp,5
4871,36,2,0,k,k,true,4874,2,0,rv,2
2776,18,2,1,b1,b1,true,3969,2,2,rv,3
3008,24,1,1,k,c2,false,4414,2,0,rv,2
3548,21,1,1,c2,b2,true,6208,2,0,rv,2
1601,10,0,1,k,b2,false,6683,2,4,rv,1
2110,4,0,0,k,k,false,5032,3,2,rv,0
3141,24,2,0,k,k,true,4770,2,2,rv,2
3695,24,0,2,k,k,false,6998,2,2,rv,2
651,24,2,0,k,k,false,6502,4,2,rv,2
5113,24,1,1,c2,b2,true,6566,3,2,rv,2
4922,24,2,0,k,k,true,4927,2,2,rv,2
6103,4,0,0,k,k,true,7325,2,2,rv,0
6066,8,0,1,k,k,false,6143,2,0,rv,1
3274,28,1,0,k,k,false,5469,2,2,rv,1
3141,16,2,0,k,c2,false,4759,2,0,rv,2
3183,48,1,1,k,k,true,5548,2,0,rv,2
3382,36,3,0,b1,k,true,6417,3,2,rv,3
3063,10,0,1,k,b2,false,4502,2,2,rv,1
2492,36,2,0,k,k,true,3430,2,2,rv,2
4044,36,1,1,k,k,true,6700,2,3,rv,2
6811,4,1,0,b1,k,true,6919,3,2,rv,1
5537,16,0,1,k,k,true,5559,2,0,rv,1
6194,48,1,1,k,k,true,6735,2,2,rv,2
4869,12,0,1,k,k,false,6942,3,3,rv,1
6519,12,1,1,b2,k,false,6666,2,3,rv,2
3228,8,1,0,k,k,true,5726,2,3,rv,1
1609,288,2,3,b3,k,true,6263,3,2,rv,5
6245,12,1,0,k,k,true,6315,2,3,rv,1
2472,360,1,3,k,k,true,3580,3,2,rv,4
4485,4,0,0,k,k,true,4555,2,0,rv,0
3030,18,2,1,b1,b1,true,4492,3,0,rv,3
5749,24,2,0,k,k,true,6310,2,0,rv,2
4278,12,1,0,k,k,true,7345,2,4,rv,1
2502,30,0,3,c2,b1,false,3394,3,0,rv,3
6470,28,1,0,k,k,true,7281,3,2,rv,1
5670,48,0,2,k,k,false,7294,3,2,rv,2
3856,36,2,0,k,k,true,3976,3,3,rv,2
5662,12,1,1,b2,k,false,5674,2,0,rv,2
2567,36,1,2,c2,b1,true,2574,2,0,rv,3
5106,12,1,0,k,k,true,6513,2,2,rv,1
2623,12,1,1,b1,k,false,3611,2,2,rv,2
3602,16,1,1,b1,k,false,3603,2,3,rv,2
4484,36,2,1,b1,k,true,6785,2,2,rv,3
5571,21,1,1,c2,b2,true,6668,2,2,rv,2
6414,8,1,0,k,k,true,6611,2,3,rv,1
