@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
224,402,0,1,c1,b3,false,4275,3,2,fp,1
2085,88,1,2,k,b1,false,5050,3,2,rv,3
5316,16,0,1,k,k,false,6381,2,2,rv,1
4712,32,3,0,b1,k,false,4717,2,0,rv,3
1307,100,3,1,b1,c2,false,7156,3,2,rv,4
3573,52,1,1,k,k,false,6318,2,2,rv,2
5476,12,1,0,k,k,true,7383,2,2,rv,1
1106,4,1,0,b2,k,false,6897,4,2,rv,1
2595,16,0,2,c2,b2,false,3534,2,0,rv,2
2722,70,2,1,c2,b2,false,3898,2,2,rv,3
6883,252,2,2,b1,k,true,7422,2,2,rv,4
5545,36,0,3,c2,b1,false,6496,2,2,rv,3
3174,40,2,0,k,c2,false,4998,2,0,rv,2
2088,12,0,1,k,k,false,4963,2,2,rv,1
1609,144,0,4,c2,b2,true,3983,2,2,rv,4
6231,12,0,1,k,k,false,6809,2,2,rv,1
3875,60,3,0,k,k,true,7055,3,2,rv,3
6470,12,0,1,k,k,false,6566,2,2,rv,1
4436,36,2,1,c2,b1,false,6364,3,2,rv,3
5814,24,3,0,b2,k,true,5841,2,2,rv,3
2138,12,1,1,b2,k,false,5162,2,0,rv,2
5471,12,0,1,k,k,false,7362,3,2,rv,1
193,652,2,3,c1,b3,true,3784,2,2,rv,5
1603,28,1,1,b1,k,false,5003,2,2,rv,2
1757,24,0,2,k,b2,false,3974,3,0,rv,2
3381,32,0,2,c2,b1,false,3391,2,0,rv,2
5370,12,1,0,k,k,false,5448,2,2,rv,1
3796,12,2,0,b2,k,true,6431,2,0,rv,2
5326,36,0,2,k,k,false,6500,3,2,rv,2
4659,12,1,0,k,k,true,4768,2,2,rv,1
4754,36,1,1,k,k,true,7351,2,3,rv,2
6768,8,1,0,k,c2,false,6774,2,2,rv,1
4041,4,0,0,k,k,true,4049,3,3,rv,0
3009,256,2,1,k,c2,false,6075,3,0,rv,3
2415,48,2,1,b2,c2,false,6047,3,0,rv,3
6074,8,0,1,k,k,true,7359,2,2,rv,1
3218,12,0,1,k,k,true,3225,3,2,rv,1
4490,24,2,0,k,k,true,6804,2,3,rv,2
3013,72,2,1,k,k,true,3015,2,0,rv,3
4349,36,2,0,k,k,true,7241,2,2,rv,2
4286,4,0,0,k,k,false,4398,2,0,rv,0
4210,8,1,0,k,k,true,4213,2,0,rv,1
3382,288,3,1,k,k,true,6418,3,2,rv,4
4868,24,2,0,k,k,true,4954,2,2,rv,2
5160,12,0,1,k,k,false,6921,2,2,rv,1
2591,12,2,0,b2,k,true,5988,3,0,rv,2
2745,12,0,1,k,b2,false,3903,2,2,rv,1
2810,16,1,1,c2,b2,true,6758,3,2,rv,2
3661,60,4,0,b1,k,true,6847,2,3,rv,4
3557,30,0,2,c2,b1,true,6260,2,2,rv,2
4966,48,1,1,c2,b2,true,7020,2,3,rv,2
