@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
121,402,0,1,c1,b3,false,2268,3,2,fp,1
2518,84,2,1,b1,k,true,3504,2,0,rv,3
1840,28,1,1,b1,k,false,4136,2,2,rv,2
2468,108,1,3,c2,b1,true,3333,3,0,rv,4
2711,52,2,1,b2,k,true,6048,2,0,rv,3
3838,216,1,3,c2,b2,true,7156,3,2,rv,4
5750,48,2,0,k,k,true,6318,2,2,rv,2
5554,96,2,1,k,k,false,7383,2,2,rv,3
4492,16,2,0,k,k,true,4579,2,0,rv,2
6066,96,2,1,k,k,true,7130,2,2,rv,3
3795,216,1,3,c2,b2,true,7177,3,2,rv,4
2724,48,4,0,b2,k,true,3898,2,2,rv,4
4719,30,2,0,k,k,true,6907,2,2,rv,2
3491,252,1,2,k,k,false,7422,2,2,rv,3
4006,24,3,0,b2,k,true,6496,2,2,rv,3
2844,24,0,2,k,b2,false,7055,3,2,rv,2
4342,16,1,0,k,k,true,7242,3,2,rv,1
6294,8,0,1,c2,b2,true,6942,2,3,rv,1
5097,6,0,1,c2,b1,true,6566,2,2,rv,1
2952,24,0,2,k,k,true,5003,2,2,rv,2
191,778,1,4,c1,b3,false,3784,2,2,rv,5
2835,32,1,1,k,k,true,5003,2,2,rv,2
4123,288,4,1,b3,c2,false,4192,3,0,rv,5
5120,24,1,1,k,c2,false,5127,3,2,rv,2
3909,24,2,1,b2,c2,false,3912,2,0,rv,3
4013,12,1,1,b1,k,true,6500,3,2,rv,2
3118,12,0,1,k,k,false,4768,2,2,rv,1
1612,48,4,0,b2,k,true,6288,3,2,rv,4
4262,24,2,0,k,k,true,4262,2,2,rv,2
295,36,0,2,k,k,false,2304,2,0,rv,2
2919,12,0,1,k,k,false,4049,3,3,rv,1
6186,12,0,1,k,k,false,6744,3,2,rv,1
6266,54,2,1,c2,b1,true,6912,2,2,rv,3
2955,24,1,2,b1,k,false,7241,2,2,rv,3
4673,10,1,0,k,k,true,4677,2,0,rv,1
4307,4,0,0,k,k,true,4398,2,0,rv,0
3131,12,0,2,c2,b1,false,4837,2,2,rv,2
3548,216,1,3,k,b2,false,6418,3,2,rv,4
1606,96,1,3,c2,b2,true,1607,3,5,rv,4
3021,162,0,4,c2,b1,false,7275,2,3,rv,4
4485,48,1,1,k,k,false,6966,4,2,rv,2
3283,4,0,0,k,k,true,3285,2,0,rv,0
3096,108,0,3,k,b2,false,6847,2,3,rv,3
5811,108,2,1,k,k,true,6842,2,0,rv,3
6268,72,2,1,k,k,true,6638,3,2,rv,3
4065,52,1,1,k,k,false,6977,3,2,rv,2
3018,36,0,2,k,b2,false,4683,3,2,rv,2
6687,30,2,0,k,k,true,6711,3,3,rv,2
5536,16,1,0,k,k,true,7022,3,3,rv,1
2491,168,1,2,c2,b2,true,3417,2,0,rv,3
4021,12,1,0,k,k,true,4177,3,0,rv,1
6728,12,0,1,k,k,false,7135,2,0,rv,1
2624,24,2,0,k,k,true,3653,2,2,rv,2
1641,24,3,0,b2,k,true,6587,2,2,rv,3
1601,12,2,0,b2,k,true,4490,2,3,rv,2
2766,12,0,1,k,k,true,2766,3,2,rv,1
309,24,0,2,c2,b2,true,2379,2,2,rv,2
1368,24,2,1,b2,k,false,7256,4,2,rv,3
7223,24,3,0,b2,k,true,7296,2,2,rv,3
5968,18,0,2,c2,b1,false,6914,2,0,rv,2
2513,12,0,1,k,k,false,3382,3,2,rv,1
3001,24,1,2,b1,k,false,5928,2,3,rv,3
4206,12,1,0,k,k,false,4240,3,2,rv,1
3142,504,2,3,b3,b2,true,7314,2,2,rv,5
6187,24,0,2,c2,b2,false,6712,2,3,rv,2
7015,24,2,0,k,k,true,7193,2,2,rv,2
3794,8,0,1,k,k,true,3939,2,0,rv,1
3426,72,3,0,k,k,true,3479,4,0,rv,3
5086,12,1,0,k,k,true,5104,2,0,rv,1
2733,8,0,1,k,b1,false,3821,3,4,rv,1
5222,24,1,1,c2,b2,true,7228,2,3,rv,2
2787,36,0,2,k,b2,false,2788,3,2,rv,2
6498,12,1,0,k,k,true,7286,2,2,rv,1
6837,32,3,0,b2,k,true,6966,3,2,rv,3
