@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2678,8,0,1,c2,b2,true,3606,2,3,rv,1
6273,8,1,0,k,k,true,6330,3,3,rv,1
5767,24,0,2,k,k,false,5896,3,0,rv,2
5749,4,0,0,k,k,true,5827,3,0,rv,0
3097,8,0,1,c2,b2,false,4783,2,2,rv,1
6031,4,0,0,k,k,false,6879,3,2,rv,0
5528,24,0,2,k,k,true,6897,2,2,rv,2
5336,16,1,0,k,k,false,5488,2,3,rv,1
5317,12,0,1,k,k,true,7122,2,0,rv,1
5780,24,0,2,k,k,false,5932,2,2,rv,2
2633,72,1,2,c2,b2,true,3575,2,0,rv,3
1604,96,1,2,k,b2,false,7097,2,2,rv,3
2534,360,4,1,b3,c2,false,6217,2,0,rv,5
5316,8,0,1,k,k,false,6381,2,2,rv,1
2591,18,0,2,c2,b1,false,2594,3,0,rv,2
1610,288,4,1,b1,c2,false,3333,3,0,rv,5
4712,12,1,1,b1,k,false,4717,2,0,rv,2
5967,96,1,2,k,k,false,6048,2,0,rv,3
193,48,2,1,b2,k,false,1761,3,2,rv,3
1604,144,1,3,c2,b1,false,7344,3,4,rv,4
2083,12,0,1,k,b2,false,2099,2,0,rv,1
5476,12,1,0,k,k,true,7383,2,2,rv,1
3475,4,1,0,b1,k,false,6592,2,2,rv,1
3392,472,1,3,c1,b3,false,7130,2,2,rv,4
3683,36,1,2,c2,b1,true,6924,2,0,rv,3
5105,24,1,1,k,k,true,5255,3,2,rv,2
2722,72,1,3,c2,b2,false,3898,2,2,rv,4
6198,12,1,0,k,k,true,6410,3,0,rv,1
2088,24,0,2,k,b1,false,4963,2,2,rv,2
3030,72,0,3,k,b2,false,4551,2,0,rv,3
6231,12,0,1,k,k,false,6809,2,2,rv,1
5223,24,1,1,c2,b2,false,7242,3,2,rv,2
6470,12,0,1,k,k,false,6566,2,2,rv,1
4436,48,0,3,c2,b2,false,6364,3,2,rv,3
5814,12,1,1,b2,k,true,5841,2,2,rv,2
2138,24,0,2,k,k,false,5162,2,0,rv,2
193,544,3,3,c1,b3,true,3784,2,2,rv,6
1603,144,4,1,b1,c2,false,5003,2,2,rv,5
5861,16,1,1,k,k,true,7417,2,3,rv,2
6360,4,0,0,k,k,false,6381,3,2,rv,0
264,192,1,3,c2,b2,false,2672,2,2,rv,4
5031,48,2,1,b2,c2,false,5032,3,2,rv,3
1885,24,0,2,k,b1,false,4262,2,2,rv,2
5106,4,1,0,b1,k,true,6510,3,0,rv,1
2879,144,2,2,k,c2,false,2879,2,0,rv,4
4041,4,0,0,k,k,true,4049,3,3,rv,0
3085,72,1,2,k,b2,false,6045,2,2,rv,3
3253,12,0,1,k,b2,false,7349,3,3,rv,1
2838,96,1,2,k,b2,false,4365,2,2,rv,3
6074,12,0,1,k,k,true,7359,2,2,rv,1
5379,8,1,0,k,c2,false,5384,3,0,rv,1
3997,36,1,2,c2,b1,true,6506,3,0,rv,3
4453,18,0,2,c2,b1,false,4604,2,2,rv,2
2517,4,1,0,b1,k,true,3497,2,0,rv,1
3382,180,2,2,k,k,true,6418,3,2,rv,4
4868,24,2,0,k,k,true,4954,2,2,rv,2
2745,8,0,1,c2,b2,false,3903,2,2,rv,1
4225,4,0,0,k,k,true,4249,3,0,rv,0
2292,36,1,1,k,k,false,7125,4,0,rv,2
