@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3152,8,0,1,k,k,false,3160,2,2,rv,1
6387,12,0,1,k,k,false,7104,2,2,rv,1
2849,18,1,1,c2,b1,true,4165,3,2,rv,2
5526,18,1,1,c2,b1,false,5646,2,0,rv,2
5767,12,1,0,k,k,true,5896,3,0,rv,1
6693,12,1,0,k,k,true,7077,2,2,rv,1
3074,4,0,0,k,k,false,5827,3,0,rv,0
6230,12,1,0,k,k,false,6897,2,2,rv,1
6395,12,1,0,k,k,false,7122,2,0,rv,1
6350,24,3,0,b1,k,true,6357,2,3,rv,3
2677,8,0,1,k,k,false,3552,2,0,rv,1
2518,48,3,0,k,k,true,3504,2,0,rv,3
2468,108,0,4,c2,b1,true,3333,3,0,rv,4
2711,216,2,2,k,k,true,6048,2,0,rv,4
2491,36,0,2,k,b2,false,2500,2,0,rv,2
6893,8,2,0,b1,c2,false,7003,4,4,rv,2
5750,112,2,2,k,k,true,6318,2,2,rv,4
5554,144,1,2,k,k,false,7383,2,2,rv,3
255,64,1,2,k,b1,false,4413,2,2,rv,3
4272,508,3,2,c1,b3,false,6924,2,0,rv,5
1606,8,2,0,b1,c2,false,7446,3,4,rv,2
452,36,1,2,b1,k,false,6340,4,3,rv,3
6196,48,1,1,k,k,false,6410,3,0,rv,2
2417,8,2,0,b2,k,true,6169,2,2,rv,2
3491,192,2,2,k,b1,false,7422,2,2,rv,4
2468,616,4,2,c1,b3,true,6204,3,0,rv,6
3502,8,1,1,b2,k,true,3504,3,0,rv,2
5341,12,0,1,k,b2,false,6630,3,0,rv,1
3249,24,0,2,c2,b2,false,5104,3,0,rv,2
2844,36,1,1,k,c2,false,7055,3,2,rv,2
3293,4,1,0,b1,k,false,5841,2,2,rv,1
3228,8,1,0,k,k,true,5162,2,0,rv,1
4494,36,1,2,c2,b1,true,6880,2,2,rv,3
191,562,1,4,c1,b3,false,3784,2,2,rv,5
2835,36,2,1,c2,b1,true,5003,2,2,rv,3
2800,144,0,4,c2,b2,false,5644,3,2,rv,4
3118,4,1,0,b1,k,false,4768,2,2,rv,1
2734,48,1,1,k,k,false,3913,3,0,rv,2
2919,8,1,0,k,c2,false,4049,3,3,rv,1
6186,24,1,2,b1,k,false,6744,3,2,rv,3
286,24,0,2,k,k,false,5404,3,2,rv,2
4938,24,0,2,k,b1,false,7359,2,2,rv,2
4270,12,0,1,k,k,false,6804,2,3,rv,1
1606,12,1,1,b2,k,false,6983,2,3,rv,2
