@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2601,4,1,0,b2,k,false,3606,2,3,rv,1
2545,8,0,1,k,b1,false,6330,3,3,rv,1
5767,24,2,0,k,k,true,5896,3,0,rv,2
3074,4,0,0,k,k,false,5827,3,0,rv,0
4746,4,1,0,b2,k,true,4783,2,2,rv,1
3992,4,0,0,k,k,true,6879,3,2,rv,0
6230,24,2,0,k,k,false,6897,2,2,rv,2
5476,16,0,1,k,k,true,5488,2,3,rv,1
6395,12,1,0,k,k,false,7122,2,0,rv,1
3298,24,2,0,k,k,true,5932,2,2,rv,2
186,36,2,1,b2,c2,false,3575,2,0,rv,3
6715,96,2,1,k,k,true,7097,2,2,rv,3
2600,580,1,4,c1,b3,true,6217,2,0,rv,5
6371,8,1,0,k,k,true,6381,2,2,rv,1
2594,12,2,0,b1,k,true,2594,3,0,rv,2
2468,432,1,4,c1,b1,true,3333,3,0,rv,5
3107,18,1,1,c2,b1,true,4717,2,0,rv,2
2711,96,2,1,k,k,true,6048,2,0,rv,3
1753,96,1,2,c2,b2,true,1761,3,2,rv,3
5690,96,3,1,b1,k,true,7344,3,4,rv,4
260,12,1,0,k,k,true,2099,2,0,rv,1
5554,12,0,1,k,k,false,7383,2,2,rv,1
6232,6,0,1,c2,b1,true,6592,2,2,rv,1
6066,144,3,1,b3,k,true,7130,2,2,rv,4
4272,24,2,1,b1,c2,false,6924,2,0,rv,3
5158,24,1,1,k,k,false,5255,3,2,rv,2
2724,36,3,1,b2,k,true,3898,2,2,rv,4
6196,12,0,1,k,k,false,6410,3,0,rv,1
4866,24,2,0,k,k,true,4963,2,2,rv,2
