@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3153,8,1,0,k,k,true,3160,2,2,rv,1
7097,12,1,0,k,k,true,7104,2,2,rv,1
4156,12,1,1,b1,k,false,4165,3,2,rv,2
2802,12,1,1,b1,k,true,5646,2,0,rv,2
5767,12,0,1,k,k,false,5896,3,0,rv,1
5976,12,0,1,k,k,false,7077,2,2,rv,1
5749,4,0,0,k,k,true,5827,3,0,rv,0
5528,12,0,1,k,k,true,6897,2,2,rv,1
5317,12,0,1,k,k,true,7122,2,0,rv,1
2831,36,0,3,c2,b1,false,6357,2,3,rv,3
3549,8,1,0,k,k,true,3552,2,0,rv,1
2589,48,0,3,k,b1,false,3504,2,0,rv,3
1610,72,4,0,b1,c2,false,3333,3,0,rv,4
5967,216,2,2,k,k,false,6048,2,0,rv,4
2496,36,2,0,k,k,true,2500,2,0,rv,2
6704,12,0,2,c2,b1,true,7003,4,4,rv,2
3573,112,2,2,k,k,false,6318,2,2,rv,4
5476,144,2,1,k,k,true,7383,2,2,rv,3
4315,64,2,1,k,k,true,4413,2,2,rv,3
3683,216,2,3,b3,k,true,6924,2,0,rv,5
1606,12,0,2,c2,b1,true,7446,3,4,rv,2
5312,54,2,1,c2,b1,true,6340,4,3,rv,3
6198,48,1,1,k,k,true,6410,3,0,rv,2
6103,20,0,2,c2,b2,false,6169,2,2,rv,2
6883,192,2,2,k,k,true,7422,2,2,rv,4
3766,432,2,4,b3,b1,false,6204,3,0,rv,6
2593,16,1,1,c2,b2,false,3504,3,0,rv,2
6554,12,1,0,k,k,true,6630,3,0,rv,1
2546,12,2,0,b2,k,true,5104,3,0,rv,2
3875,36,1,1,k,k,true,7055,3,2,rv,2
5814,6,0,1,c2,b1,true,5841,2,2,rv,1
2138,8,0,1,k,k,false,5162,2,0,rv,1
6682,24,2,1,b1,c2,false,6880,2,2,rv,3
193,324,4,1,b3,k,true,3784,2,2,rv,5
1603,24,1,2,b1,k,false,5003,2,2,rv,3
2291,72,4,0,b2,k,true,5644,3,2,rv,4
4659,6,0,1,c2,b1,true,4768,2,2,rv,1
2790,48,1,1,k,k,true,3913,3,0,rv,2
4041,8,0,1,k,k,true,4049,3,3,rv,1
5363,36,2,1,c2,b1,true,6744,3,2,rv,3
5386,24,2,0,k,k,true,5404,3,2,rv,2
6074,24,2,0,k,k,true,7359,2,2,rv,2
4490,12,1,0,k,k,true,6804,2,3,rv,1
4286,24,1,1,c2,b2,true,6983,2,3,rv,2
4349,54,2,1,c2,b1,true,7241,2,2,rv,3
2504,8,0,1,k,k,true,4255,2,2,rv,1
7237,8,0,1,k,b1,false,7254,2,2,rv,1
3382,216,3,1,k,k,true,6418,3,2,rv,4
4868,36,2,1,c2,b1,true,4954,2,2,rv,3
6686,24,3,0,b2,k,true,7275,2,3,rv,3
3661,21,1,1,c2,b2,true,6847,2,3,rv,2
2292,72,1,2,c2,b1,false,7125,4,0,rv,3
3557,20,1,1,k,k,true,6260,2,2,rv,2
4931,72,2,1,k,k,false,6842,2,0,rv,3
4207,24,1,1,c2,b2,true,6483,2,2,rv,2
4015,90,1,2,k,b2,false,6638,3,2,rv,3
6721,36,1,1,k,k,true,6977,3,2,rv,2
4216,108,0,3,k,b2,false,6484,3,2,rv,3
4680,72,3,0,k,k,true,4683,3,2,rv,3
4876,72,1,2,c2,b1,false,7022,3,3,rv,3
4058,4,0,0,k,k,false,4177,3,0,rv,0
6399,4,0,0,k,k,true,7135,2,0,rv,0
2502,384,3,2,k,b1,false,4255,2,2,rv,5
3556,7,0,1,c2,b2,false,3653,2,2,rv,1
5912,12,1,0,k,k,true,7372,3,3,rv,1
3044,6,0,1,c2,b1,true,7370,2,2,rv,1
2780,72,3,0,k,k,true,5203,3,2,rv,3
