@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5527,4,1,0,b2,k,false,6510,2,0,rv,1
4156,36,1,1,k,c2,false,4165,3,2,rv,2
4021,24,0,2,k,k,false,4197,3,2,rv,2
5767,12,0,1,k,k,false,5896,3,0,rv,1
5976,4,0,0,k,k,false,7077,2,2,rv,0
5749,4,0,0,k,k,true,5827,3,0,rv,0
3097,8,0,1,c2,b2,false,4783,2,2,rv,1
4135,24,2,1,b2,k,true,7257,2,2,rv,3
5336,16,1,0,k,k,false,5488,2,3,rv,1
5317,18,0,2,c2,b1,true,7122,2,0,rv,2
2860,108,3,1,b2,k,false,4184,2,0,rv,4
2633,72,1,2,c2,b2,true,3575,2,0,rv,3
5444,24,0,2,k,b1,false,5461,2,2,rv,2
2534,535,3,2,c1,b3,false,6217,2,0,rv,5
2085,24,0,2,k,b2,false,5050,3,2,rv,2
3305,36,0,2,k,b2,false,5596,2,2,rv,2
1610,56,3,1,b1,k,false,3333,3,0,rv,4
6693,8,2,0,b1,k,true,6694,4,3,rv,2
193,12,1,0,k,k,false,1761,3,2,rv,1
6195,48,0,3,k,b1,false,6322,2,0,rv,3
3683,24,3,0,b2,k,true,6924,2,0,rv,3
2722,48,2,1,c2,b2,false,3898,2,2,rv,3
4947,8,1,0,k,k,true,4963,2,2,rv,1
5317,8,0,1,c2,b2,false,6450,3,3,rv,1
7056,4,1,0,b1,k,false,7071,3,3,rv,1
7156,4,1,0,b1,k,false,7216,2,4,rv,1
5545,36,1,1,k,b2,false,6496,2,2,rv,2
4427,72,0,3,c2,b2,false,6508,2,0,rv,3
2810,8,2,0,b1,c2,false,5801,2,3,rv,2
3030,16,0,2,k,b1,false,4551,2,0,rv,2
3875,60,3,0,k,k,true,7055,3,2,rv,3
2138,24,1,2,b1,k,false,5162,2,0,rv,3
6742,8,1,0,k,k,true,7150,3,3,rv,1
6205,12,1,0,k,k,false,6969,3,3,rv,1
6682,96,1,2,k,c2,false,6880,2,2,rv,3
193,580,2,4,c1,b3,true,3784,2,2,tn,6
1603,72,0,3,k,b2,false,5003,2,2,rv,3
1757,64,1,2,k,b1,false,3974,3,0,rv,3
5861,12,0,1,k,k,true,7417,2,3,rv,1
3796,36,2,1,c2,b1,true,6431,2,0,rv,3
4548,12,2,0,b1,k,true,4549,2,0,rv,2
6331,4,0,0,k,k,true,6674,3,3,rv,0
3988,8,0,1,k,k,false,4061,2,0,rv,1
3527,4,1,0,b1,k,false,3529,2,2,rv,1
2790,36,2,1,c2,b1,true,3913,3,0,rv,3
5096,18,0,2,c2,b1,false,6534,4,3,rv,2
3085,48,0,3,k,b1,false,6045,2,2,rv,3
4627,4,1,0,b2,k,true,4634,2,0,rv,1
2028,8,2,0,b1,c2,false,4754,3,3,rv,2
3253,8,2,0,b1,c2,false,7349,3,3,rv,2
6807,420,3,3,b3,b2,false,6912,2,2,rv,6
2838,144,1,2,k,b2,false,4365,2,2,rv,3
6074,24,1,1,k,k,true,7359,2,2,rv,2
3382,8,1,0,k,k,true,3382,2,2,rv,1
6414,4,0,0,k,k,false,6614,2,3,rv,0
3013,24,1,2,b2,k,true,3015,2,0,rv,3
4286,54,1,2,c2,b1,true,6983,2,3,rv,3
2536,48,1,2,c2,b2,true,3529,2,2,rv,3
3128,8,0,1,k,k,false,4677,2,0,rv,1
2517,4,1,0,b1,k,true,3497,2,0,rv,1
4318,12,1,1,c2,b1,true,7111,3,2,rv,2
3382,288,3,2,k,k,true,6418,3,2,rv,5
4868,108,1,3,c2,b1,true,4954,2,2,rv,4
3046,72,2,2,b1,k,false,5298,2,3,rv,4
2953,32,0,3,c2,b2,false,4922,2,2,rv,3
6686,96,4,0,b2,k,true,7275,2,3,rv,4
