@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2601,24,0,2,k,k,false,3606,2,3,rv,2
2545,48,0,3,k,b1,false,6330,3,3,rv,3
4746,60,3,0,k,k,true,4783,2,2,rv,3
3261,192,1,3,c2,b2,false,6795,2,2,rv,4
4207,8,0,1,k,k,true,4275,3,2,rv,1
3298,72,1,2,k,k,true,5932,2,2,rv,3
2594,24,0,2,k,b1,false,6011,2,2,rv,2
2600,200,2,3,c2,b2,true,6217,2,0,rv,5
2677,8,0,1,k,k,false,3552,2,0,rv,1
2957,24,3,0,b2,k,true,5050,3,2,rv,3
2809,4,0,0,k,k,true,3791,2,0,rv,0
1840,8,1,1,b2,k,false,4136,2,2,rv,2
4279,10,2,0,b1,c2,false,4292,2,0,rv,2
2468,216,3,1,k,k,true,3333,3,0,rv,4
2790,4,0,0,k,k,false,5426,2,0,rv,0
5750,24,2,0,k,k,true,6318,2,2,rv,2
5554,24,2,0,k,c2,false,7383,2,2,rv,2
255,64,1,2,k,b1,false,4413,2,2,rv,3
4272,288,2,2,c2,b1,false,6924,2,0,rv,4
2724,96,0,4,c2,b2,true,3898,2,2,rv,4
3195,8,0,1,k,k,false,4963,2,2,rv,1
452,108,0,3,k,b2,false,6340,4,3,rv,3
6196,12,0,1,k,k,false,6410,3,0,rv,1
2468,84,2,2,c2,b1,true,6204,3,0,rv,4
6699,4,0,0,k,k,true,7071,3,3,rv,0
3239,8,0,1,c2,b2,false,3242,2,0,rv,1
2844,24,1,2,b1,b2,false,7055,3,2,rv,3
4342,12,1,0,k,k,true,7242,3,2,rv,1
4494,12,2,0,b1,k,true,6880,2,2,rv,2
4328,8,2,0,b2,k,true,4331,2,0,rv,2
191,544,1,4,c1,b3,false,3784,2,2,rv,5
5051,12,1,1,b1,k,false,7417,2,3,rv,2
3118,4,1,0,b1,k,false,4768,2,2,rv,1
2843,36,2,0,k,k,true,4061,2,0,rv,2
230,216,1,4,c2,b1,true,2879,2,0,rv,5
6023,16,1,1,k,k,true,6045,2,2,rv,2
6186,12,0,1,k,k,false,6744,3,2,rv,1
4938,4,1,0,b1,k,false,7359,2,2,rv,1
4270,36,0,2,k,k,false,6804,2,3,rv,2
2955,24,0,2,k,b2,false,7241,2,2,rv,2
2291,36,1,3,b2,b1,false,5629,2,2,rv,4
1277,24,1,2,b2,b2,true,7082,3,2,rv,3
5003,8,1,0,k,k,true,7254,2,2,rv,1
3548,688,4,2,c1,b3,false,6418,3,2,tn,6
3141,48,1,2,c2,b2,true,4759,3,0,rv,3
2660,72,0,3,k,b1,false,4954,2,2,rv,3
3022,24,0,2,k,k,false,4616,2,2,rv,2
1606,10,2,0,b1,k,true,1607,3,5,rv,2
3021,4,0,0,k,k,false,7275,2,3,rv,0
3655,8,2,0,b2,k,true,6862,2,3,rv,2
3830,24,2,0,k,k,true,3903,2,2,rv,2
3096,72,0,4,c2,b1,false,6847,2,3,rv,4
6195,24,2,1,b1,k,true,7125,4,0,rv,3
3561,24,0,2,k,b2,false,6260,2,2,rv,2
5811,108,2,1,k,k,true,6842,2,0,rv,3
4007,36,1,1,k,k,false,6483,2,2,rv,2
3207,12,0,1,k,k,true,6087,2,2,rv,1
3987,64,1,2,k,k,true,6484,3,2,rv,3
5536,24,1,1,k,k,true,7022,3,3,rv,2
2491,64,1,2,c2,b2,true,3417,2,0,rv,3
4021,24,1,1,k,k,true,4177,3,0,rv,2
6728,4,0,0,k,k,false,7135,2,0,rv,0
3393,36,0,2,k,k,false,6405,3,0,rv,2
3218,24,0,2,k,b2,false,5203,3,2,rv,2
6686,108,2,2,b1,k,false,6850,3,2,rv,4
2601,12,0,1,k,k,false,3606,3,3,rv,1
2479,24,2,1,b2,k,false,6222,2,0,rv,3
1607,12,0,1,k,b2,false,6671,2,3,rv,1
309,12,0,1,k,k,true,2379,2,2,rv,1
4060,4,0,0,k,k,false,4162,2,0,rv,0
