@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
6240,7,0,1,c2,b2,true,6510,2,0,rv,1
2849,36,1,1,k,k,true,4165,3,2,rv,2
2882,24,2,0,k,k,true,4197,3,2,rv,2
5767,12,1,0,k,k,true,5896,3,0,rv,1
6693,4,0,0,k,k,true,7077,2,2,rv,0
3074,4,0,0,k,k,false,5827,3,0,rv,0
4746,4,1,0,b2,k,true,4783,2,2,rv,1
4930,42,1,2,c2,b2,false,7257,2,2,rv,3
5476,16,0,1,k,k,true,5488,2,3,rv,1
6395,12,2,0,b1,c2,false,7122,2,0,rv,2
3989,216,1,3,c2,b2,true,4184,2,0,rv,4
186,36,2,1,b2,c2,false,3575,2,0,rv,3
3175,24,2,0,k,k,true,5461,2,2,rv,2
2600,180,2,3,b3,b2,true,6217,2,0,rv,5
2957,24,2,0,k,k,true,5050,3,2,rv,2
5581,36,2,0,k,k,true,5596,2,2,rv,2
2468,88,1,3,c2,b1,true,3333,3,0,rv,4
6679,12,0,2,c2,b1,false,6694,4,3,rv,2
1753,12,0,1,k,k,true,1761,3,2,rv,1
6238,48,3,0,k,k,true,6322,2,0,rv,3
4272,48,0,3,c2,b2,false,6924,2,0,rv,3
2724,24,1,2,b2,k,true,3898,2,2,rv,3
3195,8,0,1,k,b1,false,4963,2,2,rv,1
3794,4,1,0,b2,k,true,6450,3,3,rv,1
6699,6,0,1,c2,b1,true,7071,3,3,rv,1
7029,6,0,1,c2,b1,true,7216,2,4,rv,1
4006,36,1,1,k,k,true,6496,2,2,rv,2
2493,36,3,0,b2,k,true,6508,2,0,rv,3
2347,12,0,2,c2,b1,true,5801,2,3,rv,2
4528,16,2,0,k,k,true,4551,2,0,rv,2
2844,60,0,3,k,b2,false,7055,3,2,rv,3
3228,36,2,1,c2,b1,true,5162,2,0,rv,3
2813,8,0,1,k,b1,false,7150,3,3,rv,1
6837,12,0,1,k,k,true,6969,3,3,rv,1
4494,96,2,1,k,k,true,6880,2,2,rv,3
191,252,4,2,b3,b2,false,3784,2,2,tn,6
2835,72,3,0,k,k,true,5003,2,2,rv,3
3839,64,2,1,k,k,true,3974,3,0,rv,3
5051,12,1,0,k,c2,false,7417,2,3,rv,1
3398,24,1,2,b1,k,false,6431,2,0,rv,3
2748,18,0,2,c2,b1,false,4549,2,0,rv,2
6422,4,0,0,k,k,false,6674,3,3,rv,0
2843,8,1,0,k,k,true,4061,2,0,rv,1
3469,6,0,1,c2,b1,true,3529,2,2,rv,1
2734,24,1,2,b1,k,false,3913,3,0,rv,3
1389,12,2,0,b1,k,true,6534,4,3,rv,2
6023,48,3,0,k,k,true,6045,2,2,rv,3
4575,7,0,1,c2,b2,false,4634,2,0,rv,1
4702,12,0,2,c2,b1,true,4754,3,3,rv,2
1604,12,0,2,c2,b1,true,7349,3,3,rv,2
