@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2678,24,2,0,k,k,true,3606,2,3,rv,2
6273,48,3,0,k,k,true,6330,3,3,rv,3
3097,60,0,3,k,b2,false,4783,2,2,rv,3
6749,96,3,1,b2,k,true,6795,2,2,rv,4
224,8,1,0,k,k,false,4275,3,2,rv,1
5780,72,2,1,k,c2,false,5932,2,2,rv,3
5971,24,2,0,k,k,true,6011,2,2,rv,2
2534,84,3,2,b2,b2,false,6217,2,0,rv,5
3549,8,1,0,k,k,true,3552,2,0,rv,1
2085,42,0,3,c2,b2,false,5050,3,2,rv,3
3787,4,0,0,k,k,false,3791,2,0,rv,0
2836,14,1,1,c2,b2,true,4136,2,2,rv,2
2627,17,0,2,c2,b1,true,4292,2,0,rv,2
1610,216,1,3,k,b1,false,3333,3,0,rv,4
5318,4,0,0,k,k,true,5426,2,0,rv,0
3573,24,0,2,k,k,false,6318,2,2,rv,2
5476,24,0,2,k,k,true,7383,2,2,rv,2
4315,64,2,1,k,k,true,4413,2,2,rv,3
3683,192,2,2,b1,k,true,6924,2,0,rv,4
2722,48,4,0,b2,c2,false,3898,2,2,rv,4
4947,8,1,0,k,k,true,4963,2,2,rv,1
5312,108,3,0,k,k,true,6340,4,3,rv,3
6198,12,1,0,k,k,true,6410,3,0,rv,1
3766,56,2,2,b1,k,false,6204,3,0,rv,4
7056,4,0,0,k,k,false,7071,3,3,rv,0
273,4,1,0,b2,k,true,3242,2,0,rv,1
3875,36,2,1,c2,b1,true,7055,3,2,rv,3
5223,12,0,1,k,k,false,7242,3,2,rv,1
6682,18,0,2,c2,b1,false,6880,2,2,rv,2
4315,20,0,2,c2,b2,false,4331,2,0,rv,2
193,288,4,1,b3,k,true,3784,2,2,rv,5
5861,18,1,1,c2,b1,true,7417,2,3,rv,2
4659,6,0,1,c2,b1,true,4768,2,2,rv,1
3988,36,0,2,k,b2,false,4061,2,0,rv,2
2879,144,4,1,b1,c2,false,2879,2,0,rv,5
3085,16,1,1,k,b1,false,6045,2,2,rv,2
5363,12,1,0,k,k,true,6744,3,2,rv,1
6074,6,0,1,c2,b1,true,7359,2,2,rv,1
4490,36,2,0,k,k,true,6804,2,3,rv,2
4349,24,2,0,k,k,true,7241,2,2,rv,2
