@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,12,0,1,c2,k,true,1,1,3,fp,1
f,18,0,2,k,b1,true,1,2,3,tn,2
k,12,0,1,c2,b2,false,2,2,0,fp,1
f,24,0,2,k,b2,false,2,2,0,fp,2
k,4,0,0,k,k,false,2,3,0,fp,0
k,4,0,0,k,k,false,2,3,0,tn,0
b1,4,1,0,k,k,false,2,3,0,rv,1
k,16,1,0,b2,c2,false,1,2,0,fp,1
k,16,1,0,k,k,false,2,3,2,tn,1
b1,16,2,0,k,k,false,2,3,2,rv,2
k,14,1,0,b2,k,true,0,2,0,fp,1
k,14,1,0,k,k,true,1,2,0,tn,1
f,28,1,1,k,b2,true,2,2,3,rv,2
k,4,0,0,k,k,false,1,1,2,fp,0
c,6,0,1,k,b1,false,1,1,2,fp,1
k,8,0,1,c2,b1,false,2,2,2,tn,1
k,8,0,1,k,k,false,2,2,2,rv,1
k,4,0,0,k,k,false,0,2,0,fp,0
f,6,0,1,k,b1,false,0,2,0,fp,1
b2,14,2,0,b2,c2,false,0,2,0,fp,2
b2,10,2,0,b2,k,true,2,2,0,fp,2
b2,26,3,0,b2,k,true,2,2,0,tn,3
b1,68,4,0,b2,k,true,2,2,2,rv,4
k,44,1,1,b2,c2,false,0,1,2,fp,2
f,88,1,2,k,b2,false,0,1,2,fp,3
k,14,1,0,b2,c2,false,2,1,0,fp,1
f,21,1,1,k,b1,false,2,1,0,fp,2
b2,14,2,0,b2,k,true,1,2,2,fp,2
k,4,0,0,k,k,false,0,2,0,fp,0
k,4,0,0,k,k,false,1,2,0,tn,0
f,8,0,1,k,b2,false,1,2,0,tn,1
f,21,1,1,b2,b1,true,0,2,2,fp,2
b2,14,2,0,b2,c2,false,1,1,0,fp,2
b2,14,2,0,b2,c2,false,2,1,2,fp,2
b2,14,2,0,b2,k,true,1,2,0,fp,2
b2,36,3,0,b2,k,true,1,2,3,tn,3
k,36,1,1,b2,c2,false,1,2,2,fp,2
k,36,1,1,k,k,false,2,2,2,tn,2
c,54,1,2,k,b1,false,2,2,2,tn,3
k,72,1,2,c2,b1,false,3,3,3,rv,3
b2,14,2,0,b2,k,true,2,2,0,fp,2
f,54,2,1,b2,b1,true,3,2,2,tn,3
k,4,0,0,k,k,false,2,1,2,fp,0
c,8,0,1,k,b2,false,2,1,2,fp,1
k,12,0,1,c2,b2,false,2,2,2,tn,1
b1,12,1,1,k,k,false,2,2,2,rv,2
b2,14,2,0,b2,k,true,2,2,2,fp,2
k,38,2,0,b2,k,true,2,2,2,tn,2
f,76,2,1,k,b2,true,2,3,2,rv,3
k,4,0,0,k,k,false,1,2,2,fp,0
b2,8,1,1,k,b2,false,1,2,2,fp,2
k,34,1,1,b2,c2,false,1,3,3,tn,2
k,34,1,1,k,k,false,1,3,3,rv,2
f,68,1,2,k,b2,false,1,3,3,rv,3
f,18,0,2,c2,b1,true,1,2,0,fp,2
k,4,0,0,k,k,false,2,2,0,fp,0
f,6,0,1,k,b1,false,2,2,0,fp,1
k,14,1,0,b2,c2,false,1,2,0,fp,1
k,14,1,0,k,k,false,2,2,0,tn,1
b1,14,2,0,k,k,false,2,2,0,rv,2
b2,14,2,0,b2,k,true,2,2,2,fp,2
b2,36,3,0,b2,k,true,2,2,2,tn,3
b1,96,4,0,b2,k,true,2,2,2,rv,4
f,485,4,1,b1,b3,true,2,2,2,rv,5
k,4,0,0,k,k,false,1,1,2,fp,0
f,6,0,1,k,b1,false,1,1,2,fp,1
b2,14,2,0,b2,k,true,0,1,2,fp,2
k,4,0,0,k,k,false,0,3,2,fp,0
k,4,0,0,k,k,false,1,3,2,tn,0
k,4,0,0,k,k,false,1,3,2,rv,0
