@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5756,4,1,0,b1,k,false,5777,3,0,rv,1
5545,16,2,0,b1,k,false,5664,3,2,rv,2
6715,8,0,1,k,k,false,7106,2,2,rv,1
3384,68,4,0,b1,k,true,6452,2,2,rv,4
2823,72,1,2,k,b1,false,3902,3,3,rv,3
6742,8,0,1,c2,b2,false,7160,3,2,rv,1
7272,26,2,0,k,k,true,7322,2,2,rv,2
3074,48,0,3,c2,b2,false,5826,2,0,rv,3
2225,28,1,1,k,k,true,2256,2,2,rv,2
3767,40,1,1,k,k,false,3816,2,0,rv,2
5970,10,1,0,k,c2,false,6011,2,2,rv,1
5803,10,1,0,k,k,true,5944,2,2,rv,1
2798,12,1,1,b1,k,false,3860,2,2,rv,2
6211,88,1,2,k,k,false,7199,3,2,rv,3
2514,12,0,1,k,b2,false,3436,2,0,rv,1
4210,24,0,2,k,k,false,4303,2,2,rv,2
6102,26,2,0,k,k,true,6116,2,0,rv,2
5142,8,0,1,k,k,false,6727,2,2,rv,1
3580,48,0,3,k,k,true,6324,2,2,rv,3
5308,30,1,1,k,k,true,5355,3,3,rv,2
558,4,1,0,b1,k,false,3794,4,0,rv,1
3196,10,1,0,k,k,true,5875,2,2,rv,1
2491,4,1,0,b1,k,false,2495,3,0,rv,1
1764,20,1,1,k,k,true,3947,2,0,rv,2
4278,12,1,1,b1,k,false,4398,3,0,rv,2
3118,51,2,1,c2,b1,true,6856,2,2,rv,3
4453,52,1,2,k,k,true,6619,3,2,rv,3
214,4,0,0,k,k,false,4198,2,2,rv,0
1609,4,1,0,b1,k,false,6607,2,2,rv,1
5635,4,0,0,k,k,true,5696,2,2,rv,0
6294,12,1,0,k,k,false,7416,2,3,rv,1
2655,8,0,1,k,k,false,2659,2,0,rv,1
3283,10,1,0,k,c2,false,6042,2,0,rv,1
3381,4,0,0,k,k,true,3431,3,2,rv,0
3491,98,4,0,b1,k,true,7423,2,2,rv,4
4711,38,2,0,k,k,true,4726,2,2,rv,2
2777,10,2,0,b1,k,true,5149,2,2,rv,2
3490,48,1,2,c2,b1,false,6614,3,3,rv,3
5966,70,2,1,k,k,true,6024,2,2,rv,3
2096,4,1,0,b1,k,false,5072,3,2,rv,1
5916,8,0,1,c2,b2,true,7394,3,2,rv,1
3830,4,0,0,k,k,true,3837,3,2,rv,0
5810,4,0,0,k,k,true,6803,2,3,rv,0
3346,10,2,0,b2,k,true,6277,2,0,rv,2
5098,12,0,1,k,b2,false,6617,2,2,rv,1
3356,24,0,2,k,k,true,3509,2,0,rv,2
6196,44,1,1,k,k,false,6598,2,0,rv,2
4749,36,3,0,b2,k,true,4752,2,2,rv,3
2765,14,1,0,k,k,true,3806,2,2,rv,1
5528,12,1,1,b1,k,false,6932,3,0,rv,2
6202,12,0,1,k,k,true,6295,3,2,rv,1
2985,22,2,0,k,k,true,5668,2,2,rv,2
3265,4,0,0,k,k,true,5507,2,2,rv,0
2517,48,0,3,k,b1,false,4480,2,2,rv,3
3800,24,1,1,k,b1,false,3956,2,2,rv,2
1609,605,2,4,c1,b3,true,5745,2,4,rv,6
3512,72,0,3,k,b2,false,6672,3,2,rv,3
3831,26,2,0,k,k,true,3913,2,0,rv,2
5537,36,0,2,k,b2,false,5634,2,2,rv,2
5004,4,1,0,b1,k,false,7332,2,2,rv,1
3582,12,2,0,b1,k,false,6991,2,2,rv,2
5581,4,0,0,k,k,true,5585,2,2,rv,0
6504,4,1,0,b1,k,false,6516,2,2,rv,1
5584,21,1,1,c2,b1,true,6765,2,2,rv,2
3610,12,0,1,k,b2,false,6759,3,2,rv,1
1166,4,0,0,k,k,false,7010,4,4,rv,0
2505,12,0,1,k,k,true,3473,3,0,rv,1
5326,12,0,1,k,k,true,6505,2,0,rv,1
2538,70,1,2,k,b2,false,6633,2,0,rv,3
5087,198,1,3,c2,b1,false,5175,3,0,rv,4
6297,28,1,1,k,k,false,6664,2,3,rv,2
2638,52,1,2,k,k,true,4523,2,2,rv,3
6393,44,1,1,k,k,false,7380,2,2,rv,2
4431,45,1,2,c2,b1,true,6635,2,3,rv,3
3771,135,2,2,c2,b1,true,6465,3,2,rv,4
5409,4,0,0,k,k,false,5435,2,0,rv,0
2842,42,1,2,c2,b1,true,4014,2,0,rv,3
6358,14,1,0,k,k,false,6445,2,0,rv,1
4307,4,0,0,k,k,false,4312,2,3,rv,0
5316,4,1,0,b1,k,false,6534,3,3,rv,1
297,64,1,2,k,k,true,5733,2,3,rv,3
1600,28,2,1,b1,k,false,6191,4,0,rv,3
2205,8,1,1,b1,k,false,5322,2,2,rv,2
3052,32,1,1,k,b1,false,4525,2,2,rv,2
3996,8,0,1,k,k,false,6354,2,3,rv,1
6367,42,1,1,k,k,false,7200,2,2,rv,2
2788,4,1,0,b1,k,false,3861,2,2,rv,1
3151,36,1,1,k,k,false,4702,2,2,rv,2
6081,4,1,0,b1,k,false,7176,3,0,rv,1
2583,24,0,2,k,k,true,3544,2,2,rv,2
5832,12,0,1,k,k,false,7005,3,2,rv,1
3684,4,0,0,k,k,false,3722,2,0,rv,0
2479,522,3,2,c1,b3,false,6205,3,0,rv,5
3516,24,1,2,b1,k,false,6663,3,2,rv,3
3390,140,1,3,c2,b2,false,6407,2,0,rv,4
1608,8,1,0,k,c2,false,4419,2,2,rv,1
6560,4,0,0,k,k,false,6560,2,2,rv,0
5751,12,1,1,b1,b2,false,6337,4,2,rv,2
4711,28,1,1,c2,b2,true,6828,3,2,rv,2
6257,28,1,1,k,b1,false,7006,2,3,rv,2
2640,99,1,3,c2,b1,true,3727,2,0,rv,4
5538,4,1,0,b1,k,false,6428,2,0,rv,1
2649,40,1,2,c2,b2,true,4741,2,0,rv,3
3184,56,1,2,c2,b2,false,6058,2,0,rv,3
4646,12,0,1,k,k,true,4651,2,0,rv,1
2523,14,2,0,b1,k,false,2523,2,0,rv,2
5751,16,0,2,k,b1,false,6345,2,2,rv,2
2755,38,2,0,k,k,true,3823,2,3,rv,2
5967,12,0,1,k,b2,false,6876,2,0,rv,1
3194,8,2,0,b1,c2,false,5794,2,2,rv,2
3087,38,2,0,k,c2,false,4565,2,3,rv,2
3354,24,0,2,k,k,false,3499,2,0,rv,2
3348,30,1,1,k,c2,false,6287,2,0,rv,2
6256,12,1,0,k,k,false,6875,2,2,rv,1
2634,36,3,0,b1,c2,false,4499,2,2,rv,3
4543,16,1,0,k,k,false,4625,3,2,rv,1
2932,8,0,1,k,k,true,4314,2,3,rv,1
2689,12,0,1,k,b2,false,3733,2,2,rv,1
5141,12,0,1,k,b2,false,5142,3,2,rv,1
4894,84,2,2,b2,k,true,5039,2,2,rv,4
3346,12,2,0,b1,k,false,6273,2,2,rv,2
225,104,2,1,k,c2,false,5924,3,2,rv,3
3121,4,1,0,b1,k,false,4836,2,2,rv,1
3293,18,0,2,c2,b1,false,5789,2,2,rv,2
2725,250,3,2,b1,c2,false,4750,2,2,rv,5
4893,24,1,1,k,k,false,5033,2,2,rv,2
1606,4,1,0,b1,k,false,7308,3,3,rv,1
2470,48,0,3,c2,b2,false,3348,3,0,rv,3
1509,32,1,1,k,c2,false,7106,4,2,rv,2
6704,50,2,2,b1,k,true,6874,3,2,rv,4
229,40,2,0,k,k,false,2932,2,2,rv,2
6360,4,0,0,k,k,true,6515,2,0,rv,0
4674,28,1,1,c2,b2,false,4848,2,3,rv,2
2769,54,0,3,c2,b1,false,4985,2,0,rv,3
2735,4,0,0,k,k,true,2741,2,0,rv,0
3172,4,1,0,b1,k,false,5341,2,0,rv,1
664,322,4,1,b3,c2,false,6586,3,0,tn,5
2578,508,3,2,c1,b3,false,5769,2,0,rv,5
546,96,0,4,c2,b2,true,6595,4,0,rv,4
2645,16,0,2,k,b1,false,6679,2,4,rv,2
4176,76,2,1,k,b1,false,4203,3,2,rv,3
1359,324,4,1,b3,c2,false,6812,3,2,tn,5
6194,10,2,0,b1,c2,false,6194,3,2,rv,2
1606,16,2,0,b1,k,false,6977,2,2,rv,2
2648,39,3,1,b2,b1,true,2651,3,0,rv,4
2832,12,2,0,b1,k,false,2836,3,2,rv,2
2469,24,2,1,b1,k,false,3597,2,0,rv,3
4208,8,1,1,b1,k,false,6269,2,2,rv,2
3283,14,1,0,k,k,true,3284,3,0,rv,1
5979,36,1,2,b1,k,false,6091,3,2,rv,3
3032,18,1,1,c2,b1,true,5011,3,0,rv,2
5253,12,0,2,c2,b1,false,7370,3,2,rv,2
4597,54,2,1,c2,b1,true,7365,2,2,rv,3
3030,21,1,1,c2,b1,true,3035,2,2,rv,2
6210,10,1,0,k,k,true,6658,2,2,rv,1
856,69,1,3,c2,b1,true,3728,3,2,rv,4
5526,48,0,3,k,b1,false,5584,3,2,rv,3
2897,32,1,1,k,k,false,4005,3,3,rv,2
4046,12,0,2,c2,b1,true,6709,2,3,rv,2
6394,4,0,0,k,k,false,6581,2,0,rv,0
6294,8,1,1,b1,k,false,6940,4,3,rv,2
2644,34,3,0,b1,c2,false,4705,2,2,rv,3
1603,78,4,0,b1,k,true,7276,3,3,rv,4
656,28,1,1,k,b1,false,6648,4,3,rv,2
1345,24,1,2,b1,k,false,7171,3,2,rv,3
6679,4,0,0,k,k,true,6722,2,2,rv,0
3063,4,1,0,b1,k,false,3063,3,0,rv,1
3347,14,1,0,k,k,true,3475,2,2,rv,1
2603,36,2,1,b2,k,true,3844,2,2,rv,3
3195,10,2,0,b1,c2,false,6787,2,2,rv,2
3838,112,3,1,b1,c2,false,7154,2,2,rv,4
5529,32,2,0,k,k,true,6324,2,2,rv,2
2633,36,0,2,k,b2,false,6314,4,2,rv,2
2963,10,2,0,b1,k,true,6284,3,2,rv,2
5445,8,0,1,k,k,false,7407,3,3,rv,1
6471,4,1,0,b1,k,false,6471,2,3,rv,1
2568,8,0,1,k,k,false,3408,3,0,rv,1
