@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
7153,12,1,1,b2,k,true,7424,2,2,rv,2
5748,10,1,0,k,k,true,5777,3,0,rv,1
2898,24,0,2,k,b1,false,2905,2,2,rv,2
2900,24,1,2,b1,b1,false,7250,2,2,rv,3
1906,10,2,0,b1,c2,false,4415,2,2,rv,2
237,36,3,0,b1,k,true,5826,2,0,rv,3
3766,10,2,0,b2,k,true,3816,2,0,rv,2
5016,4,1,0,b1,k,false,7315,2,2,rv,1
3047,4,0,0,k,k,false,3047,2,2,rv,0
3315,28,1,1,k,k,true,6011,2,2,rv,2
5869,84,1,2,k,k,true,7199,3,2,rv,3
4264,4,0,0,k,k,false,4267,3,2,rv,0
3436,10,1,0,k,k,true,3436,2,0,rv,1
212,44,2,1,b1,k,false,1825,2,0,rv,3
6436,45,1,2,c2,b1,true,7209,2,2,rv,3
2141,14,2,0,b2,k,true,5134,3,2,rv,2
6209,12,0,1,k,k,false,6436,2,2,rv,1
5224,12,0,1,k,b2,false,7330,3,2,rv,1
2236,4,1,0,b1,k,false,2236,2,0,rv,1
6470,68,4,0,b1,k,true,6526,2,0,rv,4
3194,4,1,0,b1,k,false,6486,3,2,rv,1
3434,32,3,0,b1,c2,false,6619,3,2,rv,3
7021,4,1,0,b1,k,false,7022,2,3,rv,1
7020,12,1,0,k,k,false,7399,3,2,rv,1
3381,42,1,1,k,b2,false,3431,3,2,rv,2
6266,44,2,0,k,k,false,6280,2,0,rv,2
2076,40,3,0,b1,k,true,6614,3,3,rv,3
2578,12,1,1,b1,k,false,3485,2,0,rv,2
5141,15,1,1,c2,b1,true,7073,3,2,rv,2
4541,94,2,1,k,k,false,7183,3,3,rv,3
6188,12,0,1,k,k,false,6252,2,0,rv,1
7114,4,0,0,k,k,true,7405,2,3,rv,0
6722,36,2,0,k,k,false,6769,2,2,rv,2
6188,10,1,0,k,k,true,6862,2,3,rv,1
2898,78,2,1,k,k,true,6875,2,2,rv,3
4816,72,2,1,k,b1,false,7379,2,3,rv,3
5548,8,0,1,k,k,false,6541,2,2,rv,1
5319,88,1,2,k,b1,false,7199,2,2,rv,3
7238,26,2,0,k,k,true,7382,3,2,rv,2
2821,4,1,0,b1,k,false,3837,3,2,rv,1
3566,24,1,2,b1,k,false,6277,2,0,rv,3
4067,4,1,0,b1,k,false,6861,3,2,rv,1
5528,12,1,0,k,k,true,5555,2,0,rv,1
4900,28,1,1,k,k,true,6617,2,2,rv,2
6828,14,1,0,k,k,false,6989,2,3,rv,1
5326,48,0,3,c2,b2,false,5467,2,3,rv,3
4656,72,0,3,k,b2,false,4752,2,2,rv,3
5158,56,1,2,c2,b2,true,6932,3,0,rv,3
4924,4,1,0,b1,k,false,7190,2,2,rv,1
1602,4,0,0,k,k,true,1602,2,5,rv,0
5590,24,0,2,k,b1,false,5668,2,2,rv,2
4442,14,1,0,k,k,true,4480,2,2,rv,1
3831,12,1,1,b2,k,true,3956,2,2,rv,2
1609,10,1,0,k,c2,false,6552,3,2,rv,1
1604,16,0,2,k,b1,false,7348,3,3,rv,2
5583,4,0,0,k,k,false,5585,2,2,rv,0
3838,10,1,0,k,k,true,3952,2,2,rv,1
6472,4,0,0,k,k,true,6516,2,2,rv,0
2019,24,1,2,b1,k,false,4829,2,0,rv,3
930,12,1,1,b1,k,false,6223,4,0,rv,2
6471,4,0,0,k,k,true,6504,2,2,rv,0
2986,16,0,2,k,k,true,5601,3,0,rv,2
6714,144,2,2,k,k,true,7123,2,0,rv,4
3354,572,3,3,c1,b3,true,6633,2,0,rv,6
3327,72,0,4,c2,b1,false,6197,3,0,rv,4
3549,84,1,2,k,k,true,6441,2,0,rv,3
4460,12,1,1,b1,k,false,4469,2,0,rv,2
5987,14,1,0,k,k,true,6664,2,3,rv,1
4879,24,1,1,c2,b2,true,6646,3,3,rv,2
5307,4,1,0,b1,k,false,6252,3,0,rv,1
4930,20,1,1,c2,b2,true,5040,2,2,rv,2
5335,34,2,0,k,k,true,6596,2,0,rv,2
5758,12,0,2,c2,b1,false,6455,3,0,rv,2
3501,64,1,2,k,b1,false,6635,2,3,rv,3
3381,70,3,0,k,k,true,6350,3,4,rv,3
2493,22,1,1,k,b2,false,4014,2,0,rv,2
5493,4,1,0,b1,k,false,7444,2,4,rv,1
6195,10,1,0,k,k,true,6445,2,0,rv,1
6196,4,0,0,k,k,false,6198,2,0,rv,0
2870,12,1,1,b1,k,false,5021,2,2,rv,2
