@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5748,6,0,1,c2,b1,true,5777,3,0,rv,1
3186,19,0,2,c2,b1,true,5664,3,2,rv,2
5414,8,1,0,k,k,true,7106,2,2,rv,1
3411,94,0,4,c2,b1,false,6452,2,2,rv,4
3767,72,2,1,k,k,true,3902,3,3,rv,3
4094,4,1,0,b2,k,true,7160,3,2,rv,1
5152,26,0,2,k,k,false,7322,2,2,rv,2
237,24,3,0,b2,k,true,5826,2,0,rv,3
2227,28,1,1,k,c2,false,2256,2,2,rv,2
3766,40,1,1,k,k,true,3816,2,0,rv,2
3315,10,0,1,k,k,true,6011,2,2,rv,1
5827,10,0,1,k,k,false,5944,2,2,rv,1
2788,14,1,1,c2,b1,true,3860,2,2,rv,2
5869,88,2,1,k,k,true,7199,3,2,rv,3
3436,12,1,0,k,k,true,3436,2,0,rv,1
2622,24,2,0,k,k,true,4303,2,2,rv,2
5987,26,0,2,k,k,false,6116,2,0,rv,2
6727,8,1,0,k,k,true,6727,2,2,rv,1
5307,48,3,0,k,c2,false,6324,2,2,rv,3
5321,30,1,1,k,c2,false,5355,3,3,rv,2
2743,6,0,1,c2,b1,true,3794,4,0,rv,1
3317,10,0,1,k,k,false,5875,2,2,rv,1
2494,6,0,1,c2,b1,true,2495,3,0,rv,1
2823,20,1,1,k,c2,false,3947,2,0,rv,2
4233,14,1,1,c2,b1,true,4398,3,0,rv,2
4043,34,1,2,b1,k,false,6856,2,2,rv,3
3434,52,2,1,k,b1,false,6619,3,2,rv,3
4026,4,0,0,k,k,true,4198,2,2,rv,0
6354,6,0,1,c2,b1,true,6607,2,2,rv,1
5663,4,0,0,k,k,false,5696,2,2,rv,0
5711,12,0,1,k,k,true,7416,2,3,rv,1
2656,8,1,0,k,k,true,2659,2,0,rv,1
3282,10,0,1,k,k,true,6042,2,0,rv,1
3381,4,0,0,k,k,false,3431,3,2,rv,0
4611,136,0,4,c2,b1,false,7423,2,2,rv,4
3106,38,0,2,k,b2,false,4726,2,2,rv,2
2149,14,0,2,c2,b1,false,5149,2,2,rv,2
2076,32,2,1,b1,k,true,6614,3,3,rv,3
5966,70,1,2,k,k,false,6024,2,2,rv,3
5016,6,0,1,c2,b1,true,5072,3,2,rv,1
7093,4,1,0,b2,k,false,7394,3,2,rv,1
2821,4,0,0,k,k,false,3837,3,2,rv,0
6799,4,0,0,k,k,false,6803,2,3,rv,0
3566,18,0,2,c2,b2,false,6277,2,0,rv,2
4900,12,1,0,k,k,true,6617,2,2,rv,1
2549,24,2,0,k,c2,false,3509,2,0,rv,2
4896,44,1,1,k,k,true,6598,2,0,rv,2
4656,66,0,3,c2,b2,false,4752,2,2,rv,3
3776,14,0,1,k,k,false,3806,2,2,rv,1
5158,14,1,1,c2,b1,true,6932,3,0,rv,2
4647,12,1,0,k,k,false,6295,3,2,rv,1
5590,22,0,2,k,k,false,5668,2,2,rv,2
3178,4,0,0,k,k,false,5507,2,2,rv,0
4442,48,3,0,k,k,true,4480,2,2,rv,3
3831,24,1,1,k,k,true,3956,2,2,rv,2
1609,410,4,2,b3,c1,false,5745,2,4,rv,6
6484,72,3,0,k,k,true,6672,3,2,rv,3
2756,26,0,2,k,b2,false,3913,2,0,rv,2
5634,36,2,0,k,k,true,5634,2,2,rv,2
7041,6,0,1,c2,b1,true,7332,2,2,rv,1
6039,14,0,2,c2,b1,true,6991,2,2,rv,2
5583,4,0,0,k,k,false,5585,2,2,rv,0
6472,6,0,1,c2,b1,true,6516,2,2,rv,1
3603,14,1,1,b1,k,false,6765,2,2,rv,2
6203,12,1,0,k,k,true,6759,3,2,rv,1
1168,4,0,0,k,k,true,7010,4,4,rv,0
3462,12,1,0,k,c2,false,3473,3,0,rv,1
3337,12,1,0,k,k,false,6505,2,0,rv,1
3354,70,2,1,k,k,true,6633,2,0,rv,3
186,132,3,1,b1,k,true,5175,3,0,rv,4
5987,28,1,1,k,k,true,6664,2,3,rv,2
3062,52,2,1,k,c2,false,4523,2,2,rv,3
4349,44,1,1,k,k,true,7380,2,2,rv,2
3501,30,2,1,b1,k,false,6635,2,3,rv,3
4660,90,2,2,b1,k,false,6465,3,2,rv,4
3283,4,0,0,k,k,true,5435,2,0,rv,0
2493,28,2,1,b1,c2,false,4014,2,0,rv,3
6195,14,0,1,k,k,true,6445,2,0,rv,1
