@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
4831,22,1,1,c2,b2,false,7424,2,2,rv,2
5756,10,0,1,k,k,false,5777,3,0,rv,1
2901,24,2,0,k,k,true,2905,2,2,rv,2
4349,34,2,1,c2,b1,true,7250,2,2,rv,3
2998,14,0,2,c2,b1,true,4415,2,2,rv,2
3074,51,0,3,c2,b1,false,5826,2,0,rv,3
3767,18,0,2,c2,b2,false,3816,2,0,rv,2
7239,6,0,1,c2,b1,true,7315,2,2,rv,1
3040,4,0,0,k,k,true,3047,2,2,rv,0
5970,28,1,1,k,k,false,6011,2,2,rv,2
6211,84,2,1,k,k,false,7199,3,2,rv,3
4261,4,0,0,k,k,true,4267,3,2,rv,0
2514,10,0,1,k,k,false,3436,2,0,rv,1
204,53,1,2,c2,b1,true,1825,2,0,rv,3
3937,30,2,1,b1,k,false,7209,2,2,rv,3
5100,26,0,2,c2,b2,false,5134,3,2,rv,2
5316,12,1,0,k,k,true,6436,2,2,rv,1
5153,12,1,0,k,k,true,7330,3,2,rv,1
2216,6,0,1,c2,b1,true,2236,2,0,rv,1
4013,94,0,4,c2,b1,false,6526,2,0,rv,4
6352,6,0,1,c2,b1,true,6486,3,2,rv,1
4453,45,0,3,c2,b1,true,6619,3,2,rv,3
4308,6,0,1,c2,b1,true,7022,2,3,rv,1
4391,12,0,1,k,k,true,7399,3,2,rv,1
3381,42,1,1,k,k,true,3431,3,2,rv,2
4867,44,0,2,k,k,true,6280,2,0,rv,2
3490,56,0,3,c2,b1,false,6614,3,3,rv,3
2559,14,1,1,c2,b1,true,3485,2,0,rv,2
6687,10,1,1,b1,k,false,7073,3,2,rv,2
3909,94,1,2,k,k,true,7183,3,3,rv,3
6230,12,1,0,k,k,true,6252,2,0,rv,1
6142,4,0,0,k,k,false,7405,2,3,rv,0
3823,36,0,2,k,k,true,6769,2,2,rv,2
6805,10,0,1,k,k,false,6862,2,3,rv,1
3672,78,1,2,k,b2,false,6875,2,2,rv,3
5994,72,1,2,k,k,true,7379,2,3,rv,3
6252,8,1,0,k,k,true,6541,2,2,rv,1
4706,88,2,1,k,k,true,7199,2,2,rv,3
6075,26,0,2,k,k,false,7382,3,2,rv,2
3830,6,0,1,c2,b1,true,3837,3,2,rv,1
3346,29,2,1,c2,b1,true,6277,2,0,rv,3
6827,6,0,1,c2,b1,true,6861,3,2,rv,1
2570,12,0,1,k,k,false,5555,2,0,rv,1
5098,28,1,1,k,c2,false,6617,2,2,rv,2
5372,14,0,1,k,k,true,6989,2,3,rv,1
2888,24,3,0,b2,k,true,5467,2,3,rv,3
4749,72,3,0,k,k,true,4752,2,2,rv,3
5528,28,2,1,b2,k,false,6932,3,0,rv,3
6087,6,0,1,c2,b1,true,7190,2,2,rv,1
1602,4,0,0,k,k,false,1602,2,5,rv,0
2985,24,2,0,k,k,true,5668,2,2,rv,2
2517,14,0,1,k,k,false,4480,2,2,rv,1
3800,22,1,1,c2,b2,false,3956,2,2,rv,2
1609,10,0,1,k,k,true,6552,3,2,rv,1
4591,16,2,0,k,k,true,7348,3,3,rv,2
5581,4,0,0,k,k,true,5585,2,2,rv,0
3874,10,0,1,k,k,false,3952,2,2,rv,1
6504,4,0,0,k,k,false,6516,2,2,rv,0
2947,29,2,1,c2,b1,true,4829,2,0,rv,3
918,14,1,1,c2,b1,true,6223,4,0,rv,2
4885,4,0,0,k,k,false,6504,2,2,rv,0
5582,16,2,0,k,c2,false,5601,3,0,rv,2
4263,144,2,2,k,k,false,7123,2,0,rv,4
2538,344,3,3,b3,c2,false,6633,2,0,rv,6
1600,48,4,0,b1,k,true,6197,3,0,rv,4
5979,84,2,1,k,c2,false,6441,2,0,rv,3
3073,14,1,1,c2,b1,true,4469,2,0,rv,2
6297,14,0,1,k,k,false,6664,2,3,rv,1
6245,12,1,1,b2,k,false,6646,3,3,rv,2
6188,6,0,1,c2,b1,true,6252,3,0,rv,1
1603,10,1,1,b2,k,false,5040,2,2,rv,2
2559,34,0,2,k,k,false,6596,2,0,rv,2
5320,8,2,0,b1,k,true,6455,3,0,rv,2
4431,64,2,1,k,k,true,6635,2,3,rv,3
1602,70,0,3,k,b2,false,6350,3,4,rv,3
2842,22,1,1,k,k,true,4014,2,0,rv,2
1608,6,0,1,c2,b1,true,7444,2,4,rv,1
6358,10,0,1,k,k,false,6445,2,0,rv,1
3767,4,0,0,k,k,true,6198,2,0,rv,0
2104,14,1,1,c2,b1,true,5021,2,2,rv,2
5449,16,2,0,k,k,true,7291,2,2,rv,2
3052,68,2,2,c2,b1,false,4525,2,2,rv,4
3391,14,2,1,b2,b1,true,6396,2,0,rv,3
3833,132,2,1,k,k,true,6792,3,2,rv,3
4970,24,2,0,k,k,true,4973,2,2,rv,2
6749,14,0,1,k,k,false,7169,3,2,rv,1
6389,6,0,1,c2,b1,true,6571,3,2,rv,1
2634,148,2,3,b3,b1,true,6747,2,2,rv,5
3866,24,1,1,k,k,true,3946,2,0,rv,2
4279,24,0,2,k,k,false,4385,2,2,rv,2
2967,6,0,1,c2,b1,true,2978,2,2,rv,1
7097,6,0,1,c2,b1,true,7173,3,2,rv,1
4526,36,2,0,k,k,true,7008,3,4,rv,2
7008,14,0,1,k,k,false,7287,2,3,rv,1
3516,24,3,0,b1,c2,false,6663,3,2,rv,3
1602,603,1,5,c1,b3,false,7091,2,4,rv,6
2776,66,0,3,k,b2,false,3958,3,0,rv,3
952,19,0,2,c2,b1,true,4295,4,0,rv,2
2468,36,0,2,k,k,true,3335,2,0,rv,2
2996,38,0,2,k,k,true,4413,3,2,rv,2
2636,8,1,0,k,k,false,2640,2,0,rv,1
2911,36,1,1,k,k,true,5885,3,2,rv,2
2649,43,1,2,c2,b1,true,4741,2,0,rv,3
6350,12,1,0,k,k,true,6350,2,4,rv,1
3051,7,0,1,c2,b2,false,6556,3,3,rv,1
6889,4,0,0,k,k,true,6936,3,2,rv,0
5088,12,2,0,b1,k,false,6284,2,2,rv,2
6721,72,4,0,b2,k,true,6976,4,3,rv,4
2557,12,1,0,k,k,true,3420,3,2,rv,1
3354,32,0,2,k,k,false,3499,2,0,rv,2
3348,122,1,2,k,b2,false,6287,2,0,rv,3
1601,635,1,5,c1,b3,false,3687,2,2,rv,6
6743,8,1,0,k,k,true,6944,2,2,rv,1
4922,10,1,1,b1,b2,false,6922,2,2,rv,2
2529,34,0,2,k,k,false,4700,2,2,rv,2
6203,36,2,0,k,k,true,6311,2,0,rv,2
2932,36,2,1,b2,k,true,4314,2,3,rv,3
1608,14,1,1,c2,b1,true,7442,3,2,rv,2
4894,53,1,2,c2,b1,true,5039,2,2,rv,3
6242,6,0,1,c2,b1,true,6244,3,0,rv,1
1602,36,3,0,b2,k,true,1604,3,5,rv,3
276,60,2,2,b3,c2,false,3727,2,0,rv,4
3822,4,0,0,k,k,false,3839,3,2,rv,0
2470,85,0,4,c2,b1,false,3348,3,0,rv,4
3785,16,3,0,b1,k,true,6558,2,3,rv,3
4498,36,2,1,b1,k,false,7349,3,3,rv,3
6884,36,2,0,k,k,true,6948,3,2,rv,2
5910,6,0,1,c2,b1,true,5925,3,2,rv,1
4652,6,0,1,c2,b1,true,6329,3,2,rv,1
4564,24,2,0,k,k,true,4640,2,0,rv,2
