@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2802,56,1,2,k,k,true,5646,2,0,rv,3
3097,16,1,1,k,b1,false,4783,2,2,rv,2
5317,36,1,1,k,k,true,7122,2,0,rv,2
5780,72,2,1,k,c2,false,5932,2,2,rv,3
2633,72,3,0,k,k,true,3575,2,0,rv,3
1604,72,0,3,k,b2,false,7097,2,2,rv,3
2831,12,0,2,c2,b1,false,6357,2,3,rv,2
2534,652,2,4,c1,b3,false,6217,2,0,rv,6
2085,24,1,2,b1,b2,false,5050,3,2,rv,3
2083,24,3,0,b2,k,true,4928,2,2,rv,3
2589,24,0,2,c2,b2,false,3504,2,0,rv,2
2836,20,1,1,c2,b2,true,4136,2,2,rv,2
2627,8,0,1,k,k,true,4292,2,0,rv,1
3220,12,0,1,k,k,false,3225,2,2,rv,1
6195,4,0,0,k,k,false,6322,2,0,rv,0
3573,72,3,0,k,c2,false,6318,2,2,rv,3
5476,24,2,0,k,k,true,7383,2,2,rv,2
2667,16,1,1,c2,b2,true,3631,3,2,rv,2
2722,56,1,2,k,b2,false,3898,2,2,rv,3
5317,8,0,1,c2,b2,false,6450,3,3,rv,1
6883,418,1,2,c1,b3,true,7422,2,2,fp,3
4207,24,0,3,c2,b1,false,6470,3,4,rv,3
6231,4,0,0,k,k,false,6809,2,2,rv,0
3875,108,2,2,c2,b1,true,7055,3,2,rv,4
6940,4,0,0,k,k,false,6942,2,3,rv,0
6470,12,0,1,k,k,false,6566,2,2,rv,1
4436,24,1,1,k,c2,false,6364,3,2,rv,2
5362,4,0,0,k,k,true,5366,2,2,rv,0
2690,8,1,0,k,k,true,3673,2,0,rv,1
5471,4,0,0,k,k,false,7362,3,2,rv,0
193,568,3,3,c1,b3,true,3784,2,2,tn,6
1603,36,1,3,b2,b1,false,5003,2,2,rv,4
6714,12,1,1,b1,k,false,7096,3,3,rv,2
5370,4,0,0,k,k,false,5448,2,2,rv,0
2291,72,1,3,c2,b1,true,5644,3,2,rv,4
3876,24,2,1,b1,c2,false,3978,3,2,rv,3
3796,36,0,3,c2,b1,true,6431,2,0,rv,3
1605,498,2,3,c1,b3,true,4836,2,2,rv,5
5326,8,1,0,k,k,false,6500,3,2,rv,1
3260,84,2,2,k,b2,false,6288,3,2,rv,4
2790,36,2,1,c2,b1,true,3913,3,0,rv,3
6768,4,0,0,k,k,false,6774,2,2,rv,0
2879,360,2,3,c1,b2,false,2879,2,0,rv,5
2028,24,0,2,c2,b2,false,4754,3,3,rv,2
3253,112,2,2,c2,b2,false,7349,3,3,rv,4
4349,36,2,1,c2,b1,true,7241,2,2,rv,3
4811,8,1,0,k,k,true,4837,2,2,rv,1
3382,168,2,2,k,k,true,6418,3,2,rv,4
2755,4,0,0,k,k,false,4759,3,0,rv,0
4868,72,3,0,k,k,true,4954,2,2,rv,3
6954,4,0,0,k,k,false,6960,3,2,rv,0
1607,12,1,1,b2,b2,false,1607,3,5,rv,2
6251,18,1,1,c2,b1,false,6862,2,3,rv,2
2810,24,3,0,b2,k,true,6758,3,2,rv,3
4225,8,0,1,c2,b2,true,4249,3,0,rv,1
7113,12,1,0,k,k,true,7187,3,2,rv,1
2292,24,2,0,k,c2,false,7125,4,0,rv,2
3557,108,3,0,k,k,true,6260,2,2,rv,3
4216,508,1,4,c1,b3,false,6484,3,2,tn,5
174,24,2,1,b2,c2,false,3417,2,0,rv,3
4058,8,0,1,k,k,false,4177,3,0,rv,1
6399,8,0,1,c2,b2,true,7135,2,0,rv,1
5981,8,0,1,k,k,true,6464,3,0,rv,1
2502,72,3,1,b1,c2,false,4255,2,2,rv,4
3556,18,0,2,c2,b1,false,3653,2,2,rv,2
2780,12,1,0,k,k,true,5203,3,2,rv,1
1604,24,2,1,b2,k,true,7116,2,2,rv,3
5143,12,1,0,k,c2,false,6753,3,2,rv,1
4050,4,0,0,k,k,true,4162,2,0,rv,0
1809,108,2,2,c2,b1,true,3996,2,3,rv,4
4088,108,1,3,c2,b1,true,7256,4,2,rv,4
3228,24,0,2,k,k,true,5183,3,2,rv,2
3326,48,3,0,k,k,true,3382,3,2,rv,3
2952,24,2,0,k,k,true,4240,3,2,rv,2
5209,16,1,1,c2,b2,true,7215,2,3,rv,2
4939,48,1,2,c2,b2,true,7376,2,4,rv,3
2858,196,2,3,k,b2,false,7314,2,2,rv,5
5759,4,0,0,k,k,false,7193,2,2,rv,0
5756,8,0,1,c2,b2,false,5772,2,2,rv,1
4436,4,0,0,k,k,false,6518,2,2,rv,0
6435,72,0,3,k,b2,false,7204,2,3,rv,3
1874,56,3,1,b2,k,true,4218,2,0,rv,4
6778,8,1,0,k,k,false,7204,3,3,rv,1
3586,4,1,0,b2,k,false,3758,4,2,rv,1
3265,56,1,2,k,b2,false,3265,2,2,rv,3
6802,4,0,0,k,k,false,6902,2,2,rv,0
921,112,3,1,k,k,true,2788,3,2,rv,4
6499,72,2,1,k,k,false,7286,2,2,rv,3
356,72,3,1,b3,k,true,6767,4,2,rv,4
5529,12,1,0,k,k,true,6641,2,3,rv,1
697,16,2,1,b2,c2,false,6560,4,2,rv,3
3261,16,0,2,k,k,true,5615,3,0,rv,2
6190,36,1,1,k,k,true,6711,2,3,rv,2
6576,4,0,0,k,k,true,6607,4,2,rv,0
349,252,3,3,b3,b1,true,3520,3,2,rv,6
3066,8,1,0,k,k,false,4636,2,3,rv,1
180,12,2,0,b1,k,true,2600,3,0,rv,2
2714,24,3,0,b2,k,true,6056,2,2,rv,3
1127,18,1,1,k,k,false,6916,4,0,rv,2
2607,36,0,2,k,k,true,3861,3,2,rv,2
4526,12,1,1,b1,k,false,7100,2,2,rv,2
6388,72,3,0,k,k,true,6605,2,2,rv,3
5857,24,1,1,k,k,true,5877,2,2,rv,2
2578,168,1,3,k,b2,false,5755,2,2,rv,4
4562,8,0,1,k,k,false,7220,2,4,rv,1
4045,4,0,0,k,k,false,4113,3,2,rv,0
2699,4,0,0,k,k,false,3593,2,0,rv,0
6268,24,1,1,k,k,true,6965,2,2,rv,2
2976,112,3,1,k,c2,false,5425,2,0,rv,4
237,4,1,0,b2,k,true,3077,3,2,rv,1
194,24,1,2,b2,k,false,2739,2,0,rv,3
4921,36,1,1,k,k,false,4969,2,2,rv,2
3354,24,0,2,k,k,true,3509,2,0,rv,2
