@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
6240,4,0,0,k,k,true,6510,2,0,rv,0
5526,144,1,3,k,b1,false,5646,2,0,rv,4
6693,4,0,0,k,k,true,7077,2,2,rv,0
3074,48,2,1,k,b1,false,5827,3,0,rv,3
4746,36,2,0,k,k,true,4783,2,2,rv,2
5476,24,1,2,b1,k,true,5488,2,3,rv,3
3298,36,2,1,c2,b1,true,5932,2,2,rv,3
186,130,3,1,k,c2,false,3575,2,0,rv,4
6715,108,2,1,k,k,true,7097,2,2,rv,3
6350,24,2,0,k,k,true,6357,2,3,rv,2
2600,260,3,3,b3,b2,true,6217,2,0,rv,6
2518,16,3,0,b1,k,true,3504,2,0,rv,3
3221,12,1,0,k,k,true,3225,2,2,rv,1
2594,36,1,1,k,k,true,2594,3,0,rv,2
2468,96,0,4,c2,b2,true,3333,3,0,rv,4
3747,24,3,0,b1,c2,false,3755,3,2,rv,3
1605,56,3,1,b3,k,true,6295,3,2,rv,4
1058,4,1,0,b2,k,false,3631,3,2,rv,1
5977,8,0,1,k,k,false,6464,4,0,rv,1
4272,28,2,1,b1,b2,false,6924,2,0,rv,3
2724,72,0,3,c2,b2,true,3898,2,2,rv,3
1606,4,1,0,b2,k,false,7446,3,4,rv,1
452,4,0,0,k,k,false,6340,4,3,rv,0
2493,336,4,2,b3,k,true,6508,2,0,rv,6
4528,16,2,0,k,k,true,4551,2,0,rv,2
2844,24,2,1,b2,c2,false,7055,3,2,rv,3
6294,4,0,0,k,k,true,6942,2,3,rv,0
5097,4,0,0,k,k,true,6566,2,2,rv,0
3382,54,1,2,k,k,true,6364,3,2,rv,3
3228,4,0,0,k,k,true,5162,2,0,rv,0
6732,12,0,1,k,k,false,6936,2,2,rv,1
2952,144,1,3,k,k,true,5003,2,2,rv,4
191,240,3,3,b3,b2,false,3784,2,2,tn,6
2835,72,2,1,k,k,true,5003,2,2,rv,3
6386,108,1,3,c2,b1,true,7096,3,3,rv,4
5370,4,0,0,k,k,true,5448,2,2,rv,0
2800,168,2,3,c2,b1,false,5644,3,2,rv,5
7217,36,2,0,k,k,false,7351,2,3,rv,2
3469,4,0,0,k,k,true,3529,2,2,rv,0
2734,36,1,1,k,k,false,3913,3,0,rv,2
2919,12,0,1,k,k,false,4049,3,3,rv,1
4702,4,0,0,k,k,true,4754,3,3,rv,0
3151,12,0,1,k,k,true,6047,3,0,rv,1
3223,4,0,0,k,k,false,3225,3,2,rv,0
3435,16,2,1,b1,c2,false,6506,3,0,rv,3
4270,24,1,1,k,c2,false,6804,2,3,rv,2
3007,16,0,2,k,b1,false,3015,2,0,rv,2
3283,12,1,0,k,k,true,5377,3,0,rv,1
3546,36,1,2,k,b2,false,6188,2,0,rv,3
4307,12,1,0,k,k,true,4398,2,0,rv,1
1707,48,0,3,k,k,true,3689,2,2,rv,3
2660,36,1,2,b1,k,false,4954,2,2,rv,3
1606,32,1,2,c2,b2,true,1607,3,5,rv,3
1601,16,2,1,b2,k,true,4922,2,2,rv,3
3205,72,0,3,k,b1,false,5988,3,0,rv,3
2788,72,0,3,c2,b2,false,6758,3,2,rv,3
6195,72,2,1,k,k,true,7125,4,0,rv,3
3207,24,1,1,k,k,true,6087,2,2,rv,2
5536,24,1,1,k,k,true,7022,3,3,rv,2
2491,24,1,1,c2,b2,true,3417,2,0,rv,2
6728,12,0,1,k,k,false,7135,2,0,rv,1
4207,162,1,3,c2,b1,true,4255,2,2,rv,4
2689,72,2,1,k,b2,false,2697,3,2,rv,3
6686,48,2,2,b1,c2,false,6850,3,2,rv,4
3304,4,0,0,k,k,true,3306,3,0,rv,0
4484,12,0,1,k,k,false,6749,2,2,rv,1
4647,4,0,0,k,k,true,6519,2,3,rv,0
2633,108,0,3,k,b2,false,3602,3,3,rv,3
2733,36,0,3,c2,b1,true,2742,3,0,rv,3
4484,12,1,0,k,k,true,6959,3,0,rv,1
1605,24,0,2,k,b1,false,1605,3,5,rv,2
5088,72,2,1,k,k,false,5183,3,2,rv,3
6076,12,0,1,k,k,true,7400,3,2,rv,1
6359,12,1,0,k,k,false,6359,2,2,rv,1
3142,302,4,2,b3,k,true,7314,2,2,tn,6
7015,36,2,0,k,k,true,7193,2,2,rv,2
5847,72,4,0,b2,c2,false,7059,2,2,rv,4
5986,4,0,0,k,k,true,6518,2,2,rv,0
4966,12,1,0,k,k,true,4986,3,0,rv,1
5818,12,0,1,k,k,false,6948,3,2,rv,1
3603,72,2,1,k,c2,false,6771,2,2,rv,3
5966,4,0,0,k,k,false,6022,2,2,rv,0
2787,24,1,1,k,c2,false,2788,3,2,rv,2
6498,24,0,2,k,k,true,7286,2,2,rv,2
4757,4,0,0,k,k,false,7394,2,2,rv,0
6837,4,0,0,k,k,true,6966,3,2,rv,0
918,216,2,3,b3,k,false,6767,4,2,rv,5
2008,72,4,0,b1,k,true,4795,2,3,rv,4
1604,108,3,1,c2,b1,true,6560,4,2,rv,4
1609,4,0,0,k,k,false,1609,4,4,rv,0
6389,4,0,0,k,k,true,6410,2,0,rv,0
1624,472,3,2,c1,b3,false,3520,3,2,rv,5
4720,8,0,1,k,k,true,6916,4,0,rv,1
5556,4,0,0,k,k,false,6605,2,2,rv,0
1600,12,1,0,k,k,false,6353,2,3,rv,1
2603,12,2,0,b2,c2,false,3625,3,2,rv,2
2699,168,3,1,k,k,true,5755,2,2,rv,4
4437,24,1,1,k,c2,false,4461,2,2,rv,2
1467,48,1,2,k,b1,false,7253,3,2,rv,3
2479,4,0,0,k,k,false,3335,2,0,rv,0
2296,36,0,2,k,b2,false,5742,2,4,rv,2
4941,12,1,0,k,k,false,6936,2,2,rv,1
2622,4,0,0,k,k,true,3593,2,0,rv,0
6194,4,0,0,k,k,true,6207,2,0,rv,0
6699,72,2,1,k,k,true,6871,2,2,rv,3
3336,12,0,1,k,k,false,3431,3,2,rv,1
3073,60,1,2,c2,b2,false,3077,3,2,rv,3
1607,12,1,0,k,c2,false,1607,3,5,rv,1
4966,12,0,1,k,k,true,4969,2,2,rv,1
2482,216,4,1,b1,c2,false,6423,2,0,rv,5
3400,72,2,1,k,k,false,3509,2,0,rv,3
3655,112,1,3,c2,b2,true,6863,2,2,rv,4
3988,592,3,3,c1,b3,false,6500,3,2,rv,6
3603,36,2,0,k,k,true,3608,2,3,rv,2
4726,36,1,1,k,k,true,4838,2,2,rv,2
5407,24,0,2,k,k,true,7180,2,2,rv,2
2823,144,1,3,k,k,true,6097,2,0,rv,4
194,168,4,1,b3,k,true,3927,2,2,rv,5
2655,12,0,1,k,k,false,4874,2,0,rv,1
2793,8,0,1,c2,b2,false,3969,2,2,rv,1
3327,4,0,0,k,k,true,3332,2,0,rv,0
1876,8,1,1,b2,b2,true,4228,2,2,rv,2
2567,36,1,1,k,k,false,5587,2,2,rv,2
4044,28,1,1,k,c2,false,6702,2,3,rv,2
6025,8,0,1,c2,b2,false,6995,2,3,rv,1
3306,144,1,3,k,k,true,6143,2,0,rv,4
2699,36,1,1,k,k,false,3687,2,2,rv,2
3053,48,2,1,c2,b2,true,5422,3,0,rv,3
3141,24,0,2,k,k,true,4770,2,2,rv,2
6136,4,0,0,k,k,true,7401,2,2,rv,0
3618,16,0,2,k,b1,false,3720,2,0,rv,2
223,42,2,1,k,k,false,4381,2,2,rv,3
2931,4,1,0,b2,k,true,4502,2,2,rv,1
1631,16,2,1,b2,c2,false,3430,2,2,rv,3
1608,24,3,0,b2,k,true,7216,2,4,rv,3
4216,36,0,3,c2,b1,true,6393,2,2,rv,3
6472,4,0,0,k,k,true,7229,3,3,rv,0
5165,12,1,0,k,k,true,7422,2,2,rv,1
3601,72,2,1,k,c2,false,6700,2,3,rv,3
5004,24,1,1,k,k,true,5005,2,2,rv,2
6215,24,3,0,b1,c2,false,6793,3,2,rv,3
