@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5527,4,0,0,k,k,false,6510,2,0,rv,0
2802,144,3,1,k,k,true,5646,2,0,rv,4
5976,4,0,0,k,k,false,7077,2,2,rv,0
5749,48,1,2,k,k,true,5827,3,0,rv,3
3097,36,0,2,k,k,false,4783,2,2,rv,2
5336,36,2,1,c2,b1,false,5488,2,3,rv,3
5780,24,1,2,b1,k,false,5932,2,2,rv,3
2633,130,1,3,k,k,true,3575,2,0,rv,4
1604,108,1,2,k,b2,false,7097,2,2,rv,3
2831,24,0,2,k,k,false,6357,2,3,rv,2
2534,595,3,3,c1,b3,false,6217,2,0,rv,6
2589,24,0,3,c2,b1,false,3504,2,0,rv,3
3220,12,0,1,k,k,false,3225,2,2,rv,1
2591,36,1,1,k,k,false,2594,3,0,rv,2
1610,48,4,0,b2,c2,false,3333,3,0,rv,4
3580,36,0,3,c2,b1,true,3755,3,2,rv,3
968,428,1,3,c1,b3,false,6295,3,2,rv,4
2667,8,0,1,c2,b2,true,3631,3,2,rv,1
6441,8,1,0,k,k,true,6464,4,0,rv,1
3683,42,1,2,c2,b1,true,6924,2,0,rv,3
2722,36,3,0,b2,c2,false,3898,2,2,rv,3
1606,8,0,1,c2,b2,true,7446,3,4,rv,1
5312,4,0,0,k,k,true,6340,4,3,rv,0
4427,568,2,4,c1,b3,false,6508,2,0,rv,6
3030,16,0,2,k,b1,false,4551,2,0,rv,2
3875,48,1,2,c2,b2,true,7055,3,2,rv,3
6940,4,0,0,k,k,false,6942,2,3,rv,0
6470,4,0,0,k,k,false,6566,2,2,rv,0
4436,54,2,1,k,c2,false,6364,3,2,rv,3
2138,4,0,0,k,k,false,5162,2,0,rv,0
3650,12,1,0,k,k,true,6936,2,2,rv,1
4885,144,3,1,k,c2,false,5003,2,2,rv,4
193,568,3,3,c1,b3,true,3784,2,2,tn,6
1603,72,1,2,k,k,false,5003,2,2,rv,3
6714,72,3,1,b1,k,false,7096,3,3,rv,4
5370,4,0,0,k,k,false,5448,2,2,rv,0
2291,112,3,2,b1,k,true,5644,3,2,rv,5
4754,36,0,2,k,k,true,7351,2,3,rv,2
3527,4,0,0,k,k,false,3529,2,2,rv,0
2790,36,1,1,k,k,true,3913,3,0,rv,2
4041,12,1,0,k,k,true,4049,3,3,rv,1
2028,4,0,0,k,k,false,4754,3,3,rv,0
2415,12,1,0,k,c2,false,6047,3,0,rv,1
3218,4,0,0,k,k,true,3225,3,2,rv,0
3997,24,1,2,c2,b1,true,6506,3,0,rv,3
4490,24,1,1,k,k,true,6804,2,3,rv,2
3013,16,2,0,k,k,true,3015,2,0,rv,2
2887,12,0,1,k,b2,false,5377,3,0,rv,1
1808,36,2,1,k,k,true,6188,2,0,rv,3
4286,12,0,1,k,k,false,4398,2,0,rv,1
3611,48,3,0,k,c2,false,3689,2,2,rv,3
4868,54,2,1,c2,b1,true,4954,2,2,rv,3
1607,16,2,1,b2,b1,false,1607,3,5,rv,3
2953,32,1,2,c2,b2,false,4922,2,2,rv,3
2591,72,3,0,k,k,true,5988,3,0,rv,3
2810,36,3,0,b2,k,true,6758,3,2,rv,3
2292,72,1,2,k,k,false,7125,4,0,rv,3
5979,24,1,1,k,c2,false,6087,2,2,rv,2
