@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
2580,84,1,2,k,k,true,3440,3,0,rv,3
2569,458,4,1,k,k,true,5566,3,2,rv,5
2733,36,1,2,b1,k,false,4261,3,4,rv,3
3441,10,2,0,b1,c2,false,6520,3,2,rv,2
676,48,1,3,b1,b1,false,7076,4,2,rv,4
2480,90,1,3,c2,b1,false,3781,2,2,rv,4
4060,48,0,3,c2,b2,false,6838,3,0,rv,3
2897,15,1,1,c2,b1,true,6535,3,2,rv,2
5409,24,0,2,k,k,true,7076,2,2,rv,2
3915,166,2,2,k,k,true,7398,3,3,rv,4
5151,12,0,1,k,b2,false,6838,2,0,rv,1
1535,36,0,3,c2,b1,true,7404,4,2,rv,3
2633,168,1,3,k,k,true,6207,2,0,rv,4
4042,40,2,0,k,k,false,6700,3,3,rv,2
5097,24,1,2,b1,k,false,7140,2,2,rv,3
3328,28,1,1,k,k,true,3400,2,0,rv,2
5325,135,3,2,b2,b1,true,5473,3,2,rv,5
4208,24,0,2,k,k,false,6283,2,0,rv,2
5900,4,1,0,b1,k,false,7335,2,2,rv,1
3603,84,1,3,c2,b1,true,6696,3,3,rv,4
4900,20,1,1,c2,b2,true,7414,2,3,rv,2
6067,8,0,1,k,k,false,7052,2,2,rv,1
6266,42,1,1,k,b2,false,6588,2,0,rv,2
2589,40,1,2,c2,b2,true,6226,3,0,rv,3
2759,48,0,3,c2,b2,false,4770,2,2,rv,3
4921,4,1,0,b1,k,false,6814,3,2,rv,1
4207,156,2,2,k,k,true,6491,3,2,rv,4
2656,28,1,1,k,c2,false,4929,3,2,rv,2
5526,28,1,1,c2,b2,true,5627,2,2,rv,2
2877,44,2,1,b1,k,false,4110,2,2,rv,3
5316,24,2,0,k,k,true,6408,2,2,rv,2
6068,4,0,0,k,k,false,7070,3,2,rv,0
3266,24,0,2,k,b1,false,5733,3,3,rv,2
5801,72,2,2,b2,b2,false,5906,2,2,rv,4
2018,4,1,0,b1,k,false,4715,2,0,rv,1
3607,4,1,0,b1,k,false,3680,2,0,rv,1
6350,4,0,0,k,k,true,6387,2,2,rv,0
5711,12,1,1,b2,b2,false,7414,3,3,rv,2
1601,28,3,0,b1,k,true,6807,2,2,rv,3
6190,4,0,0,k,k,true,6380,2,2,rv,0
2204,4,1,0,b1,k,false,5332,3,0,rv,1
2613,92,3,0,k,k,true,3650,2,2,rv,3
3887,36,2,0,k,k,true,7073,2,2,rv,2
3656,4,1,0,b1,k,false,6838,3,0,rv,1
2999,8,0,1,k,k,true,3000,2,2,rv,1
3194,30,1,2,c2,b1,true,5862,2,0,rv,3
5628,4,1,0,b1,k,false,7189,2,2,rv,1
6002,4,0,0,k,k,true,6644,2,3,rv,0
6202,4,1,0,b1,k,false,6304,2,0,rv,1
2622,24,0,2,c2,b2,false,3570,2,0,rv,2
6386,4,1,0,b2,k,true,7094,3,3,rv,1
4656,264,1,3,k,b1,false,4775,2,0,rv,4
6687,36,1,1,k,k,false,6960,3,2,rv,2
6388,12,0,1,k,k,false,7105,2,2,rv,1
