@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5526,12,0,1,k,b2,false,5529,2,0,rv,1
278,22,2,1,b1,k,false,2887,2,0,rv,3
6230,96,3,0,k,k,true,6230,2,3,rv,3
2567,214,3,2,b1,k,false,5566,3,2,rv,5
2471,24,1,2,b1,k,false,3578,2,0,rv,3
3434,20,2,1,b2,k,true,6520,3,2,rv,3
5781,4,1,0,b1,k,false,6630,2,0,rv,1
3206,38,2,0,k,c2,false,4925,2,2,rv,2
3777,64,2,1,k,k,true,3939,2,0,rv,3
5765,42,1,2,c2,b1,false,5904,2,2,rv,3
3282,32,1,1,k,k,false,5349,3,0,rv,2
2512,4,1,0,b1,k,false,3337,2,0,rv,1
2635,12,0,2,c2,b1,true,6838,3,0,rv,2
5087,4,1,0,b1,k,false,6519,3,3,rv,1
5141,8,0,1,c2,b2,true,6778,2,3,rv,1
6305,4,1,0,b2,k,true,6341,3,2,rv,1
1640,132,1,2,k,b2,false,6558,3,3,rv,3
4308,44,2,0,k,k,false,7076,2,2,rv,2
5115,72,1,2,k,b1,false,7398,3,3,rv,3
4866,36,1,2,c2,b1,false,4926,2,2,rv,3
6186,20,2,1,b2,k,true,6700,3,3,rv,3
6186,12,0,1,k,k,false,6206,2,0,rv,1
6479,36,1,2,c2,b1,false,7394,2,2,rv,3
5196,38,3,0,b1,k,true,7140,2,2,rv,3
3327,24,0,2,k,b1,false,3400,2,0,rv,2
3052,108,2,1,k,c2,false,5473,3,2,rv,3
6045,24,1,2,b1,k,false,6158,2,0,rv,3
2601,617,4,2,c1,b3,false,6696,3,3,rv,6
1605,4,1,0,b1,k,false,7414,2,3,rv,1
2138,12,0,1,k,k,false,5138,2,2,rv,1
4041,8,0,1,c2,b2,true,6682,3,4,rv,1
3332,64,1,2,c2,b2,false,6226,3,0,rv,3
2027,82,4,0,b1,k,true,4770,2,2,rv,4
4647,44,1,1,k,k,false,6252,2,0,rv,2
