@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,4,0,0,k,k,false,1,2,0,fp,0
f,7,0,1,k,b2,false,1,2,0,fp,1
b1,4,1,0,k,k,true,1,2,0,fp,1
k,8,1,0,b1,k,true,2,2,0,tn,1
b2,8,2,0,k,k,true,3,3,0,rv,2
b1,36,2,1,b2,c2,false,2,1,0,fp,3
k,4,0,0,k,k,true,2,2,0,fp,0
b2,4,1,0,k,k,true,2,2,0,tn,1
k,12,1,0,b2,k,true,2,2,0,rv,1
b1,4,1,0,k,k,true,1,2,0,fp,1
b1,4,1,0,k,k,false,2,1,2,fp,1
b1,8,2,0,b1,c2,false,2,2,2,tn,2
b2,16,3,0,b1,c2,false,2,2,2,rv,3
c,17,1,1,b2,b1,true,1,1,0,fp,2
k,22,1,1,c2,k,true,2,2,0,tn,2
c,26,1,2,k,b1,true,3,2,0,rv,3
k,14,0,1,c2,b2,false,0,2,0,fp,1
f,24,0,2,k,b2,false,0,2,0,fp,2
k,4,0,0,k,k,true,1,1,0,fp,0
f,7,0,1,k,b2,true,1,2,0,tn,1
k,14,0,1,c2,b2,false,0,2,2,fp,1
k,14,0,1,k,k,false,0,3,2,tn,1
b2,14,1,1,k,k,false,0,3,2,rv,2
b1,12,1,1,c2,k,true,0,2,0,fp,2
b1,24,2,1,b1,k,true,1,2,0,tn,3
b3,48,3,1,b1,k,true,1,2,0,rv,4
k,14,0,1,c2,b2,false,2,1,0,fp,1
c,24,0,2,k,b2,false,2,1,0,fp,2
k,34,0,2,c2,b2,false,3,2,3,tn,2
