@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
3337,84,2,1,k,k,false,3440,3,0,rv,3
2567,458,1,4,k,b2,false,5566,3,2,rv,5
1601,43,2,1,c2,b1,true,4261,3,4,rv,3
3434,14,0,2,c2,b1,true,6520,3,2,rv,2
3888,68,3,1,c2,b1,true,7076,4,2,rv,4
1743,60,3,1,b1,k,true,3781,2,2,rv,4
2635,24,3,0,b2,k,true,6838,3,0,rv,3
5087,10,1,1,b1,k,false,6535,3,2,rv,2
4308,24,2,0,k,k,false,7076,2,2,rv,2
5115,166,2,2,k,b2,false,7398,3,3,rv,4
6832,12,1,0,k,k,true,6838,2,0,rv,1
1519,24,3,0,b1,c2,false,7404,4,2,rv,3
2512,168,3,1,k,c2,false,6207,2,0,rv,4
6186,40,0,2,k,k,true,6700,3,3,rv,2
5196,29,2,1,c2,b1,true,7140,2,2,rv,3
3327,28,1,1,k,k,false,3400,2,0,rv,2
3052,314,2,3,c1,b2,false,5473,3,2,rv,5
6232,24,2,0,k,k,true,6283,2,0,rv,2
6520,6,0,1,c2,b1,true,7335,2,2,rv,1
2601,56,3,1,b1,c2,false,6696,3,3,rv,4
1605,10,1,1,b2,k,false,7414,2,3,rv,2
4526,8,1,0,k,k,true,7052,2,2,rv,1
6555,42,1,1,k,k,true,6588,2,0,rv,2
3332,20,2,1,b2,c2,false,6226,3,0,rv,3
2027,24,3,0,b2,k,true,4770,2,2,rv,3
4052,6,0,1,c2,b1,true,6814,3,2,rv,1
3427,156,2,2,k,k,false,6491,3,2,rv,4
2656,28,1,1,k,k,true,4929,3,2,rv,2
5626,14,1,1,b2,k,false,5627,2,2,rv,2
2865,53,1,2,c2,b1,true,4110,2,2,rv,3
4206,24,0,2,k,k,false,6408,2,2,rv,2
6686,4,0,0,k,k,true,7070,3,2,rv,0
3135,24,2,0,k,k,true,5733,3,3,rv,2
3076,193,2,2,c2,b2,true,5906,2,2,rv,4
3129,6,0,1,c2,b1,true,4715,2,0,rv,1
2712,6,0,1,c2,b1,true,3680,2,0,rv,1
4877,4,0,0,k,k,false,6387,2,2,rv,0
1605,22,1,1,c2,b2,true,7414,3,3,rv,2
6679,39,0,3,c2,b1,false,6807,2,2,rv,3
6361,4,0,0,k,k,false,6380,2,2,rv,0
3282,6,0,1,c2,b1,true,5332,3,0,rv,1
2613,92,0,3,k,b2,false,3650,2,2,rv,3
5096,36,0,2,k,k,false,7073,2,2,rv,2
5591,6,0,1,c2,b1,true,6838,3,0,rv,1
2997,8,1,0,k,k,false,3000,2,2,rv,1
5847,20,2,1,b1,c2,false,5862,2,0,rv,3
6393,6,0,1,c2,b1,true,7189,2,2,rv,1
1608,4,0,0,k,k,false,6644,2,3,rv,0
6238,6,0,1,c2,b1,true,6304,2,0,rv,1
3566,12,2,0,b2,k,true,3570,2,0,rv,2
4754,7,0,1,c2,b2,false,7094,3,3,rv,1
3020,264,3,1,k,k,true,4775,2,0,rv,4
4725,36,1,1,k,k,true,6960,3,2,rv,2
6074,12,1,0,k,k,true,7105,2,2,rv,1
4921,12,1,0,k,k,true,6689,2,3,rv,1
3295,6,0,1,c2,b1,true,5654,3,2,rv,1
5756,4,0,0,k,k,false,6406,2,0,rv,0
5626,50,1,2,k,k,true,7047,2,2,rv,3
7127,16,2,0,k,k,true,7396,2,4,rv,2
2953,665,1,5,c1,b3,false,4304,4,0,rv,6
3162,14,1,1,c2,b1,true,6938,2,4,rv,2
2656,55,1,2,c2,b2,false,4926,3,2,rv,3
3856,34,1,2,b1,k,false,7212,2,4,rv,3
4278,4,0,0,k,k,true,6882,2,4,rv,0
4756,44,1,1,k,k,true,7119,3,0,rv,2
3019,36,3,0,b2,k,true,6828,2,2,rv,3
6252,6,0,1,c2,b1,true,6539,2,0,rv,1
5370,42,1,1,k,k,false,5444,2,2,rv,2
2864,125,0,4,c2,b1,true,4156,3,2,rv,4
3054,24,2,0,k,k,true,5454,2,0,rv,2
4658,12,0,1,k,k,false,6613,2,3,rv,1
5361,14,0,1,k,k,true,6880,2,2,rv,1
2453,243,1,4,c2,b1,true,6173,3,2,rv,5
4491,14,1,1,c2,b1,true,6829,2,2,rv,2
3135,14,1,1,c2,b1,true,5732,2,0,rv,2
6498,24,3,0,b2,c2,false,6653,3,2,rv,3
6727,4,0,0,k,k,false,6727,2,2,rv,0
5746,28,1,1,k,k,false,5748,3,0,rv,2
2622,36,0,2,k,k,true,4210,3,0,rv,2
2997,4,1,0,b2,k,true,5802,2,2,rv,1
4233,28,2,1,b1,k,true,6563,2,2,rv,3
6202,22,1,1,c2,b2,false,6417,3,2,rv,2
7238,4,0,0,k,k,true,7403,2,2,rv,0
5546,6,0,1,c2,b1,true,6553,3,3,rv,1
2979,114,1,4,b2,b1,false,7382,2,2,rv,5
2883,20,2,1,b1,c2,false,2883,2,0,rv,3
3272,10,0,1,k,k,false,5940,2,2,rv,1
2744,14,1,1,c2,b1,true,3841,2,2,rv,2
5223,10,0,1,k,k,false,7237,2,3,rv,1
2820,8,1,0,k,k,true,3850,2,2,rv,1
5141,72,1,2,k,c2,false,6865,2,2,rv,3
6387,7,0,1,c2,b2,false,7108,2,2,rv,1
2751,6,0,1,c2,b1,true,2751,3,0,rv,1
4240,43,1,2,c2,b1,true,6575,2,3,rv,3
5316,24,0,2,k,k,false,6408,2,2,rv,2
4867,60,2,1,k,c2,false,5016,2,2,rv,3
3128,14,0,1,k,k,true,6664,2,3,rv,1
2821,29,2,1,c2,b1,true,3964,3,0,rv,3
4703,7,0,1,c2,b2,false,4765,3,2,rv,1
3173,12,1,0,k,k,true,6957,3,2,rv,1
3437,4,0,0,k,k,false,3440,2,0,rv,0
5854,72,3,0,k,k,true,5860,2,2,rv,3
4270,34,0,2,k,b2,false,4375,2,3,rv,2
6352,72,2,1,k,k,true,6402,3,0,rv,3
1578,24,1,1,k,k,true,7174,4,2,rv,2
3130,32,1,1,k,k,true,5635,2,0,rv,2
5647,6,0,1,c2,b1,true,7186,3,2,rv,1
3184,176,2,2,k,k,true,5614,2,2,rv,4
3777,42,0,3,c2,b1,true,6364,2,2,rv,3
1232,4,0,0,k,k,false,3391,3,0,rv,0
6687,4,0,0,k,k,false,6690,3,3,rv,0
3337,10,0,1,k,k,false,3371,2,2,rv,1
3300,6,0,1,c2,b1,true,7462,2,4,rv,1
3766,6,0,1,c2,b1,true,3778,2,2,rv,1
2600,6,0,1,c2,b1,true,3767,2,0,rv,1
2974,4,1,0,b2,k,false,6269,3,2,rv,1
5781,40,0,2,k,k,true,5938,3,2,rv,2
1266,92,2,2,b1,k,true,7408,4,2,rv,4
3011,4,0,0,k,k,false,4380,3,2,rv,0
2271,24,3,0,b2,k,true,5638,2,2,rv,3
3053,37,0,3,c2,b1,false,5421,2,2,rv,3
727,106,0,3,k,b2,false,6575,4,3,rv,3
1808,30,0,2,k,k,false,1827,2,0,rv,2
3434,52,2,1,k,b1,false,6505,3,0,rv,3
4657,4,0,0,k,k,true,4760,2,0,rv,0
6021,24,2,0,k,k,true,6084,2,0,rv,2
3041,24,2,0,k,k,true,4511,2,2,rv,2
4921,88,2,1,k,k,true,4999,2,2,rv,3
3546,152,2,2,k,b1,false,6188,3,0,rv,4
5553,12,1,0,k,k,true,5693,2,2,rv,1
1830,230,1,3,k,k,true,4105,2,2,rv,4
2941,14,1,1,c2,b1,true,2941,2,0,rv,2
