@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
5529,12,1,0,k,k,true,5529,2,0,rv,1
2618,26,1,2,c2,b1,true,2887,2,0,rv,3
3336,96,0,3,k,b2,false,6230,2,3,rv,3
2569,253,2,3,c2,b1,true,5566,3,2,rv,5
2699,29,2,1,c2,b1,true,3578,2,0,rv,3
3441,37,1,2,c2,b2,false,6520,3,2,rv,3
6560,6,0,1,c2,b1,true,6630,2,0,rv,1
4921,38,0,2,k,k,true,4925,2,2,rv,2
2765,64,1,2,k,k,false,3939,2,0,rv,3
2910,28,2,1,b1,k,true,5904,2,2,rv,3
5319,32,1,1,k,k,true,5349,3,0,rv,2
3326,6,0,1,c2,b1,true,3337,2,0,rv,1
4060,8,2,0,b1,k,false,6838,3,0,rv,2
4020,6,0,1,c2,b1,true,6519,3,3,rv,1
3851,4,1,0,b2,k,false,6778,2,3,rv,1
6315,7,0,1,c2,b2,false,6341,3,2,rv,1
4217,132,2,1,k,k,true,6558,3,3,rv,3
5409,44,0,2,k,k,true,7076,2,2,rv,2
3915,72,2,1,k,k,true,7398,3,3,rv,3
2656,24,2,1,b1,k,true,4926,2,2,rv,3
4042,37,1,2,c2,b2,false,6700,3,3,rv,3
6203,12,1,0,k,k,true,6206,2,0,rv,1
7346,24,2,1,b1,k,true,7394,2,2,rv,3
5097,54,0,3,c2,b1,false,7140,2,2,rv,3
3328,24,2,0,k,k,true,3400,2,0,rv,2
5325,108,1,2,k,k,true,5473,3,2,rv,3
3207,29,2,1,c2,b1,true,6158,2,0,rv,3
3603,342,2,4,b3,b1,true,6696,3,3,rv,6
4900,6,0,1,c2,b1,true,7414,2,3,rv,1
5090,12,1,0,k,k,true,5138,2,2,rv,1
1600,4,1,0,b2,k,false,6682,3,4,rv,1
2589,32,2,1,b2,k,true,6226,3,0,rv,3
2759,114,0,4,c2,b1,false,4770,2,2,rv,4
3986,44,1,1,k,k,true,6252,2,0,rv,2
4702,6,0,1,c2,b1,true,4708,2,2,rv,1
4207,29,2,1,c2,b1,true,6491,3,2,rv,3
3683,4,1,0,b2,k,false,3730,2,2,rv,1
2656,180,3,1,k,c2,false,4929,3,2,rv,4
5316,32,0,2,k,k,true,6408,2,2,rv,2
