@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute ActingPlayerOnButton {true,false}
@attribute LastActionObservingPlayer {f,k,c,b1,b2,b3}
@attribute LastActionActingPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric

@data
17086560,144,2,2,false,b2,c,0,0,3,1
84580195,90,1,2,true,b2,c,1,1,3,1
84624144,40,1,2,true,b2,c,1,0,3,3
17352528,108,2,2,true,b1,c,0,0,3,1
17148016,4,0,0,false,k,k,1,0,2,3
34313984,288,1,3,false,k,k,2,1,3,1
16829312,8,1,0,false,k,k,1,1,2,2
17484096,36,1,2,false,b1,c,2,1,3,1
84579873,12,1,0,false,k,k,2,0,4,2
17462832,624,3,3,true,b1,c,0,0,2,2
34239488,12,1,0,false,k,k,1,0,2,1
34231808,40,0,2,false,k,k,1,1,2,1
833927,12,0,1,false,k,k,2,0,3,1
33950720,16,1,1,false,k,k,2,1,2,1
51024896,326,4,1,true,b2,c,3,1,2,1
17479744,132,2,1,false,k,k,2,0,3,1
17352000,29,2,1,false,b1,c,1,0,3,1
34229248,800,2,2,false,k,k,2,0,3,1
67829760,800,1,2,false,k,k,2,1,2,1
17549136,15,1,1,false,b1,c,2,0,3,1
16894848,10,1,0,false,k,k,1,1,3,1
50444800,72,1,2,true,b1,c,1,1,2,1
84567363,48,1,1,false,k,k,2,1,3,1
33757184,48,0,3,true,b1,c,0,0,4,2
34379520,72,1,2,false,b1,c,3,1,2,1
829814,24,2,0,false,k,k,2,0,3,1
17348448,12,1,0,false,k,k,0,0,2,3
34378752,552,1,3,true,b1,c,3,1,2,1
17279312,16,2,0,false,k,k,1,1,2,1
17204272,168,2,2,false,k,k,0,0,2,1
34318592,36,2,0,false,k,k,4,1,2,2
17287760,12,0,2,false,b1,c,2,0,3,1
34351360,504,1,4,false,b3,c,2,2,2,1
34310656,35,1,2,true,b2,c,1,1,2,1
17025136,144,1,3,false,b2,c,0,0,3,1
833636,800,1,1,false,k,k,1,0,2,1
17090672,24,2,0,false,k,k,0,1,2,1
694116,32,2,0,false,k,k,2,0,2,1
67502080,12,0,2,false,b1,c,0,0,3,3
33901312,22,1,2,false,b1,c,1,1,3,1
17218176,12,1,1,false,b1,c,1,0,2,1
16890240,6,0,1,false,b1,c,1,0,2,2
67436544,24,1,1,false,k,k,0,0,2,3
16960144,12,0,1,false,k,k,2,0,3,2
17549920,16,0,1,false,k,k,2,1,3,1
17222224,36,2,0,false,k,k,2,0,3,1
17418864,800,2,1,false,k,k,3,1,2,1
34240768,18,1,1,false,b1,c,3,1,3,1
33831680,12,1,0,false,k,k,1,1,2,2
16959872,8,0,1,false,k,k,1,0,2,2
34370560,800,2,2,false,k,k,2,1,2,1
17484656,8,0,1,true,b2,c,3,1,2,1
17344816,800,1,1,false,k,k,1,0,2,2
84366352,189,3,1,false,b2,c,1,0,3,2
17479488,800,2,3,false,k,k,1,0,2,2
16829312,6,0,1,true,b1,c,1,0,2,1
34305536,162,1,3,false,b1,c,2,1,2,1
17143616,12,1,0,false,k,k,0,1,2,2
16889152,24,1,1,false,k,k,1,0,2,1
16959056,54,0,3,true,b1,c,1,0,3,1
34376448,63,1,2,true,b2,c,2,1,2,1
34378752,562,2,3,false,b2,c,4,2,2,1
17589296,36,0,3,false,b1,c,1,0,3,2
34020352,12,1,0,false,k,k,1,1,3,2
17222528,800,2,2,false,k,k,1,0,3,3
833108,36,2,0,false,k,k,1,0,3,2
17331792,800,1,4,false,k,k,0,1,2,2
16824672,6,0,1,false,b1,c,2,0,2,2
34363136,192,3,1,false,k,k,0,1,3,3
50840832,20,0,2,true,b2,c,1,1,2,1
17087120,800,2,2,false,k,k,2,1,3,1
17012816,14,1,1,false,b1,c,1,0,2,1
16960096,12,0,2,true,b1,c,1,1,2,1
16815680,4,0,0,false,k,k,0,1,3,2
16877376,14,0,1,false,k,k,0,1,2,3
16947296,22,1,1,true,b2,c,1,0,2,1
50702592,16,0,1,false,k,k,1,3,2,1
34159360,64,1,1,false,k,k,3,1,3,1
34347520,28,1,1,false,k,k,2,1,4,1
689748,6,0,1,true,b1,c,0,0,2,2
825187,4,0,0,false,k,k,2,0,2,1
833654,4,0,0,false,k,k,1,0,3,1
17222544,6,0,1,false,b1,c,2,0,2,2
34036480,24,2,0,false,k,k,2,1,2,1
834163,12,0,1,false,k,k,1,0,3,2
34310656,24,1,1,false,k,k,2,1,3,2
17156976,14,0,2,false,b1,c,1,1,3,1
67895296,596,4,3,false,b2,c,3,0,2,2
50379008,8,0,1,false,k,k,2,1,2,1
17537136,18,1,1,false,b1,c,2,0,2,2
16881488,108,2,1,false,k,k,0,1,3,2
16894864,6,0,1,false,b1,c,2,0,2,1
763203,12,1,0,false,k,k,1,0,2,2
17082464,8,1,0,false,k,k,1,0,2,1
50449152,24,2,0,false,k,k,2,3,2,1
17349264,144,2,2,false,b2,c,1,1,2,1
17352544,36,1,1,false,k,k,1,0,4,2
17400880,18,0,2,false,b1,c,1,0,2,1
764293,6,0,1,false,b1,c,2,0,3,1
34237440,454,2,2,false,b3,c,3,2,3,1
34170880,72,1,2,false,k,k,1,0,3,3
16947264,36,1,2,false,b1,c,1,0,2,2
763442,12,1,0,false,k,k,1,0,3,4
764004,4,0,0,false,k,k,1,0,3,1
33888000,24,2,0,false,k,k,0,1,3,1
17484624,24,1,1,false,k,k,3,0,2,1
17484688,19,1,1,false,b1,c,3,0,2,1
825460,12,1,0,false,k,k,1,0,3,2
17549152,48,1,2,false,b2,c,1,0,3,1
17413952,4,0,0,false,k,k,2,1,2,2
16881712,34,2,0,false,k,k,1,0,2,2
16894592,14,1,0,false,k,k,2,0,2,1
17611376,472,2,2,true,b3,c,2,0,2,1
16960112,12,1,0,false,k,k,1,1,3,1
834183,36,1,1,false,k,k,2,0,2,1
16819792,18,1,1,false,b1,c,1,1,2,2
17537136,616,3,2,true,b1,c,2,0,3,1
34305536,36,2,1,false,b1,c,2,1,2,1
51034112,24,2,0,false,k,k,3,1,4,1
34170880,36,1,1,false,k,k,1,0,3,3
34286592,56,1,2,true,b2,c,2,1,2,1
67698688,48,1,1,false,k,k,1,0,2,3
834182,72,1,2,true,b1,c,1,0,4,1
825188,12,1,0,false,k,k,1,0,2,2
34351616,72,3,0,false,k,k,2,0,2,1
17021520,16,1,1,false,b2,c,2,0,2,1
17606480,12,1,0,false,k,k,2,0,2,1
34224896,8,1,0,false,k,k,3,2,2,1
624212,10,1,0,false,k,k,1,0,3,1
34228992,582,3,3,false,b2,c,2,0,2,1
17549616,36,2,0,false,k,k,3,0,2,1
833924,21,1,1,false,b1,c,2,0,3,1
17349152,4,0,0,false,k,k,1,1,3,1
16960400,12,1,0,false,k,k,2,0,2,1
34236672,36,2,1,false,k,k,2,1,2,2
17606768,126,1,2,false,b1,c,2,0,2,1
67567616,36,0,3,false,b1,c,0,1,2,1
84720208,12,0,1,false,k,k,3,0,3,1
34315264,378,2,3,true,b2,c,3,0,3,1
17585200,36,2,0,false,k,k,1,0,2,2
50444544,15,1,1,false,b1,c,2,1,3,1
34212864,8,1,0,false,k,k,3,1,2,1
84562721,16,2,0,false,k,k,2,1,3,1
34236672,42,1,1,false,b1,c,2,1,2,2
829827,12,1,0,false,k,k,2,0,2,2
67764224,80,3,0,false,k,k,2,1,2,3
17213760,72,3,0,false,k,k,2,1,2,1
17017200,6,0,1,false,b1,c,2,0,3,1
34232320,48,2,1,false,k,k,1,1,3,1
694372,96,1,2,true,b1,c,1,0,2,1
67829760,48,3,0,false,k,k,2,0,2,1
17156976,6,0,1,false,b1,c,1,1,3,1
50513664,60,1,2,false,k,k,0,3,2,1
17353040,4,0,0,false,k,k,1,1,2,1
34036736,14,1,1,false,b1,c,0,2,2,1
67698688,216,1,4,false,b1,c,1,1,2,1
34379264,800,4,2,false,k,k,2,2,3,1
694099,8,1,0,false,k,k,2,0,3,1
33758208,90,0,3,false,k,k,2,1,2,1
17611072,72,0,4,false,b1,c,2,0,2,1
17541472,68,2,1,false,k,k,3,0,3,2
17213824,4,0,0,false,k,k,1,1,2,1
829831,12,1,0,false,k,k,3,0,2,2
84576100,112,1,3,false,b2,c,0,0,4,2
17589552,192,4,1,true,b2,c,1,0,2,2
17598272,84,0,3,false,k,k,1,0,3,1
16959872,34,0,2,false,k,k,1,0,2,1
17536864,12,1,1,false,b1,c,2,1,2,1
17287824,4,0,0,false,k,k,2,0,2,1
50628352,24,2,0,false,k,k,0,1,2,2
34314240,24,0,2,false,k,k,3,1,3,1
17467232,16,2,0,false,k,k,1,0,2,2
17606768,72,2,1,false,k,k,2,1,3,1
33901568,800,3,2,false,k,k,2,1,2,1
17549408,36,1,2,true,b1,c,2,1,2,1
17090672,36,2,0,false,k,k,0,1,3,1
17090896,4,0,0,false,k,k,1,1,2,1
34224896,72,0,3,true,b2,c,2,0,3,1
51156992,48,2,1,false,k,k,2,1,3,1
84579922,36,2,0,false,k,k,1,1,4,1
134545408,14,1,0,false,k,k,0,0,5,4
825445,14,1,1,false,b1,c,1,0,3,1
17287552,72,1,2,false,k,k,2,0,2,2
17274432,48,2,1,false,b2,c,1,0,3,1
33761536,220,2,2,true,b2,c,1,1,2,1
17025632,508,2,3,true,b3,c,2,0,2,1
17152544,54,0,3,false,b1,c,1,0,3,3
17279296,100,3,0,false,k,k,2,0,4,1
51024896,469,3,2,false,b3,c,3,1,2,1
17143360,24,1,1,false,b2,c,1,0,3,3
824898,10,0,1,false,k,k,2,0,2,2
