@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
16894832,24,0,2,false,?,k,16889664,false,1
16824688,800,1,2,false,?,c,758560,false,1
34343680,800,2,2,false,?,c,17593344,false,1
17274928,800,1,2,false,?,c,17274928,false,1
17549152,800,0,2,false,?,c,833105,false,1
16816224,800,2,2,false,?,k,16803088,false,1
16960352,800,2,1,false,?,b3,833090,false,1
17288080,800,0,2,false,?,c,825168,false,1
34216704,800,3,1,false,?,b1,16890512,false,1
17471312,72,0,4,false,?,c,694032,false,1
17025856,24,0,2,false,?,k,832289,false,1
34089984,572,2,2,false,?,k,820274,false,1
101355520,472,3,2,true,?,k,17484032,false,1
33762304,800,1,2,false,?,c,833586,false,1
17082208,800,1,2,false,?,c,685652,false,1
34162432,800,1,2,false,?,k,34162432,false,1
17418864,72,0,4,false,?,c,825170,false,1
17283456,164,1,1,false,?,c,759920,false,1
34277632,800,2,2,false,?,c,17535232,false,1
17484144,800,1,2,false,?,k,17484096,false,1
16960144,800,2,1,false,?,b3,16951632,false,1
17607024,72,3,1,true,?,k,829281,false,1
17479488,800,1,3,false,?,c,17461504,false,1
34102016,800,1,2,false,?,c,17152640,false,1
17221456,144,2,2,true,?,k,17221408,false,1
16828992,24,0,2,false,?,k,828448,false,1
50973184,48,0,3,false,?,k,17418880,false,1
17217648,24,0,2,false,?,k,755248,false,1
33827584,24,0,2,false,?,k,17084944,false,1
34170112,800,1,2,false,?,k,615713,false,1
16894608,572,2,2,false,?,k,16894208,false,1
17410144,108,0,4,false,?,c,693841,false,1
17082416,800,2,0,false,?,b3,541473,false,1
84440113,800,0,2,false,?,c,17073936,false,1
33761024,190,1,1,false,?,k,33761024,false,1
84720208,192,4,1,true,?,b1,763472,false,1
17484656,800,1,2,false,?,k,763732,false,1
33896960,800,1,2,false,?,c,33894656,false,1
34170112,800,0,2,false,?,c,17208640,false,1
17086032,48,0,3,false,?,c,742433,false,1
17222560,24,0,2,false,?,k,833633,false,1
17471280,800,1,2,false,?,c,17469696,false,1
67436544,24,0,2,false,?,k,67436544,false,1
833652,164,1,1,false,?,c,750640,false,1
33688576,296,1,2,false,?,c,811536,false,1
34176000,800,1,2,false,?,c,17287552,false,1
34110464,800,0,2,false,?,c,34108416,false,1
16955216,800,2,2,false,?,k,16929792,false,1
17287760,24,0,2,false,?,k,829265,false,1
829012,800,0,2,false,?,c,807984,false,1
17610576,24,0,2,false,?,k,17592832,false,1
34371840,216,3,2,true,?,k,825187,false,1
17601568,36,0,3,false,?,k,803344,false,1
34151424,24,0,2,false,?,k,834193,false,1
17222000,72,1,2,false,?,b2,17221952,false,1
34247168,36,0,3,false,?,k,17469952,false,1
34376192,800,1,2,false,?,c,17606704,false,1
16960144,800,2,1,false,?,b3,829746,false,1
100835328,800,2,2,false,?,k,17465872,false,1
34277376,48,0,3,false,?,c,17531136,false,1
33958400,48,0,3,false,?,c,17199616,false,1
17541456,164,1,1,false,?,c,764241,false,1
34151168,48,0,3,false,?,c,16888576,false,1
33893376,48,0,3,false,?,c,16959824,false,1
33888768,800,1,2,false,?,c,685361,false,1
34093568,164,1,1,false,?,c,17331248,false,1
34379776,800,2,1,false,?,b3,17602608,false,1
17419136,800,1,2,false,?,c,759875,false,1
33826304,800,2,2,false,?,c,16925456,false,1
17478704,36,2,1,true,?,k,762896,false,1
67305472,800,2,1,false,?,b3,824097,false,1
33823488,24,0,2,false,?,k,17085200,false,1
17348448,164,1,1,false,?,c,554576,false,1
16829296,800,1,2,false,?,c,16827936,false,1
67895296,800,1,2,false,?,c,833927,false,1
34351872,36,0,3,false,?,k,34350080,false,1
67305472,584,1,3,true,?,k,833056,false,1
34081792,572,2,2,false,?,k,17352192,false,1
16958784,800,2,1,false,?,b3,807969,false,1
16942928,24,0,2,false,?,k,554273,false,1
17139264,800,2,2,false,?,c,549921,false,1
33831680,800,0,2,false,?,c,759619,false,1
101203968,800,2,2,false,?,c,50901504,false,1
34378752,552,1,3,true,?,k,17417216,false,1
67698688,572,2,2,false,?,k,17205024,false,1
34310656,800,2,2,false,?,c,34310656,false,1
33954816,800,1,3,false,?,c,17221392,false,1
17283456,800,2,2,false,?,c,17283344,false,1
34375936,800,2,0,false,?,b3,34373888,false,1
17540944,800,2,1,false,?,b3,763730,false,1
67305472,800,1,2,false,?,c,807713,false,1
34092800,800,1,2,false,?,c,34092032,false,1
34023936,48,0,3,false,?,c,16951040,false,1
17283648,800,2,2,false,?,k,17277968,false,1
17549696,24,0,2,false,?,k,833920,false,1
51025664,96,3,1,true,?,k,17462592,false,1
17484064,800,2,1,false,?,b3,827920,false,1
67371008,800,1,2,false,?,c,607009,false,1
17344080,246,1,2,false,?,c,689474,false,1
17348432,800,1,3,false,?,c,554256,false,1
50444288,584,1,3,true,?,k,16889904,false,1
51021312,800,1,2,false,?,c,17466144,false,1
825445,800,2,2,false,?,k,824609,false,1
34342656,800,1,2,false,?,c,34341376,false,1
16827984,24,0,2,false,?,k,812336,false,1
17593664,72,0,4,false,?,c,816449,false,1
17091168,72,3,1,true,?,k,681283,false,1
17484112,36,2,1,true,?,k,824640,false,1
