timeAdapting,timeNonAdapting,timeOffline,quadraticAdapting,quadraticNonAdapting,quadraticOffline,correctAdapting,correctNonAdapting,correctOffline
3126.85,2221.75,2139.4,0.48628570046275854,0.4864034513011575,0.4864450814202428,0.65,0.65,0.65
1810.25,1837.55,1837.7,0.3293605549260974,0.32984733395278454,0.27361990604549646,0.85,0.85,0.85
2660.4,2002.3,2029.85,0.4529103548761668,0.450010638111479,0.40981205023126677,0.7,0.7,0.75
1481.15,1398.8,1426.2,0.312297560274601,0.31184690445661545,0.32061722688376904,0.85,0.85,0.85
1481.15,1453.6,1398.9,0.3074201530311029,0.3073269830879042,0.2779507028462831,0.8,0.8,0.75
1426.35,1289.15,1453.6,0.2671276396140456,0.26705031655728817,0.2809090483933687,0.75,0.75,0.7
1316.6,1344.05,1179.45,0.28319171257317066,0.2837563119828701,0.2266915300861001,0.8,0.8,0.8
905.1,905.3,877.95,0.4608232192695141,0.4623785950243473,0.40575588308274746,0.7,0.65,0.7
932.45,905.15,877.75,0.35932339169085026,0.35956185311079025,0.2964336239674594,0.75,0.75,0.75
905.1,850.25,795.35,0.2663743458688259,0.2674440499395132,0.23058327659964561,0.85,0.8,0.8
850.25,740.5,850.4,0.21630007363091863,0.21653043177951758,0.20291976549196988,0.85,0.85,0.85
877.6,987.3,822.85,0.317528142593801,0.3208835432305932,0.27359065413475037,0.8,0.7,0.7
987.4,877.7,2112.05,0.21386140957474709,0.2136842180043459,0.2749985558912158,0.9,0.9,0.85
905.3,795.6,932.3,0.41621143836528063,0.42222019098699093,0.40173807740211487,0.8,0.65,0.65
987.45,905.3,822.9,0.2406943659298122,0.24141137301921844,0.24327716697007418,0.85,0.85,0.85
905.1,795.5,877.7,0.35124354991785367,0.35139628256226274,0.3022715165861882,0.7,0.7,0.75
959.95,960.1,932.6,0.26097426004707813,0.2657399643212557,0.22508312109857798,0.8,0.7,0.75
905.2,823.1,877.8,0.32064978312700987,0.3213518522679806,0.29491883236914873,0.65,0.65,0.65
768.0,795.4,960.05,0.32476605796136937,0.32506442944074365,0.2867181231849827,0.7,0.7,0.75
960.05,987.5,1014.8,0.384168179705739,0.39216610230505466,0.3150323638692498,0.65,0.65,0.7
987.3,877.7,822.95,0.2648118641227484,0.26650373078882694,0.2716166153550148,0.8,0.8,0.8
959.95,877.65,850.15,0.2912412043660879,0.29387965239584446,0.24883962515741587,0.65,0.6,0.8
1042.2,2907.2,905.0,0.36506824759271694,0.36660151933756424,0.2640089026244823,0.7,0.7,0.7
1014.95,905.15,768.15,0.3201444425403679,0.32493228035534116,0.2704911796026863,0.85,0.8,0.8
1014.85,850.25,987.5,0.27466577959967253,0.2811699703060526,0.2420345313148573,0.95,0.85,0.8
987.3,987.55,905.25,0.5221194934565574,0.522855483694002,0.5307408465014305,0.6,0.6,0.55
960.2,1014.8,823.0,0.3520129807293415,0.3600171748548746,0.3247679164633155,0.85,0.75,0.75
960.0,904.95,959.8,0.36335888877511024,0.36656147986650467,0.29331546276807785,0.7,0.7,0.7
877.6,905.0,877.6,0.28021709959034524,0.28137846792603227,0.3138599069789052,0.8,0.8,0.75
932.65,877.65,822.9,0.1981540946289897,0.19826113060116768,0.26575072575360537,0.85,0.85,0.75
932.55,795.65,905.25,0.37381587341224076,0.37452809269095155,0.3951509227626957,0.7,0.7,0.7
1014.7,850.35,767.85,0.3216873318888247,0.3316339533776045,0.32786579336971045,0.75,0.65,0.6
1069.6,904.95,822.75,0.41821559704840183,0.42489591240882874,0.423459779471159,0.7,0.7,0.6
932.4,959.85,877.8,0.4999779942445457,0.504327991977334,0.46757061313837767,0.65,0.7,0.55
877.75,905.3,959.95,0.38701076805591583,0.3993579279631376,0.27508183009922504,0.7,0.65,0.75
987.3,987.45,932.4,0.2844596305524192,0.2852146079626152,0.34812170692021027,0.85,0.85,0.75
2166.85,905.25,823.0,0.17572506465808146,0.17776476720834467,0.16541782446438447,0.95,0.95,0.95
960.0,822.85,1042.2,0.2932906807400286,0.2995388079434633,0.3300506267696619,0.8,0.75,0.7
877.7,768.0,850.2,0.1383112221956253,0.14429139159619808,0.13112155813723803,0.85,0.85,0.9
877.55,1014.65,877.7,0.3994513601064682,0.3991195149719715,0.4238222986459732,0.6,0.6,0.6
905.4,959.95,905.2,0.22899865545332432,0.24435202591121197,0.30312160309404135,0.9,0.75,0.65
1069.7,960.15,905.0,0.5009021847508848,0.49917040206491947,0.4567975252866745,0.44999999999999996,0.44999999999999996,0.55
905.1,795.4,795.45,0.2585457172244787,0.26443275809288025,0.2852758327499032,0.8,0.75,0.7
850.4,823.0,1673.05,0.27910584304481745,0.2857593782246113,0.21634296048432589,0.75,0.75,0.75
905.1,850.35,768.0,0.4139776285737753,0.4231537189334631,0.3423949098214507,0.55,0.5,0.65
877.7,1097.1,575.95,0.3974572867155075,0.4103948911651969,0.3308763923123479,0.65,0.6,0.65
685.6,658.3,603.45,0.42718400806188583,0.44242133386433125,0.3569295276829507,0.6,0.5,0.55
713.25,603.25,630.9,0.40634901262819767,0.4070588294416666,0.3704996705055237,0.65,0.65,0.75
548.5,630.85,658.25,0.5712056467309594,0.5769183207303286,0.6105943443253636,0.6,0.55,0.44999999999999996
713.1,603.25,493.6,0.34293322265148163,0.3523445762693882,0.25970302429050207,0.65,0.7,0.7
631.1,658.3,630.9,0.35999121237546206,0.3612577747553587,0.3533417843282223,0.65,0.65,0.65
713.05,685.75,658.2,0.32128779186496104,0.32362187037730905,0.27154599834466353,0.7,0.75,0.75
630.8,576.05,658.35,0.471294853836298,0.4800096061080694,0.37120591299026273,0.5,0.55,0.6
